,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length
0,Titanium,0.371892564,-0.020644717,0.565195636,0.107758059,74.518725,0.042754214,0.030805603,0.044838189,0.040768247,0.024416483,0.016599591,0.033573877,0.015498041,0.043572321,0.028537441,0.021997258,73.45124543,0.107157379,0.271479007,0.067300013,0.126759061,0.003590788,0.010086364,0.329610201,0.296988021,0.009180733,0.001999393,0.002014491,0.000722683,-0.001045436,0.010720156,0.00480884,0.001590108,0.592377998
1,Titanium,0.374047207,-0.003822803,0.601868586,-0.024888453,77.39876626,0.039791234,0.039052381,0.04304234,0.040198163,0.021284832,0.012712285,0.031019167,0.015030925,0.074242388,-0.01995309,0.033385721,73.1624657,0.104391317,0.267236565,0.06559273,0.132371111,-0.002631402,-0.000316614,0.33714567,0.241379166,0.008972458,-0.001096278,0.002582981,-0.001294867,-0.003588138,0.006409076,0.000915469,0.000859781,0.604407701
2,Titanium,0.392242153,0.019624336,0.568739343,0.046336167,73.30848433,0.039861737,0.031914116,0.046054987,0.038183483,0.023272065,0.014082786,0.031483875,0.015209313,0.052920102,0.025825397,0.028328943,73.19345236,0.117728057,0.388566539,0.068216961,0.128985775,0.004169787,0.006030818,0.330171537,0.315576583,0.008966424,0.002301188,0.003044663,0.002175033,0.000653158,0.00475998,0.002441991,0.002523405,0.618590037
3,Aluminum,0.397911999,0.044654718,0.557861141,0.048848594,72.15860712,0.03921682,0.029137567,0.043325444,0.036742452,0.022542532,0.01389226,0.031016943,0.014801925,0.051185777,0.042631188,0.031387663,70.47868745,0.132036788,0.50044179,0.068181193,0.137938127,0.00380903,0.009020715,0.333188153,0.316824059,0.008986286,0.00292686,0.002165326,0.002200912,0.004020328,0.00243023,0.000669177,0.003708419,0.639428657
4,Titanium,0.404196033,0.050812347,0.563786684,0.022372204,72.77839805,0.039370561,0.030100121,0.044669716,0.035379399,0.021785941,0.01286291,0.031503174,0.014843623,0.060282002,0.022282318,0.054828734,72.48524902,0.164136395,0.52543212,0.066730746,0.133701166,0.001477085,0.003921417,0.330345821,0.302037925,0.008945218,0.002548338,0.001834824,0.001915391,0.000990925,0.00226312,0.000385857,0.002338578,0.630482111
5,Titanium,0.383283649,-0.004544726,0.597636186,0.016521127,76.31603153,0.040348767,0.036122183,0.045294716,0.045639082,0.022922453,0.014141328,0.03142793,0.014873067,0.065542435,0.005930619,0.027568701,72.9693012,0.106021609,0.280406771,0.067193787,0.129812356,0.001929169,0.003403846,0.334250653,0.272860741,0.009337104,0.000606241,0.002672025,0.000281761,-0.000991017,0.007395253,0.001801225,0.001496794,0.609737583
6,Steel,0.382152073,0.027292911,0.560811639,0.057535978,71.71685497,0.03975869,0.027771731,0.049246609,0.039389355,0.030882233,0.01756166,0.031214849,0.015576571,0.045273209,0.038906339,0.028761962,71.27411686,0.123025968,0.415333533,0.067312369,0.128493751,-0.003423848,-0.000623951,0.329826513,0.285334316,0.008463667,0.0073381,0.001795508,0.00252876,0.004183184,0.002675868,0.002376015,0.009036908,0.629487937
7,Titanium,0.400681384,0.050364403,0.561815557,0.04705237,73.34345112,0.039530585,0.03587292,0.044766562,0.037641615,0.022866267,0.017555973,0.03315209,0.014908097,0.056864919,0.034417147,0.052651907,73.90761392,0.13530538,0.5701973,0.068066317,0.130070852,-0.001929408,0.000738376,0.330217063,0.302108859,0.008862346,0.002605745,0.001634083,0.001671335,0.002458439,0.002466843,0.001080377,0.003642864,0.639896238
8,Titanium,0.389447375,0.011624621,0.582343909,0.03823124,74.95127596,0.040126812,0.033459252,0.045165682,0.042143333,0.023230138,0.015536119,0.031589491,0.014971249,0.057339691,0.022004344,0.028025296,73.98371522,0.114559394,0.350865479,0.067806232,0.129538669,0.003771957,0.00508237,0.331452983,0.297437501,0.009111012,0.001773849,0.002755481,0.001532501,0.000493966,0.005211104,0.002011549,0.002171528,0.617939854
9,Steel,0.394488387,0.023992125,0.557616131,0.146932714,70.86000288,0.041377307,0.027742756,0.049539332,0.036372234,0.02417263,0.013323653,0.030285293,0.015328305,0.043219266,0.048698004,0.025227805,71.55273764,0.116436325,0.421736689,0.06828371,0.128862471,-0.004366261,-0.000396859,0.328923251,0.331368335,0.008604111,0.00279763,0.002499564,0.002632434,0.00279501,0.005291148,0.009988449,0.006436,0.636489819
