Design Study 1
Scenarios/Iterations:, 154
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.40411,0.38237,0.41945,0.40275,0.42739,0.32328,0.41552,0.36717,0.43563,0.45765,0.42285,0.38983,0.44519,0.39901,0.42019,0.40763,0.40524,0.43794,0.42094,0.37851,0.38031,0.4276,0.43105,0.43757,0.40235,0.29708,0.43127,0.42267,0.4364,0.37054,0.45645,0.38614,0.4005,0.42527,0.40646,0.40163,0.31911,0.36744,0.34326,0.33701,0.43117,0.41357,0.40654,0.33135,0.44697,0.41961,0.285,0.40903,0.43156,0.29442,0.37163,0.42072,0.4055,0.31574,0.43695,0.39198,0.39747,0.41705,0.3219,0.43454,0.41421,0.40396,0.33186,0.39949,0.41068,0.43755,0.42003,0.38404,0.42036,0.41374,0.40202,0.40653,0.40305,0.40569,0.40065,0.40271,0.41982,0.41876,0.35046,0.42419,0.32128,0.42952,0.37383,0.42013,0.42282,0.43131,0.40762,0.35762,0.42244,0.42545,0.37075,0.41315,0.42711,0.4116,0.40433,0.42604,0.41818,0.42887,0.4038,0.45675,0.40819,0.36247,0.41074,0.4149,0.33725,0.38487,0.42093,0.43414,0.42877,0.37664,0.42835,0.3852,0.37363,0.41875,0.4419,0.42895,0.41102,0.37597,0.46069,0.39719,0.43971,0.32179,0.41378,0.43437,0.43355,0.41973,0.39898,0.30798,0.42844,0.41232,0.28992,0.30644,0.40437,0.42981,0.40599,0.37551,0.41993,0.43423,0.39922,0.40352,0.40139,0.42925,0.39646,0.4085,0.4067,0.40363,0.42007,0.40286,0.41696,0.38505,0.48152,0.39994,0.40613,0.42492
BB Drop,,m,0.072,0.01297,0.06819,0.06894,0.02023,0.08052,0.02943,0.02248,0.02114,0.06976,0.01117,0.05582,0.06415,0.07564,0.05553,0.02056,0.07747,0.05843,0.0727,0.01576,0.05309,0.06107,0.05068,0.0731,0.05432,0.07044,-0.01282,0.07214,0.06481,0.06207,0.05538,0.07156,0.07295,0.07035,0.06144,0.07167,0.0615,0.05156,0.0549,-0.04003,-0.00402,0.0742,0.04674,0.05731,0.009915,0.07336,0.0709,0.01337,0.03646,0.04413,0.01024,0.06027,0.05313,0.06864,0.06354,0.06815,0.06582,0.04318,0.07324,-0.00368,0.0734,0.06529,0.06192,0.0631,0.02873,0.06303,0.0764,0.0573,0.05872,0.0716,0.06378,0.04379,0.07189,0.009111,0.07296,0.0402,0.01754,0.07155,0.06882,0.008432,0.05056,0.06235,0.06957,0.05689,0.07622,0.06138,0.06538,0.03516,0.03638,0.07178,0.06815,-0.01844,0.06753,0.006529,0.05827,0.06871,0.06959,0.06479,0.07092,0.06047,0.05334,0.0709,0.05838,0.06082,0.05376,-0.01759,0.07061,0.07206,0.08095,0.05811,0.06441,0.07214,0.06094,0.05812,0.05843,0.05546,0.03672,0.06079,0.02645,0.051,0.026,0.06923,0.07183,0.08657,0.07196,0.06722,0.07491,-0.00255,-0.01342,0.05455,0.02911,0.07753,0.06479,0.06673,0.00087717,0.07114,0.05519,0.06735,-0.00479,0.0733,0.03701,0.007806,0.07277,0.06664,0.07299,0.004312,0.07573,-0.00934,0.07355,0.07297,0.07001,0.08072,0.04243,0.04451,0.06849
Stack,,m,0.5656,0.56525,0.5654,0.56498,0.56469,0.56496,0.56562,0.56555,0.56488,0.62687,0.56609,0.57866,0.56502,0.56579,0.56628,0.56511,0.5665,0.52443,0.56566,0.56542,0.56592,0.52653,0.57659,0.56527,0.56558,0.56514,0.56564,0.56638,0.58664,0.61866,0.56548,0.56569,0.56609,0.56603,0.58383,0.56523,0.52361,0.56639,0.51842,0.56493,0.56579,0.58986,0.58269,0.56572,0.56576,0.57922,0.56578,0.56546,0.56511,0.60805,0.53151,0.5294,0.5666,0.56626,0.56566,0.57933,0.56453,0.51756,0.56577,0.56492,0.56446,0.52701,0.56527,0.53126,0.56556,0.58698,0.6291,0.56601,0.52254,0.56671,0.56501,0.56645,0.56585,0.56593,0.56584,0.54052,0.56551,0.54358,0.56653,0.56598,0.58699,0.46861,0.56633,0.52961,0.56619,0.51536,0.56524,0.5657,0.51976,0.56451,0.58103,0.56572,0.58436,0.61313,0.44135,0.53828,0.56638,0.56571,0.56555,0.56571,0.56574,0.56426,0.56584,0.56475,0.56577,0.56563,0.56598,0.58092,0.6407,0.56512,0.58138,0.59316,0.56547,0.56489,0.56561,0.5654,0.56488,0.56622,0.56544,0.62373,0.56522,0.61328,0.56599,0.56577,0.56552,0.58285,0.58039,0.56567,0.56645,0.56586,0.56527,0.63109,0.53368,0.56523,0.56628,0.56632,0.52315,0.57506,0.62098,0.56582,0.56468,0.56599,0.56533,0.56613,0.56609,0.56607,0.56598,0.56587,0.56618,0.56636,0.56484,0.56489,0.56531,0.56538,0.58596
SS E,,m,0.06,0.04386,0.11573,0.04434,0.05523,0.06325,0.04511,0.06164,0.12809,0.08237,0.04401,0.03253,0.12961,0.04371,0.12224,0.05345,0.05173,0.04541,0.04371,0.06214,0.0443,0.07202,0.04315,0.04488,0.05449,0.07358,0.05394,0.13638,0.13263,0.04369,0.12134,0.04454,0.1366,0.09085,0.04284,0.05602,0.07176,0.15725,0.04215,0.07956,0.02309,0.04415,0.13091,0.11456,0.04462,0.05804,0.04561,0.01521,0.05424,0.05377,0.04511,0.12198,0.04588,0.0465,0.0205,0.0439,0.11902,0.0457,0.10587,0.15076,0.08523,0.04393,0.05626,0.1817,0.04524,0.04503,0.14524,0.14514,0.19555,0.15566,0.06214,0.0595,0.04649,0.04445,0.0443,0.04333,0.05954,0.13818,0.05338,0.0562,0.20365,0.06009,0.04597,0.04461,0.04459,0.0589,0.04845,0.05861,0.02314,0.11189,0.11267,0.10538,0.02418,0.23224,0.04546,0.04475,0.04271,0.1265,0.0443,0.04406,0.04621,0.06162,0.0448,0.04458,0.1231,0.04422,0.04654,0.04524,0.04615,0.045,0.02893,0.06449,0.05962,0.16025,0.04373,0.04474,0.07114,0.02446,0.23741,0.04464,0.04513,0.0857,0.06072,0.05829,0.11753,0.15283,0.07272,0.03172,0.05745,0.18296,0.0447,0.02129,0.05824,0.04404,0.07183,0.04416,0.05359,0.04584,0.22117,0.04363,0.04256,0.06277,0.04247,0.04625,0.19287,0.04456,0.06,0.02387,0.04793,0.0447,0.1698,0.04226,0.02118,0.13625,0.04459
ST Angle,,deg,73.50017,71.99029,73.45815,72.71758,72.3752,71.61969,73.23456,69.45707,71.59842,71.41622,70.38821,72.07005,72.95934,73.68513,75.85586,73.06033,73.80941,72.1905,73.52487,70.80013,72.39672,74.00264,72.12431,73.40688,73.77969,73.46719,66.36961,73.39186,75.65157,73.82206,74.42724,70.85579,73.54199,73.2378,72.9354,73.02199,71.86292,74.22883,76.01113,65.28705,66.72113,72.81572,73.68254,72.56559,71.35912,61.43933,74.29075,73.37148,71.35619,72.94762,73.52577,76.92852,74.27376,73.19451,73.50025,72.39437,73.00588,74.26543,73.55884,68.28796,73.38885,72.96247,71.45814,72.75813,70.61266,72.25836,74.66977,72.54538,73.83786,71.83644,72.66071,70.4002,73.66376,71.72336,73.23036,69.85515,64.47616,72.61693,71.59349,72.63205,73.99017,73.13586,74.19811,73.75021,73.2199,73.08386,73.10573,74.24681,71.03413,72.24297,73.01166,75.28312,73.89634,73.33127,72.20189,73.76545,73.45187,72.38639,73.18635,73.55513,70.50732,73.34817,73.9609,72.21643,73.99599,74.69961,76.76833,73.49126,70.9972,73.56281,73.75167,73.55474,77.27078,78.2259,73.13423,73.84085,72.07166,74.38812,74.27488,73.54317,72.25229,46.49847,72.57781,72.03955,73.68703,72.81764,73.03223,73.90312,73.55622,72.31218,67.36264,73.4556,74.94018,73.7406,73.64111,74.08413,74.07918,72.88069,64.30636,72.89637,73.44917,72.74754,72.48368,73.8006,74.08909,73.29586,73.69375,60.84403,73.92704,71.10165,73.95294,74.7492,72.13037,72.22378,71.73013
BB OD,,m,0.04,0.04009,0.03989,0.03968,0.04044,0.04067,0.03998,0.04017,0.0404,0.04,0.04089,0.0407,0.04008,0.0398,0.04018,0.04034,0.04016,0.03929,0.07605,0.03963,0.04021,0.04036,0.03935,0.03905,0.04068,0.0409,0.04082,0.0393,0.03999,0.04014,0.04074,0.0401,0.04019,0.03979,0.0391,0.04084,0.03978,0.04092,0.04034,0.04027,0.04032,0.03973,0.03941,0.0404,0.04019,0.0346,0.03931,0.04012,0.03979,0.04045,0.04,0.04027,0.04002,0.04021,0.0398,0.04732,0.03995,0.04078,0.03975,0.04069,0.03963,0.0393,0.03954,0.04067,0.03962,0.03998,0.04054,0.04015,0.04026,0.03947,0.03977,0.03967,0.04,0.04019,0.03973,0.04008,0.03997,0.03998,0.03991,0.04035,0.04003,0.03977,0.04,0.03983,0.04009,0.04045,0.04028,0.04001,0.04083,0.04029,0.0402,0.04064,0.03985,0.04007,0.04003,0.04041,0.03957,0.04039,0.03413,0.04045,0.04658,0.03983,0.04005,0.03977,0.03963,0.03982,0.04013,0.04076,0.04038,0.03949,0.04048,0.03997,0.04032,0.04052,0.04025,0.04046,0.03991,0.04028,0.0402,0.04927,0.04021,0.03948,0.04007,0.04005,0.03313,0.03979,0.04004,0.04029,0.04,0.04021,0.04006,0.03962,0.04033,0.03985,0.03972,0.03993,0.0405,0.03982,0.03972,0.04021,0.04017,0.03994,0.03991,0.03998,0.04033,0.04016,0.04037,0.03982,0.0402,0.04001,0.04034,0.04025,0.04025,0.05625,0.03998
TT OD,,m,0.02855,0.02962,0.0273,0.02896,0.02905,0.02925,0.02838,0.03525,0.02799,0.02875,0.0286,0.03587,0.02966,0.02886,0.02474,0.02956,0.0287,0.02782,0.03008,0.02962,0.02767,0.0372,0.02916,0.02874,0.03886,0.03155,0.02912,0.02887,0.02909,0.02872,0.03074,0.0289,0.02859,0.03545,0.02957,0.03665,0.02905,0.0279,0.02762,0.02897,0.02987,0.02898,0.02883,0.02764,0.02789,0.02857,0.02847,0.02996,0.03475,0.02915,0.02728,0.02828,0.02771,0.02999,0.02816,0.02692,0.03026,0.03924,0.02692,0.0385,0.0389,0.02639,0.03722,0.02982,0.03038,0.02856,0.0362,0.02845,0.02955,0.02934,0.02976,0.03944,0.02989,0.02955,0.02848,0.02875,0.03596,0.02972,0.03799,0.02838,0.02931,0.02803,0.03405,0.02911,0.02738,0.02973,0.02746,0.03623,0.02996,0.03003,0.02994,0.02875,0.02676,0.02907,0.02983,0.03023,0.02785,0.02789,0.03532,0.02881,0.02806,0.02988,0.02912,0.02912,0.03385,0.03041,0.03871,0.02992,0.02765,0.02827,0.02836,0.03883,0.02914,0.02919,0.02857,0.02862,0.03039,0.02873,0.03447,0.02919,0.02937,0.03469,0.02776,0.02678,0.03433,0.02947,0.02787,0.02916,0.02863,0.03005,0.02916,0.02947,0.02922,0.03017,0.02878,0.02735,0.02705,0.02997,0.03972,0.02903,0.04087,0.02857,0.02795,0.02908,0.03825,0.02878,0.03591,0.02724,0.02967,0.02773,0.03688,0.02865,0.03013,0.02923,0.02984
HT OD,,m,0.038,0.04386,0.05436,0.04527,0.04399,0.04335,0.04433,0.03724,0.04462,0.04964,0.04476,0.04497,0.04455,0.04393,0.05359,0.04954,0.04471,0.04525,0.04342,0.04089,0.03548,0.0447,0.04527,0.04394,0.05399,0.04361,0.04473,0.04495,0.04431,0.03176,0.04506,0.04534,0.046,0.05774,0.03633,0.03618,0.04458,0.0448,0.04489,0.04479,0.04462,0.04397,0.04412,0.03317,0.04486,0.0445,0.04452,0.04484,0.04991,0.04498,0.04401,0.04552,0.04471,0.0446,0.03365,0.03088,0.03233,0.04978,0.0328,0.0448,0.03574,0.04473,0.04983,0.04463,0.04458,0.04437,0.05009,0.04479,0.04469,0.04414,0.04561,0.04427,0.04432,0.04397,0.04434,0.04534,0.04554,0.04925,0.04424,0.0361,0.04485,0.04997,0.04543,0.04426,0.04429,0.0446,0.04982,0.04522,0.0386,0.03232,0.0443,0.04444,0.03124,0.04997,0.04431,0.04529,0.04502,0.04461,0.04124,0.04472,0.04479,0.03842,0.04502,0.04411,0.04091,0.03833,0.03838,0.04486,0.04529,0.03739,0.03153,0.04929,0.03839,0.04473,0.04428,0.04508,0.04466,0.03296,0.04505,0.05132,0.04499,0.04956,0.04564,0.04513,0.02917,0.04933,0.04421,0.05386,0.03797,0.04404,0.04493,0.05517,0.04499,0.03827,0.04527,0.04474,0.04942,0.0452,0.05043,0.04362,0.05678,0.04408,0.03852,0.04427,0.04387,0.04455,0.04457,0.03892,0.04363,0.04524,0.04427,0.04365,0.04415,0.05318,0.04409
DT OD,,m,0.03655,0.04424,0.03577,0.036,0.03785,0.03683,0.03631,0.03252,0.03652,0.04349,0.03681,0.0367,0.03679,0.0365,0.03623,0.03735,0.03652,0.04381,0.04514,0.04222,0.03213,0.06861,0.03644,0.04428,0.05347,0.04322,0.08464,0.04249,0.03713,0.03722,0.04422,0.03619,0.03563,0.03613,0.03675,0.07892,0.0356,0.0361,0.02775,0.03692,0.02942,0.03709,0.03526,0.03664,0.03594,0.03672,0.03512,0.03674,0.04368,0.036,0.03626,0.03615,0.03718,0.03712,0.03583,0.03656,0.03537,0.04236,0.03587,0.03675,0.02928,0.03669,0.04419,0.03664,0.04265,0.03637,0.05242,0.0351,0.03675,0.03623,0.04287,0.04588,0.03671,0.04219,0.03672,0.03617,0.04277,0.03555,0.04964,0.04329,0.03647,0.03588,0.04424,0.03634,0.03653,0.03669,0.03647,0.07798,0.03676,0.04441,0.03735,0.03659,0.03655,0.04439,0.03694,0.03619,0.03652,0.04514,0.04339,0.03575,0.04754,0.03053,0.03602,0.0362,0.0598,0.03563,0.04344,0.0361,0.03753,0.04329,0.03653,0.04375,0.03609,0.03632,0.03624,0.03579,0.04473,0.03641,0.0436,0.03682,0.04485,0.04445,0.05195,0.03692,0.07664,0.04706,0.03565,0.04933,0.05435,0.04113,0.04542,0.04335,0.03612,0.03664,0.05675,0.03547,0.03665,0.03649,0.03714,0.04313,0.03644,0.04689,0.03611,0.03646,0.0638,0.04641,0.0452,0.0309,0.0368,0.03657,0.05146,0.0371,0.03662,0.04329,0.03684
