Design Study 1
Scenarios/Iterations:, 219
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200,Scenario 201,Scenario 202,Scenario 203,Scenario 204,Scenario 205,Scenario 206,Scenario 207,Scenario 208,Scenario 209,Scenario 210,Scenario 211,Scenario 212,Scenario 213,Scenario 214,Scenario 215,Scenario 216,Scenario 217,Scenario 218,Scenario 219
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Estimated,Estimated,Estimated
CS Length,,N/A,0.442841,0.429050,0.426848,0.501722,0.444047,0.479193,0.531822,0.461198,0.488352,0.505327,0.408314,0.455409,0.460055,0.484838,0.415514,0.445478,0.457009,0.473577,0.464037,0.428845,0.437087,0.473037,0.471156,0.413444,0.470480,0.449130,0.455469,0.466857,0.448712,0.494648,0.430291,0.450315,0.482286,0.484456,0.467155,0.488429,0.424357,0.442706,0.478663,0.451648,0.427681,0.502087,0.443892,0.413894,0.446962,0.478183,0.403592,0.405707,0.455786,0.454010,0.450545,0.455773,0.437253,0.408940,0.440251,0.406906,0.494179,0.440796,0.437486,0.465033,0.516251,0.429091,0.475698,0.464554,0.456941,0.441856,0.443059,0.450774,0.486008,0.444731,0.482718,0.443326,0.436513,0.452280,0.477265,0.414004,0.412780,0.433520,0.413637,0.464679,0.502253,0.468595,0.454330,0.435899,0.449007,0.436232,0.479165,0.448739,0.451340,0.430183,0.480788,0.456111,0.445440,0.457919,0.462752,0.477932,0.483046,0.460590,0.446508,0.417836,0.406751,0.474880,0.412688,0.441627,0.454490,0.442972,0.427361,0.414216,0.440532,0.454685,0.402829,0.453856,0.476587,0.459105,0.427925,0.460633,0.406242,0.437895,0.409054,0.441617,0.486211,0.498049,0.408532,0.429121,0.412944,0.412329,0.459394,0.451950,0.469262,0.444446,0.456841,0.446760,0.464442,0.462004,0.434108,0.467427,0.420453,0.412939,0.454334,0.453686,0.459691,0.476149,0.461117,0.420602,0.410297,0.434709,0.491376,0.475088,0.421991,0.440710,0.443156,0.435310,0.406246,0.421091,0.444857,0.477332,0.450491,0.421558,0.413282,0.411312,0.451073,0.411005,0.406761,0.439253,0.413791,0.437712,0.457579,0.454138,0.413444,0.465409,0.520721,0.485122,0.428959,0.409005,0.419347,0.434644,0.457759,0.450153,0.492163,0.476777,0.409114,0.456888,0.438637,0.463183,0.503540,0.404927,0.414364,0.442708,0.471175,0.471935,0.417826,0.444179,0.407553,0.436059,0.462125,0.493047,0.467375,0.470970,0.468609,0.480964,0.455418,0.478387,0.462209,0.452453,0.409937,0.411184,0.481759,0.421287,0.471197,0.470726,0.513128,0.446605,0.450597,0.407625,0.426172,0.453784,0.429121,0.486247,0.506580,0.445444
BB Drop,,N/A,0.052011,0.076370,0.097613,0.047087,0.074570,0.030651,0.051150,0.108458,0.096512,0.040987,0.050989,0.083349,0.099427,0.052154,0.049599,0.063960,0.102828,0.050539,0.097132,0.092891,0.092900,0.071664,0.044746,0.085590,0.097532,0.082954,0.050898,0.107391,0.050382,0.036378,0.080556,0.093836,0.050226,0.044708,0.105355,0.091043,0.069640,0.049859,0.116971,0.107228,0.051570,0.028447,0.102598,0.061693,0.090351,0.039122,0.056681,0.051623,0.071663,0.098313,0.080083,0.063566,0.087526,0.061726,0.042561,0.049750,0.033124,0.059723,0.046301,0.107603,0.105835,0.069822,0.084522,0.113330,0.087733,0.096697,0.058672,0.095058,0.040420,0.094236,0.057307,0.040487,0.087568,0.047802,0.117388,0.045882,0.047303,0.081786,0.059093,0.123524,0.057348,0.093092,0.041455,0.080723,0.108520,0.088739,0.028010,0.067721,0.090697,0.051828,0.042980,0.034487,0.098776,0.117993,0.050694,0.037777,0.050738,0.106697,0.037218,0.048290,0.049533,0.119775,0.073298,0.046643,0.043437,0.085291,0.082359,0.051510,0.091406,0.088589,0.051579,0.111165,0.039002,0.050541,0.057972,0.062869,0.048455,0.098721,0.043205,0.090577,0.085718,0.032020,0.063179,0.060386,0.083411,0.073800,0.094646,0.082347,0.081773,0.102196,0.098914,0.088523,0.066831,0.079160,0.050670,0.039405,0.072011,0.049912,0.104166,0.089954,0.100042,0.045283,0.052225,0.047211,0.051747,0.088476,0.077102,0.104192,0.077166,0.081719,0.042379,0.090523,0.052908,0.049219,0.107104,0.110927,0.085331,0.057148,0.051919,0.053698,0.049627,0.048988,0.050960,0.044719,0.056212,0.088650,0.049188,0.051291,0.061331,0.048754,0.042747,0.098941,0.078665,0.083386,0.051307,0.051060,0.096099,0.088482,0.040610,0.026522,0.045040,0.097418,0.092441,0.063236,0.031395,0.050057,0.050951,0.051163,0.038623,0.087277,0.052023,0.084654,0.051315,0.046724,0.038582,0.050669,0.046616,0.098903,0.049393,0.118013,0.052332,0.113002,0.103670,0.049814,0.060456,0.074111,0.051463,0.085201,0.045309,0.036468,0.047145,0.080251,0.094375,0.059584,0.045741,0.092074,0.088890,0.044644,0.029074,0.043511
Stack,,m,0.56566,0.56154,0.56242,0.55227,0.56479,0.56026,0.55987,0.56452,0.56092,0.55892,0.5583,0.56279,0.56408,0.5648,0.56395,0.56651,0.56041,0.56141,0.56524,0.56439,0.56241,0.56751,0.55764,0.56235,0.5687,0.56403,0.56154,0.55952,0.56475,0.55388,0.56489,0.56519,0.56947,0.55119,0.5647,0.56152,0.56338,0.55992,0.55957,0.56398,0.56029,0.55615,0.56314,0.56271,0.56111,0.56127,0.55719,0.55999,0.56298,0.5651,0.56238,0.565,0.56042,0.56151,0.56221,0.56011,0.56021,0.56258,0.55886,0.56325,0.56836,0.56366,0.56423,0.55844,0.56294,0.56318,0.56272,0.5652,0.55744,0.56501,0.5642,0.56309,0.56864,0.55815,0.56218,0.56256,0.56264,0.56374,0.56174,0.56458,0.56305,0.56481,0.55644,0.55962,0.56453,0.56423,0.55638,0.56652,0.56463,0.56364,0.56446,0.5548,0.56492,0.5636,0.55916,0.55756,0.56269,0.56144,0.56064,0.55839,0.56063,0.56938,0.56247,0.56113,0.56472,0.56397,0.56352,0.56203,0.56692,0.56346,0.55781,0.56449,0.56089,0.56401,0.5613,0.56791,0.56067,0.56362,0.55286,0.56306,0.56977,0.55562,0.55941,0.5649,0.55804,0.56218,0.56819,0.56397,0.56329,0.56616,0.56744,0.56468,0.56821,0.56442,0.55861,0.55286,0.56227,0.55952,0.56197,0.5643,0.5662,0.56302,0.56392,0.5625,0.56252,0.56353,0.56095,0.56979,0.56507,0.55494,0.56366,0.56416,0.55776,0.55973,0.56187,0.55681,0.56596,0.55951,0.5613,0.56005,0.56613,0.55502,0.56117,0.55563,0.56411,0.56286,0.56752,0.56054,0.56514,0.5545,0.55947,0.5557,0.56291,0.55695,0.56131,0.56063,0.57128,0.56987,0.55976,0.55001,0.5531,0.56506,0.56383,0.56476,0.56032,0.56201,0.55623,0.55929,0.55761,0.56218,0.5622,0.56704,0.55814,0.56343,0.56086,0.56265,0.56149,0.56499,0.55322,0.55479,0.56515,0.56421,0.56482,0.56478,0.5749,0.55748,0.56333,0.56361,0.56222,0.55601,0.55647,0.56502,0.56354,0.55863,0.56318,0.56314,0.56454,0.55742,0.55427,0.56309
SS E,,N/A,0.036444,0.120160,0.042902,0.044443,0.050175,0.044195,0.042099,0.041021,0.067807,0.107491,0.153877,0.058752,0.066415,0.050686,0.052817,0.052653,0.039724,0.052427,0.050188,0.044051,0.031926,0.057061,0.109786,0.047451,0.030287,0.045116,0.054589,0.040124,0.061499,0.104307,0.047632,0.038053,0.055130,0.238116,0.039384,0.048327,0.039506,0.144081,0.035537,0.042025,0.053423,0.085621,0.045204,0.057067,0.048405,0.072240,0.061511,0.122606,0.117442,0.047685,0.049887,0.052735,0.048479,0.096964,0.056449,0.092286,0.060233,0.055258,0.056270,0.048664,0.042041,0.036770,0.046196,0.032275,0.050657,0.049812,0.054806,0.050453,0.121086,0.050857,0.044947,0.052774,0.051589,0.052260,0.040196,0.036572,0.048881,0.058397,0.089169,0.035924,0.043572,0.060126,0.138421,0.046371,0.034261,0.047392,0.064835,0.050511,0.044064,0.033951,0.059063,0.093156,0.037821,0.029947,0.051618,0.044370,0.048461,0.041363,0.057410,0.054219,0.172709,0.036608,0.035846,0.056733,0.054050,0.052817,0.034941,0.058090,0.041267,0.051678,0.058634,0.042996,0.073083,0.038776,0.047493,0.056310,0.197138,0.043467,0.193554,0.034362,0.048454,0.089285,0.056435,0.055274,0.047314,0.054734,0.034397,0.050089,0.140033,0.044179,0.056621,0.064176,0.050380,0.114670,0.080434,0.110166,0.135478,0.042949,0.043300,0.043095,0.045544,0.062004,0.053530,0.058200,0.060552,0.062430,0.051521,0.047818,0.055074,0.043273,0.054786,0.047606,0.055879,0.056232,0.032836,0.033189,0.042085,0.211321,0.058133,0.098595,0.057291,0.051768,0.090209,0.050417,0.053614,0.045227,0.055788,0.110780,0.057561,0.048420,0.051465,0.033810,0.057917,0.041151,0.056949,0.054400,0.041774,0.044362,0.091641,0.122823,0.076569,0.042536,0.053940,0.047201,0.058313,0.079903,0.051116,0.181117,0.045874,0.038806,0.057609,0.048700,0.099545,0.042341,0.066186,0.047426,0.028346,0.039403,0.331482,0.028739,0.051513,0.042347,0.032151,0.042402,0.056305,0.044729,0.082526,0.037532,0.084233,0.100125,0.047621,0.045685,0.053879,0.058669,0.058297,0.052498,0.050868,0.051704,0.124844,0.039518
ST Angle,,N/A,1.298950,1.330370,1.283007,1.253343,1.280248,1.272396,1.232556,1.274021,1.318885,1.290587,1.329102,1.282508,1.319316,1.277320,1.294095,1.263093,1.266282,1.259586,1.278962,1.289317,1.270559,1.319045,1.286711,1.300100,1.280616,1.267024,1.266813,1.268583,1.303188,1.273966,1.300228,1.270511,1.282781,1.280733,1.264501,1.274196,1.274096,1.337973,1.269619,1.275677,1.275753,1.277752,1.280075,1.342020,1.276290,1.284817,1.310570,1.341478,1.339846,1.274746,1.266855,1.260034,1.274851,1.353368,1.279978,1.364583,1.277602,1.272252,1.274704,1.283680,1.294828,1.274984,1.255896,1.269537,1.277614,1.278109,1.272873,1.272174,1.291862,1.277173,1.242275,1.281794,1.279354,1.269768,1.276742,1.274370,1.281996,1.286068,1.348531,1.280667,1.237627,1.320405,1.313748,1.272742,1.276999,1.273928,1.279688,1.261958,1.267552,1.273158,1.280392,1.299982,1.284608,1.273392,1.266428,1.265934,1.252714,1.272569,1.287444,1.300077,1.354115,1.278824,1.277080,1.277737,1.283442,1.272516,1.278047,1.294621,1.280762,1.269448,1.341615,1.278332,1.280194,1.272530,1.275391,1.310953,1.366837,1.276235,1.331564,1.272770,1.308864,1.275563,1.295662,1.272785,1.277117,1.308195,1.286683,1.267430,1.356395,1.285701,1.308489,1.308127,1.292401,1.351656,1.280662,1.271853,1.341531,1.273010,1.274994,1.265530,1.275711,1.302971,1.278527,1.287387,1.331999,1.308090,1.276919,1.298308,1.324972,1.263346,1.285406,1.275318,1.291351,1.290986,1.275709,1.255621,1.280317,1.353301,1.302036,1.321495,1.292987,1.280572,1.364544,1.279795,1.297209,1.271465,1.290574,1.321865,1.280629,1.259536,1.255800,1.247869,1.282485,1.297931,1.280362,1.274635,1.279796,1.288285,1.280527,1.270350,1.278936,1.267535,1.278767,1.251790,1.276615,1.367715,1.274744,1.354216,1.266816,1.271635,1.281250,1.296693,1.314556,1.274573,1.290662,1.248211,1.263494,1.259734,1.357968,1.257473,1.280028,1.264351,1.265342,1.275866,1.313515,1.271849,1.340475,1.292748,1.293041,1.301768,1.254069,1.278552,1.273623,1.317579,1.291784,1.280630,1.279645,1.264545,1.278124,1.272816
BB OD,,m,0.03739,0.03949,0.03951,0.03928,0.03965,0.03785,0.03933,0.04023,0.03952,0.03944,0.03894,0.03943,0.0398,0.03943,0.03962,0.03962,0.03993,0.03972,0.03993,0.03979,0.03975,0.04011,0.039,0.03945,0.04019,0.03984,0.03969,0.03981,0.03986,0.03811,0.03999,0.04014,0.04,0.0392,0.03997,0.03925,0.03928,0.03977,0.03972,0.04011,0.0395,0.03812,0.03975,0.03925,0.03968,0.03903,0.03856,0.03883,0.03994,0.04003,0.03994,0.03968,0.03968,0.03872,0.03898,0.03887,0.03845,0.03981,0.03859,0.03998,0.04012,0.0396,0.03992,0.03928,0.03946,0.03995,0.03973,0.03997,0.0391,0.04015,0.03937,0.0391,0.04015,0.03925,0.03972,0.03899,0.0393,0.03987,0.03938,0.03988,0.03938,0.03943,0.03934,0.03924,0.03997,0.04006,0.03823,0.03962,0.04013,0.03931,0.03926,0.03894,0.03995,0.03995,0.03964,0.03755,0.0393,0.03986,0.0389,0.03917,0.03875,0.04014,0.03941,0.03889,0.03935,0.0401,0.03973,0.03949,0.04016,0.04007,0.03859,0.04005,0.03886,0.03904,0.03888,0.04005,0.03883,0.03989,0.03841,0.03908,0.04019,0.03808,0.03913,0.03956,0.03903,0.03932,0.04019,0.04003,0.03986,0.04001,0.03999,0.03987,0.04015,0.03997,0.03891,0.03828,0.03921,0.0387,0.03983,0.04012,0.04009,0.03979,0.03937,0.03924,0.03922,0.03978,0.0389,0.04009,0.03977,0.03914,0.03923,0.04002,0.0389,0.03939,0.03924,0.03969,0.03997,0.0397,0.03932,0.03905,0.0398,0.03874,0.03859,0.03885,0.03971,0.03985,0.03985,0.03959,0.0395,0.03934,0.03905,0.03969,0.03977,0.03864,0.03964,0.0396,0.04028,0.04004,0.03896,0.03748,0.03789,0.04008,0.04008,0.03957,0.03833,0.03885,0.03923,0.03957,0.03766,0.03887,0.03969,0.04004,0.03886,0.03901,0.03904,0.03934,0.03827,0.03996,0.03968,0.0396,0.03959,0.03977,0.04025,0.03928,0.03842,0.03862,0.03997,0.03979,0.03946,0.03914,0.03947,0.03964,0.04009,0.03886,0.03934,0.03975,0.03991,0.03916,0.03817,0.03869
TT OD,,m,0.02496,0.02892,0.02838,0.02752,0.02911,0.04431,0.02969,0.02819,0.0283,0.04168,0.0291,0.02831,0.02879,0.03203,0.03301,0.03278,0.02869,0.02961,0.02922,0.02852,0.02862,0.02973,0.03476,0.02905,0.0282,0.0306,0.0296,0.02844,0.03443,0.03764,0.02909,0.02912,0.03582,0.03383,0.02938,0.02715,0.02886,0.03618,0.02797,0.02828,0.02828,0.0488,0.02836,0.03345,0.02814,0.04246,0.02912,0.03321,0.02978,0.02911,0.02969,0.03201,0.02881,0.02889,0.03741,0.02845,0.04609,0.02958,0.02976,0.0282,0.02881,0.02917,0.03168,0.02754,0.0282,0.02875,0.02942,0.02972,0.04075,0.02893,0.03287,0.03994,0.02914,0.02897,0.02762,0.03226,0.0331,0.02935,0.03446,0.02756,0.03188,0.03115,0.04166,0.0273,0.02793,0.029,0.04884,0.03295,0.02952,0.02968,0.03975,0.04711,0.02827,0.02767,0.02849,0.03357,0.03136,0.02833,0.04242,0.02776,0.03638,0.02764,0.02892,0.03201,0.03862,0.02954,0.0287,0.02888,0.02855,0.02962,0.02963,0.02819,0.04171,0.02994,0.02871,0.03108,0.03621,0.02853,0.04211,0.028,0.0293,0.04354,0.02936,0.03223,0.02916,0.0294,0.02826,0.03028,0.03229,0.02833,0.02877,0.02944,0.03046,0.03245,0.02937,0.03383,0.02975,0.02931,0.02839,0.02957,0.02878,0.03929,0.03046,0.03377,0.02919,0.02906,0.02783,0.02848,0.02981,0.02908,0.03892,0.02889,0.02849,0.02859,0.02761,0.0288,0.02895,0.03445,0.02851,0.02857,0.03477,0.02702,0.02855,0.02786,0.03046,0.0292,0.0354,0.03174,0.03223,0.0285,0.02876,0.02927,0.02929,0.02907,0.02914,0.0285,0.02847,0.02928,0.04046,0.04408,0.03231,0.02943,0.029,0.03301,0.04762,0.02919,0.02841,0.03796,0.03297,0.02762,0.0293,0.02907,0.02861,0.03195,0.04237,0.03119,0.02966,0.03019,0.04052,0.02785,0.03189,0.02953,0.0283,0.03195,0.03434,0.02787,0.03629,0.02859,0.03781,0.04578,0.0278,0.0289,0.02935,0.03062,0.03613,0.02843,0.02899,0.02847,0.04821,0.03413
HT OD,,m,0.04252,0.04295,0.04896,0.03866,0.04493,0.05535,0.04287,0.0445,0.04274,0.04678,0.04202,0.0403,0.04448,0.04451,0.04705,0.04475,0.04868,0.04466,0.04227,0.04797,0.04702,0.04283,0.04791,0.04879,0.04269,0.04542,0.04555,0.04179,0.04518,0.04615,0.0454,0.04298,0.04312,0.04821,0.04245,0.03569,0.0432,0.05257,0.04149,0.04714,0.03997,0.0565,0.04748,0.04906,0.03826,0.05069,0.04129,0.05583,0.04826,0.04271,0.04624,0.04474,0.04116,0.04379,0.05097,0.04273,0.054,0.04415,0.04171,0.04259,0.04136,0.04514,0.04577,0.03846,0.03948,0.04711,0.04318,0.04303,0.05144,0.04431,0.04301,0.05007,0.04561,0.04481,0.04129,0.04761,0.0482,0.04626,0.05163,0.04689,0.04306,0.04203,0.05445,0.0345,0.04813,0.04789,0.05591,0.04487,0.04349,0.04596,0.04921,0.05351,0.04573,0.04881,0.04089,0.0421,0.04303,0.04467,0.05163,0.0405,0.0591,0.04586,0.04531,0.04395,0.04875,0.04745,0.04527,0.04254,0.0442,0.04737,0.04977,0.04711,0.05219,0.04397,0.0403,0.04292,0.06067,0.04936,0.06154,0.0419,0.042,0.05315,0.04249,0.04653,0.04233,0.04724,0.04292,0.0475,0.04524,0.04756,0.0445,0.04422,0.04287,0.04547,0.04168,0.04199,0.04553,0.04133,0.04603,0.04394,0.04263,0.04311,0.04529,0.04861,0.04565,0.04489,0.0402,0.04297,0.04722,0.04186,0.04962,0.04823,0.03915,0.04284,0.04203,0.04236,0.04388,0.05626,0.04158,0.0403,0.04591,0.03614,0.04321,0.04301,0.04671,0.049,0.04521,0.04798,0.04772,0.04187,0.04283,0.04469,0.04395,0.04955,0.04321,0.04085,0.04294,0.04243,0.04998,0.04904,0.04284,0.04285,0.0462,0.04365,0.05449,0.04983,0.04025,0.05466,0.04193,0.03851,0.0441,0.04458,0.04008,0.04626,0.05118,0.0429,0.042,0.04266,0.06371,0.03902,0.04633,0.04213,0.04309,0.04646,0.04654,0.03549,0.04315,0.04582,0.04801,0.05188,0.03993,0.04472,0.04608,0.05019,0.04964,0.04121,0.04845,0.04306,0.05728,0.04779
DT OD,,m,0.0339,0.03669,0.04145,0.04095,0.03768,0.05476,0.05351,0.03745,0.03555,0.04198,0.03641,0.03643,0.03665,0.03788,0.04607,0.04648,0.04377,0.04474,0.0372,0.0402,0.04822,0.03773,0.03757,0.04457,0.03749,0.04878,0.04308,0.03808,0.04276,0.03754,0.03972,0.04409,0.04293,0.03584,0.04182,0.03507,0.03992,0.03972,0.03739,0.0377,0.03693,0.05157,0.03831,0.04778,0.03685,0.04806,0.0398,0.04068,0.03716,0.03758,0.04498,0.04596,0.03859,0.03545,0.04754,0.0354,0.05179,0.04114,0.03768,0.03678,0.03625,0.04144,0.04781,0.03701,0.03658,0.0389,0.0388,0.0405,0.04154,0.03761,0.05275,0.05175,0.03925,0.04233,0.03661,0.04922,0.04803,0.03877,0.04566,0.03701,0.05301,0.03707,0.04428,0.0364,0.03829,0.04217,0.05511,0.04873,0.04427,0.04435,0.04648,0.05263,0.03768,0.03822,0.0386,0.04021,0.04549,0.03808,0.05295,0.03618,0.03735,0.03678,0.0434,0.04016,0.04908,0.04254,0.04133,0.03689,0.03868,0.04288,0.04153,0.03742,0.04707,0.04062,0.03739,0.04028,0.03663,0.04076,0.04799,0.03756,0.03735,0.04466,0.04209,0.0428,0.04569,0.04382,0.03762,0.04598,0.0367,0.03762,0.03695,0.03729,0.04024,0.03733,0.03696,0.03693,0.03608,0.04053,0.0385,0.04558,0.03726,0.04523,0.03793,0.04485,0.03665,0.03728,0.03549,0.03666,0.04378,0.04773,0.05003,0.04121,0.03743,0.03727,0.03773,0.04468,0.03779,0.03723,0.03633,0.03625,0.04381,0.03587,0.03502,0.03736,0.04325,0.04632,0.04441,0.03749,0.04177,0.04529,0.03798,0.05155,0.0383,0.05036,0.03793,0.03721,0.03737,0.03915,0.04286,0.04168,0.04216,0.04234,0.03782,0.05125,0.05314,0.03636,0.03939,0.04041,0.03984,0.0361,0.03794,0.03774,0.0364,0.04432,0.0498,0.04628,0.04033,0.04621,0.03658,0.03934,0.04046,0.03965,0.04093,0.04306,0.03757,0.03718,0.03909,0.04233,0.0428,0.04954,0.03871,0.03769,0.03881,0.04854,0.04722,0.03686,0.04067,0.03926,0.04699,0.04646
