Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.424915,0.473825,0.402809,0.411230,0.503148,0.406033,0.415731,0.411111,0.413417,0.408119,0.413369,0.485702,0.413974,0.403748,0.399503,0.461552,0.412454,0.402668,0.401588,0.393045,0.413991,0.402906,0.404067,0.430786,0.404466,0.478168,0.388756,0.418978,0.399319,0.420384,0.403133,0.416896,0.413540,0.401938,0.421917,0.390524,0.410574,0.436193,0.515898,0.425368,0.409213,0.389745,0.435072,0.502999,0.410831,0.436830,0.410366,0.420183,0.413516,0.399951,0.445019,0.406533,0.410948,0.399642,0.408763,0.399801,0.404830,0.402918,0.431071,0.407757,0.410123,0.411780,0.412003,0.413922,0.413403,0.408568,0.424954,0.471294,0.461980,0.388800,0.405040,0.393912,0.409499,0.382848,0.402597,0.474308,0.490894,0.473167,0.439888,0.407378,0.400838,0.408837,0.402828,0.424679,0.424032,0.377803,0.458648,0.411272,0.412018,0.406195,0.410518,0.462404,0.421992,0.413768,0.408569,0.425843,0.387008,0.399881,0.402776,0.405275,0.404586,0.544470,0.455358,0.527010,0.411945,0.393444,0.400816,0.464567,0.393483,0.399090,0.404979,0.404846,0.409893,0.424902,0.412036,0.403587,0.402817,0.407901,0.424796,0.398614,0.411533,0.402527,0.400678,0.413138,0.406675,0.407728,0.396682,0.440665,0.493223,0.402447,0.403186,0.423843,0.425567,0.411391,0.400814,0.398235,0.402709,0.406708,0.418427,0.426149,0.397271,0.435114,0.408783,0.440909,0.409718,0.407188,0.401046,0.414198,0.409014,0.404084,0.397943,0.404760,0.408250,0.405052,0.403595,0.422599,0.408250,0.405824,0.442841
BB Drop,,N/A,0.068487,0.075503,0.068573,0.050077,0.047428,0.052249,0.057629,0.049134,0.059582,0.064851,0.055843,0.059762,0.067062,0.055299,0.015358,0.069629,0.063963,0.066985,0.035649,0.049988,0.044833,0.048954,0.065139,0.039391,0.052317,0.051621,0.068376,0.065069,0.005132,0.062599,0.052316,0.052422,0.050658,0.066900,0.051760,0.077915,0.051256,0.062810,0.087315,0.074496,0.051246,0.052164,0.074111,0.080853,0.048402,0.069534,0.052938,0.050988,0.068811,0.047438,0.073229,0.048574,0.059154,0.047712,0.051638,0.046418,0.051910,0.024470,0.051540,0.042668,0.059779,0.071889,0.057533,0.050190,0.050597,0.054586,0.052629,0.077110,0.072807,0.080203,0.061490,0.072715,0.046853,0.029231,0.020994,0.072316,0.081096,0.066195,0.066366,0.050367,0.052410,0.050992,0.046156,0.051390,0.051575,0.032567,0.058524,0.050272,0.052000,0.052327,0.054081,0.070845,0.051312,0.051526,0.052805,0.060745,0.022057,0.065947,0.025862,0.046049,0.066582,0.088638,0.071369,0.072844,0.049929,0.080584,0.039783,0.070187,0.070339,0.064513,0.051713,0.048098,0.052414,0.051530,0.063197,0.052992,0.052348,0.056422,0.071949,0.035009,0.072570,0.049009,0.049889,0.082075,0.021211,0.054333,0.043423,0.055418,0.083165,0.006954,0.032876,0.064652,0.065787,0.048170,0.048971,0.043411,0.052203,0.050709,0.026611,0.065511,0.047770,0.064977,0.054602,0.061013,0.052979,0.050132,0.057525,0.057753,0.050601,0.048057,0.047680,0.051545,0.046122,0.053829,0.050674,0.029075,0.025967,0.046201,0.052011
Stack,,m,0.58596,0.58412,0.577,0.56509,0.57705,0.56981,0.57547,0.56135,0.56404,0.57028,0.56418,0.5651,0.57711,0.56109,0.58929,0.56122,0.56496,0.56494,0.56485,0.56643,0.56678,0.56397,0.56424,0.5731,0.56448,0.57024,0.55999,0.5631,0.5797,0.56303,0.56143,0.55666,0.56458,0.5705,0.58155,0.57246,0.56174,0.55922,0.56496,0.56177,0.56493,0.5632,0.5647,0.5633,0.56514,0.5601,0.57143,0.56412,0.57115,0.56298,0.56547,0.56285,0.56177,0.56247,0.56895,0.56452,0.55977,0.57979,0.57766,0.56891,0.57011,0.5596,0.5613,0.56475,0.5628,0.57098,0.55851,0.5757,0.56951,0.56041,0.56517,0.5623,0.56454,0.56991,0.59178,0.56488,0.56095,0.56001,0.56919,0.56272,0.57416,0.56146,0.56437,0.55762,0.56455,0.58178,0.57315,0.56436,0.56518,0.56595,0.5612,0.56689,0.56456,0.56434,0.57052,0.5671,0.56505,0.56528,0.57549,0.55911,0.56351,0.5617,0.57235,0.56734,0.56323,0.56007,0.5866,0.56802,0.57144,0.56089,0.56905,0.56458,0.56018,0.55721,0.56099,0.57085,0.56229,0.56145,0.56236,0.57814,0.57469,0.56465,0.56308,0.56717,0.58165,0.56093,0.55875,0.58136,0.56399,0.59902,0.57898,0.5726,0.57613,0.56165,0.55882,0.56061,0.55987,0.5614,0.58625,0.56293,0.56265,0.56326,0.56161,0.56509,0.56109,0.56085,0.57109,0.57639,0.55933,0.559,0.55773,0.56826,0.55967,0.56429,0.56345,0.5794,0.57559,0.55768,0.56566
SS E,,N/A,0.044592,0.040216,0.056555,0.042248,0.039686,0.054135,0.040976,0.052456,0.047289,0.053847,0.052582,0.053032,0.048356,0.058991,0.052053,0.055375,0.104149,0.080544,0.057200,0.060021,0.056114,0.061951,0.061166,0.047500,0.093094,0.042006,0.183707,0.045542,0.052746,0.056559,0.055457,0.069571,0.047006,0.053849,0.050214,0.077741,0.051407,0.047625,0.037149,0.069156,0.048875,0.179664,0.048323,0.032452,0.043526,0.066762,0.051227,0.045656,0.051111,0.104036,0.050796,0.061616,0.049051,0.157432,0.052110,0.061708,0.058517,0.051781,0.040623,0.056788,0.043772,0.106798,0.052915,0.039381,0.060023,0.053627,0.023841,0.040601,0.037993,0.138955,0.071512,0.138187,0.036478,0.056650,0.049211,0.036419,0.058292,0.038337,0.043664,0.048820,0.057446,0.056991,0.053802,0.058150,0.039490,0.058671,0.056895,0.054569,0.057487,0.064424,0.059466,0.039956,0.045743,0.055075,0.052496,0.047300,0.050631,0.088416,0.057961,0.073819,0.076543,0.039269,0.040149,0.050953,0.051090,0.170393,0.051539,0.034442,0.059418,0.089560,0.055089,0.054963,0.050550,0.045415,0.047679,0.055909,0.103054,0.053660,0.056475,0.050169,0.047121,0.061514,0.133034,0.057436,0.048897,0.051848,0.182110,0.049286,0.047429,0.051232,0.043809,0.050393,0.047844,0.035463,0.129165,0.159488,0.061614,0.067642,0.047334,0.045651,0.157652,0.033759,0.051053,0.040928,0.047890,0.058172,0.052534,0.043645,0.046127,0.082177,0.107233,0.059196,0.057534,0.082482,0.055212,0.045064,0.048442,0.060920,0.036444
ST Angle,,N/A,1.251930,1.276176,1.277901,1.337312,1.274673,1.308497,1.300541,1.272241,1.274621,1.321709,1.272714,1.268256,1.279621,1.276331,1.278870,1.269148,1.280461,1.279289,1.273482,1.308058,1.272776,1.293380,1.286167,1.273856,1.274426,1.274211,1.314596,1.275786,1.280303,1.290067,1.273919,1.271209,1.279752,1.344816,1.270677,1.338261,1.273934,1.269140,1.275815,1.272897,1.349537,1.316325,1.325877,1.278439,1.296770,1.272245,1.278298,1.276159,1.275756,1.284415,1.271808,1.275445,1.274478,1.276522,1.279451,1.278381,1.274316,1.280367,1.274193,1.276146,1.340478,1.278462,1.273370,1.276039,1.268744,1.278234,1.299296,1.277591,1.299569,1.321203,1.275713,1.309374,1.333405,1.294770,1.277218,1.279276,1.265516,1.270021,1.274490,1.273444,1.291171,1.275410,1.315206,1.270811,1.342008,1.297664,1.279413,1.274542,1.271082,1.272145,1.272448,1.294055,1.276762,1.271074,1.280006,1.271349,1.274443,1.279069,1.278773,1.271547,1.285156,1.271615,1.290695,1.269023,1.273535,1.309749,1.277016,1.303199,1.324640,1.288817,1.312779,1.283018,1.272821,1.269075,1.273782,1.292388,1.280070,1.273264,1.270083,1.314608,1.304721,1.319297,1.280079,1.300754,1.274705,1.274071,1.277174,1.268695,1.268946,1.273694,1.296086,1.271398,1.274567,1.278536,1.278052,1.277357,1.276842,1.276779,1.274668,1.273375,1.279959,1.286522,1.274285,1.320106,1.275152,1.274853,1.335765,1.291319,1.273945,1.274698,1.276139,1.276640,1.269855,1.277890,1.273612,1.277078,1.275475,1.270129,1.298946
BB OD,,m,0.03998,0.03413,0.03291,0.03661,0.03592,0.03617,0.03492,0.03731,0.03626,0.03488,0.03596,0.04482,0.03546,0.0398,0.03627,0.0419,0.04131,0.0333,0.04287,0.03506,0.04004,0.0344,0.0365,0.03743,0.03311,0.03526,0.03642,0.03737,0.03922,0.03847,0.04076,0.04437,0.03395,0.03568,0.03407,0.0329,0.03773,0.04601,0.03924,0.04164,0.03741,0.03562,0.03711,0.04043,0.03543,0.04167,0.03361,0.03491,0.03501,0.03401,0.03742,0.0366,0.03817,0.03328,0.03385,0.03448,0.04119,0.03703,0.03337,0.03822,0.03673,0.04228,0.04106,0.0349,0.03523,0.03363,0.04017,0.03636,0.03779,0.03778,0.03322,0.03426,0.03506,0.03615,0.03337,0.03887,0.04424,0.04601,0.03659,0.03772,0.03347,0.03641,0.03602,0.04493,0.03795,0.03319,0.04337,0.0359,0.03458,0.03325,0.03565,0.03709,0.03436,0.03569,0.03373,0.03625,0.04127,0.03299,0.03987,0.03589,0.0344,0.04807,0.03717,0.04564,0.03555,0.03844,0.03322,0.03762,0.03418,0.03792,0.03642,0.0347,0.04222,0.0477,0.03972,0.03555,0.03655,0.04021,0.04508,0.03311,0.03603,0.03631,0.03367,0.03681,0.03545,0.03724,0.03715,0.0362,0.04612,0.03331,0.0341,0.03526,0.03389,0.03444,0.03933,0.034,0.03695,0.03582,0.03374,0.03888,0.03358,0.03665,0.03577,0.0381,0.03635,0.03827,0.03527,0.03497,0.03654,0.03649,0.04265,0.03333,0.0369,0.03346,0.04037,0.03366,0.03518,0.06161,0.03739
TT OD,,m,0.02984,0.03264,0.02664,0.02172,0.03703,0.02426,0.02507,0.03054,0.02885,0.02227,0.03426,0.0329,0.02622,0.045,0.02756,0.02945,0.02276,0.03454,0.03806,0.0267,0.03017,0.02239,0.02805,0.02582,0.0337,0.02829,0.03884,0.03248,0.02521,0.02012,0.03915,0.03024,0.02527,0.02072,0.03394,0.02104,0.03443,0.03076,0.0245,0.02996,0.01941,0.02098,0.0159,0.02915,0.02529,0.02827,0.02763,0.02631,0.02725,0.02296,0.02812,0.02947,0.03345,0.0287,0.0266,0.02615,0.04114,0.02578,0.03253,0.02741,0.02235,0.02154,0.0364,0.02842,0.03843,0.02709,0.02459,0.02595,0.02449,0.02931,0.03151,0.02979,0.0221,0.02845,0.03212,0.0259,0.03021,0.02512,0.02907,0.03489,0.02739,0.03798,0.0216,0.03115,0.0193,0.02664,0.0221,0.02977,0.03562,0.03367,0.03822,0.02304,0.02632,0.03586,0.02666,0.03386,0.0356,0.02828,0.02514,0.04223,0.02472,0.02638,0.02473,0.0289,0.02989,0.02634,0.02957,0.02463,0.02393,0.03124,0.02384,0.02459,0.03832,0.03023,0.03358,0.02653,0.0355,0.03956,0.039,0.02342,0.02439,0.02051,0.02649,0.02025,0.03141,0.03538,0.03057,0.03578,0.02869,0.03697,0.02566,0.03333,0.02848,0.02688,0.02748,0.02613,0.04222,0.03913,0.03586,0.02838,0.0258,0.03097,0.03413,0.02127,0.03181,0.04209,0.0235,0.02563,0.0321,0.04234,0.04722,0.02783,0.04083,0.02911,0.03847,0.02988,0.0286,0.04545,0.02496
HT OD,,m,0.04409,0.0446,0.04877,0.04227,0.05047,0.04268,0.04347,0.04181,0.04473,0.04238,0.04715,0.04392,0.04355,0.0429,0.04422,0.04135,0.03947,0.05032,0.04171,0.04294,0.04138,0.04581,0.04322,0.04875,0.04987,0.04929,0.05052,0.04704,0.05134,0.04309,0.04635,0.04204,0.04344,0.04245,0.04593,0.04234,0.04118,0.0426,0.04349,0.04074,0.04234,0.04864,0.04213,0.04912,0.04305,0.04122,0.04361,0.04337,0.0439,0.04841,0.04236,0.04544,0.04691,0.05151,0.04355,0.04927,0.04625,0.04098,0.04527,0.03924,0.04272,0.0424,0.04026,0.04553,0.04815,0.0438,0.05162,0.04399,0.04301,0.04345,0.04936,0.04882,0.04032,0.03962,0.04489,0.04537,0.04105,0.04454,0.0457,0.05231,0.04349,0.04366,0.04541,0.04008,0.04206,0.04281,0.03485,0.04366,0.04981,0.05017,0.04757,0.04238,0.04347,0.04835,0.04347,0.0472,0.0438,0.048,0.03054,0.04847,0.04314,0.04717,0.04335,0.04326,0.04381,0.04819,0.04405,0.04306,0.04614,0.04266,0.04314,0.04587,0.04361,0.04278,0.04838,0.04593,0.04778,0.0433,0.04091,0.03789,0.04281,0.04515,0.04915,0.04161,0.05182,0.04658,0.05239,0.04695,0.04369,0.0498,0.03894,0.04559,0.04451,0.04655,0.0467,0.05183,0.04628,0.04535,0.05082,0.04402,0.05089,0.05007,0.04732,0.04246,0.05023,0.04357,0.04459,0.04362,0.05003,0.04747,0.04781,0.0478,0.04643,0.04788,0.04207,0.05299,0.04941,0.047,0.04252
DT OD,,m,0.03684,0.03914,0.04473,0.03231,0.03869,0.03437,0.03478,0.03823,0.04298,0.03194,0.04847,0.03487,0.03865,0.0413,0.04635,0.03316,0.02568,0.04792,0.05103,0.03549,0.03514,0.034,0.03677,0.03923,0.04733,0.03587,0.03797,0.04203,0.04408,0.03207,0.04075,0.03094,0.03545,0.03124,0.04957,0.03176,0.03876,0.03473,0.03096,0.02153,0.0313,0.03223,0.02947,0.03089,0.0374,0.02965,0.03975,0.03734,0.04192,0.03528,0.03679,0.03778,0.03824,0.04076,0.03793,0.04237,0.0415,0.04146,0.0473,0.03564,0.03157,0.03057,0.03744,0.04405,0.05335,0.04011,0.03343,0.03306,0.0315,0.03308,0.0465,0.03738,0.03362,0.03849,0.04525,0.03295,0.02062,0.03427,0.04163,0.0398,0.03592,0.04055,0.03619,0.03449,0.03105,0.03893,0.0321,0.0428,0.05183,0.05033,0.04945,0.03156,0.03765,0.05086,0.03791,0.04955,0.04247,0.03999,0.03593,0.04089,0.03449,0.03137,0.0324,0.03286,0.04239,0.03298,0.04371,0.03208,0.0347,0.0367,0.03388,0.03752,0.03789,0.03446,0.03731,0.03881,0.03903,0.03897,0.03318,0.03199,0.03212,0.0332,0.03708,0.03152,0.04614,0.039,0.03753,0.05158,0.03482,0.04928,0.03308,0.04971,0.04375,0.04292,0.03465,0.03551,0.04304,0.04092,0.04545,0.0369,0.03828,0.03448,0.04213,0.03143,0.03862,0.04,0.03306,0.03664,0.03816,0.04137,0.03906,0.04172,0.03954,0.03971,0.03884,0.04112,0.04398,0.03938,0.0339
