Design Study 1
Scenarios/Iterations:, 110
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.41114,0.41287,0.49062,0.43586,0.48639,0.42018,0.4972,0.43077,0.40306,0.50077,0.4146,0.42441,0.41483,0.44334,0.46943,0.47318,0.39269,0.43262,0.40168,0.40623,0.40289,0.41196,0.43453,0.40321,0.46424,0.4171,0.40234,0.40535,0.46441,0.41301,0.40613,0.44508,0.39996,0.38841,0.40102,0.4698,0.41778,0.41632,0.46261,0.41331,0.40849,0.47539,0.50153,0.38752,0.41343,0.44977,0.44615,0.40594,0.47497,0.48806,0.47272,0.4185,0.41141,0.42456,0.40618,0.4144,0.39984,0.45061,0.43077,0.58893,0.40962,0.44746,0.4041,0.47774,0.38672,0.47172,0.44858,0.42644,0.40936,0.43423,0.39788,0.41096,0.40239,0.40513,0.40402,0.41599,0.41043,0.40734,0.41126,0.40836,0.40426,0.43998,0.4104,0.4105,0.46888,0.39454,0.41296,0.39734,0.39797,0.43627,0.40937,0.43585,0.41563,0.41141,0.41485,0.43314,0.45987,0.39556,0.3991,0.39709,0.44928,0.58101,0.4674,0.40692,0.40892,0.51257,0.44933,0.45101,0.41281,0.40448
BB Drop,,m,0.072,0.06795,0.01823,0.1184,0.07609,0.04593,0.04858,0.04436,0.01861,-0.01345,0.04821,0.07107,0.05907,0.01436,0.04438,0.03758,0.13634,0.006856,0.07405,0.02648,0.02278,-0.00941,0.01555,0.04651,0.02669,0.06037,0.04927,-0.00598,0.02071,0.11402,-0.00961,-0.01459,0.03108,-0.01736,-0.0046,0.01239,0.07834,0.0978,0.06789,0.15084,0.03994,0.02597,0.05164,0.06818,-0.01434,-0.00008,0.03114,0.07708,-0.00539,0.04301,0.19288,0.10724,0.1014,0.04718,0.02156,0.00034089,0.05165,-0.00426,0.02496,0.01827,0.08961,0.04947,0.01457,0.03612,-0.00124,-0.01358,0.14002,0.02858,0.0505,0.03306,0.04482,0.0114,0.05195,-0.00438,0.03671,0.002383,0.05121,0.04749,0.02746,0.03841,0.03594,-0.00901,0.04835,0.03862,0.03654,0.04597,0.005196,0.0836,0.01479,0.01256,0.09973,0.01595,0.05037,0.03534,0.04707,0.03837,0.04618,0.11288,-0.00859,0.01638,0.01891,0.10932,0.13836,-0.00332,0.03226,0.01415,0.08285,0.08776,0.04974,0.01928,0.06391
Stack,,m,0.5656,0.58509,0.56321,0.56122,0.58174,0.58449,0.58579,0.56474,0.56404,0.55838,0.56479,0.56079,0.57636,0.56229,0.58921,0.58904,0.55669,0.56122,0.58502,0.56911,0.56272,0.55694,0.55803,0.55986,0.57251,0.56546,0.57943,0.56067,0.56409,0.55687,0.55436,0.5533,0.5663,0.55523,0.56229,0.56708,0.58138,0.56206,0.56907,0.55893,0.58186,0.56367,0.5751,0.57582,0.56044,0.55807,0.57373,0.58152,0.56094,0.59595,0.55343,0.57683,0.55814,0.5766,0.56191,0.55632,0.57199,0.5561,0.56013,0.56339,0.55832,0.57858,0.56239,0.5686,0.55521,0.56,0.55789,0.56505,0.59332,0.58267,0.56953,0.56505,0.58306,0.55653,0.58731,0.5585,0.57555,0.55368,0.57843,0.55564,0.57021,0.55418,0.5843,0.56462,0.58751,0.57625,0.56447,0.56417,0.56256,0.56204,0.56233,0.56086,0.5628,0.56945,0.57588,0.58554,0.58688,0.55794,0.56217,0.57195,0.56978,0.56164,0.56248,0.56186,0.5807,0.56136,0.57247,0.5839,0.56428,0.5604,0.5651
SS E,,m,0.06,0.04128,0.04818,0.04357,0.04944,0.04239,0.05345,0.03708,0.04538,0.06011,0.03862,0.04835,0.04957,0.03874,0.05265,0.05205,0.0388,0.05578,0.03818,0.04968,0.0505,0.05745,0.04371,0.03835,0.05581,0.04903,0.04511,0.05812,0.05181,0.04352,0.04126,0.04727,0.04432,0.05834,0.05928,0.05149,0.05052,0.04558,0.0471,0.03682,0.0466,0.05447,0.04487,0.04764,0.05804,0.04518,0.04176,0.03866,0.05271,0.05149,0.03216,0.03766,0.04485,0.04558,0.03608,0.05097,0.05038,0.05593,0.03953,0.04593,0.03457,0.04604,0.04053,0.05124,0.02803,0.06029,0.04009,0.0425,0.04737,0.05015,0.04736,0.05801,0.04793,0.05648,0.05717,0.05517,0.04192,0.03812,0.04944,0.03644,0.04848,0.05122,0.05238,0.05221,0.04705,0.05252,0.05676,0.04745,0.05409,0.05641,0.04514,0.04942,0.044,0.04108,0.04785,0.05237,0.05464,0.0437,0.05712,0.05509,0.05456,0.0428,0.04113,0.03397,0.04559,0.04751,0.04984,0.046,0.04368,0.04978,0.04133
ST Angle,,deg,73.50017,74.30905,72.18051,73.03075,73.09185,71.59267,73.22466,71.93712,71.48315,71.50437,71.76852,74.64016,73.0703,72.00635,72.79389,72.17477,75.93523,72.59121,73.37592,72.95431,72.86618,71.80302,72.61534,73.14999,72.61383,72.64002,73.03897,71.80613,72.66452,74.72767,71.54281,71.81462,71.75353,71.70333,71.8843,72.23994,72.45126,75.0996,73.28923,75.94,72.70889,72.67402,72.34528,71.97661,71.98083,71.63597,71.41482,73.06014,71.80743,72.49248,77.88939,72.86156,76.99078,73.19862,72.202,72.23907,73.08857,72.40894,72.25856,71.58817,71.23815,74.0496,71.27297,73.16789,70.91728,71.83927,75.96483,71.68169,73.65264,72.88536,72.78452,72.06793,73.92935,72.05355,72.94414,72.3356,73.11443,75.6491,72.52864,73.55113,72.93008,72.03172,72.74827,73.1491,73.28204,72.03477,72.12998,75.07087,72.71189,72.55701,74.94632,72.52462,73.32563,72.4903,73.15867,72.61314,72.72587,74.97349,71.54095,72.43275,72.66142,73.93,71.83642,69.78064,73.00584,72.46125,72.07032,72.97858,72.99916,72.4264,75.52504
BB OD,,m,0.04,0.03795,0.03893,0.04228,0.03891,0.03941,0.03757,0.04072,0.03916,0.03886,0.04008,0.03993,0.03874,0.03833,0.0373,0.0361,0.04692,0.03912,0.0369,0.03802,0.0391,0.03963,0.03986,0.0405,0.03859,0.03842,0.0376,0.03784,0.03842,0.04036,0.0398,0.03952,0.03976,0.0398,0.0379,0.03685,0.03854,0.03956,0.03874,0.03965,0.03847,0.0396,0.04001,0.03998,0.03733,0.03963,0.03916,0.03715,0.03757,0.0359,0.04307,0.03775,0.04365,0.03799,0.03862,0.04005,0.03907,0.0401,0.04033,0.03949,0.04135,0.03869,0.03959,0.03987,0.04138,0.03817,0.04566,0.03951,0.03689,0.0366,0.04037,0.03809,0.0383,0.04175,0.038,0.03942,0.0374,0.04217,0.03716,0.04001,0.03842,0.04041,0.03856,0.04051,0.03615,0.03807,0.0374,0.04027,0.03897,0.03936,0.04316,0.03921,0.04349,0.0388,0.0387,0.03738,0.0378,0.04289,0.0369,0.0373,0.03808,0.03902,0.03878,0.03934,0.0373,0.03857,0.0388,0.03825,0.04127,0.04027,0.03869
TT OD,,m,0.02855,0.02918,0.03017,0.03209,0.03132,0.03227,0.02947,0.03069,0.03114,0.03109,0.02979,0.02938,0.031,0.02939,0.03218,0.03663,0.03088,0.02975,0.03101,0.02912,0.02985,0.03184,0.03112,0.0295,0.02915,0.03362,0.0314,0.02958,0.02954,0.02961,0.03143,0.0321,0.03148,0.03248,0.02898,0.02882,0.03479,0.0297,0.03032,0.03185,0.02978,0.02994,0.03157,0.03384,0.02905,0.03148,0.03069,0.03341,0.0297,0.03644,0.03166,0.03545,0.02971,0.02975,0.02917,0.03267,0.02996,0.03281,0.03088,0.03146,0.03104,0.02934,0.03107,0.02978,0.0313,0.02931,0.03098,0.03064,0.02954,0.02881,0.03199,0.02903,0.02916,0.03361,0.02882,0.03123,0.03128,0.02904,0.02902,0.02899,0.02944,0.03363,0.03152,0.03139,0.0291,0.0352,0.02874,0.03013,0.02966,0.02976,0.03183,0.03026,0.03197,0.0296,0.02969,0.02934,0.02975,0.02962,0.029,0.0286,0.02882,0.03191,0.03807,0.03243,0.02909,0.02972,0.03586,0.0326,0.03143,0.03215,0.02925
HT OD,,m,0.038,0.0421,0.04507,0.04293,0.04462,0.04822,0.04325,0.04295,0.04468,0.04214,0.04296,0.04297,0.04566,0.04309,0.04605,0.04814,0.04229,0.04115,0.04303,0.04214,0.04319,0.04236,0.04307,0.04237,0.04157,0.04658,0.04461,0.04219,0.04301,0.0424,0.04274,0.04289,0.0449,0.04206,0.04006,0.04172,0.04743,0.04376,0.04407,0.04313,0.04765,0.04307,0.04668,0.04602,0.04042,0.04316,0.0452,0.0449,0.043,0.04705,0.04224,0.04617,0.04275,0.04385,0.04261,0.04297,0.04577,0.04239,0.04303,0.04439,0.04102,0.04305,0.04321,0.04173,0.04205,0.04019,0.04256,0.04484,0.04299,0.04305,0.04555,0.04093,0.04254,0.04228,0.0413,0.04285,0.04353,0.04149,0.04261,0.04173,0.0446,0.04267,0.04793,0.04323,0.04323,0.04816,0.04058,0.04383,0.04175,0.04169,0.04364,0.04366,0.04312,0.04537,0.04503,0.0439,0.04602,0.04244,0.04106,0.0408,0.04062,0.04383,0.04428,0.04283,0.04481,0.0438,0.04818,0.04401,0.04394,0.04391,0.04268
DT OD,,m,0.03655,0.03734,0.05035,0.04709,0.04107,0.0455,0.03766,0.0491,0.0505,0.05426,0.04781,0.04312,0.04202,0.05244,0.04063,0.04571,0.04894,0.04722,0.04104,0.04123,0.04795,0.05618,0.05626,0.04945,0.04188,0.046,0.04197,0.05051,0.04483,0.04747,0.06445,0.06308,0.0485,0.05814,0.04707,0.04331,0.04576,0.04262,0.04139,0.04832,0.04132,0.04673,0.04534,0.04626,0.04858,0.05966,0.04661,0.04449,0.05019,0.04398,0.05221,0.04802,0.04594,0.04008,0.05245,0.05796,0.04163,0.05617,0.05571,0.0517,0.05428,0.03775,0.05473,0.04298,0.06554,0.04941,0.04835,0.04965,0.03744,0.03762,0.04662,0.04486,0.0374,0.05632,0.03856,0.05378,0.04216,0.04976,0.03966,0.05072,0.04118,0.06047,0.04115,0.04622,0.03755,0.04699,0.04498,0.04168,0.04601,0.04708,0.04509,0.05183,0.04783,0.04515,0.04033,0.03825,0.03891,0.04662,0.0496,0.0424,0.04199,0.04629,0.05513,0.05807,0.03799,0.05052,0.04855,0.04237,0.04761,0.05408,0.03782
