Design Study 1
Scenarios/Iterations:, 197
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.39224,0.39791,0.4042,0.38215,0.40068,0.38945,0.39449,0.38409,0.40203,0.40114,0.39565,0.40016,0.40385,0.39856,0.38718,0.38287,0.39845,0.40002,0.40517,0.39867,0.39892,0.38332,0.39703,0.39067,0.40102,0.39672,0.40553,0.40394,0.38761,0.40025,0.368,0.39605,0.3736,0.38756,0.38507,0.39632,0.38292,0.38674,0.38452,0.3809,0.37852,0.38121,0.37858,0.40676,0.39931,0.3949,0.39896,0.38422,0.4035,0.39906,0.39986,0.40755,0.40029,0.40509,0.39588,0.38299,0.39968,0.38016,0.39434,0.40426,0.39928,0.40211,0.38214,0.4038,0.39652,0.38988,0.39903,0.40039,0.39455,0.40279,0.39101,0.38851,0.40881,0.39955,0.40103,0.39644,0.38947,0.40055,0.39883,0.39334,0.38833,0.39353,0.38939,0.40568,0.39399,0.39746,0.36687,0.40122,0.397,0.39764,0.40123,0.40389,0.39643,0.38458,0.38902,0.40331,0.36947,0.37165,0.40295,0.409,0.37832,0.39328,0.3713,0.39842,0.40419,0.39835,0.39772,0.40288,0.37414,0.39623,0.4061,0.39785,0.36142,0.3977,0.39175,0.38554,0.37071,0.3904,0.39665,0.39995,0.41159,0.39211,0.40189,0.40593,0.39435,0.39605,0.3982,0.41029,0.39551,0.40327,0.39299,0.40365,0.38855,0.39685,0.40853,0.38846,0.3904,0.40602,0.40425,0.40628,0.40102,0.39018,0.39468,0.38186,0.39962,0.40352,0.40693,0.39402,0.40304,0.40136,0.38408,0.39763,0.38712,0.40243,0.40493,0.38055,0.385,0.38838,0.39777,0.3761,0.39144,0.37282,0.39582,0.40908,0.39996,0.39908,0.39588,0.38399,0.38595,0.39809,0.38273,0.40241,0.39526,0.40107,0.39581,0.39645,0.38386,0.39554,0.41097,0.39138,0.39767,0.39005,0.40337,0.39831,0.38206,0.39922,0.3755,0.40144,0.39989,0.40262,0.38153,0.40298,0.38607,0.38694,0.39993,0.40309,0.38767
BB Drop,,m,0.072,0.01962,0.04465,0.05081,0.02729,0.05036,0.01162,0.02399,0.00031189,0.05459,0.05054,0.02402,0.05003,0.04756,0.05667,0.02802,0.02342,0.05147,0.02504,0.04982,0.05099,0.02107,0.01136,0.02343,0.01753,0.05453,0.04791,0.05087,0.04458,0.01766,0.05038,-0.03089,0.03953,-0.01304,0.02671,0.003089,0.02028,0.001903,0.02351,0.005893,0.03054,-0.01938,0.007981,-0.01012,0.04917,0.04876,0.01748,0.05456,0.008175,0.05447,0.0367,0.05046,0.05105,0.04635,0.05067,0.03267,0.002468,0.04707,0.02726,0.02785,0.05649,0.03978,0.04198,-0.0083,0.04475,0.04692,0.02388,0.04893,0.03669,0.02326,0.05071,-0.0011,0.02851,0.0494,0.03048,0.04965,0.0521,0.01814,0.05199,0.04824,0.04401,0.03574,0.03096,0.006251,0.04968,0.004273,0.05199,0.002585,0.05235,0.04774,0.03898,0.04988,0.05488,0.04877,0.02387,0.04518,0.05214,-0.00883,-0.00531,0.05496,0.04757,0.01047,0.02508,-0.00699,0.05113,0.05605,0.05422,0.01997,0.05041,-0.00594,0.03135,0.05824,0.05106,-0.03203,0.04716,0.02439,0.009288,0.00098564,0.04586,0.02816,0.05162,0.04472,0.04291,0.0556,0.05259,0.03329,0.0291,0.05015,0.05095,0.03559,0.05103,0.01011,0.03588,0.002711,0.04898,0.05021,0.01654,0.03125,0.04802,0.05242,0.05262,0.04615,0.04435,0.04533,0.002338,0.04427,0.05183,0.03565,0.04669,0.02404,0.05356,0.01341,0.04361,0.0102,0.05439,0.05052,0.03054,0.03822,0.01268,0.03225,0.0107,0.0303,-0.00737,0.03742,0.06014,0.0404,0.02974,0.0239,0.04037,0.02643,0.03787,-0.00166,0.05028,0.03295,0.04889,0.02368,0.04846,0.008178,0.04425,0.04916,0.02209,0.04646,0.02301,0.04991,0.05213,-0.00239,0.03884,0.02941,0.04932,0.05297,0.05216,0.01328,0.05002,0.01168,0.00553,0.04691,0.03736,0.01102
Stack,,m,0.5656,0.56874,0.55786,0.56379,0.56081,0.56182,0.58234,0.55762,0.58343,0.56812,0.56204,0.59022,0.56107,0.56773,0.56131,0.55751,0.55698,0.56733,0.56189,0.56245,0.57413,0.56142,0.55328,0.5607,0.55965,0.5689,0.55843,0.56203,0.56866,0.5636,0.56208,0.5565,0.56257,0.5565,0.57845,0.58922,0.59027,0.56417,0.56633,0.57177,0.55506,0.55864,0.56006,0.55784,0.56699,0.55972,0.5588,0.56476,0.5575,0.56272,0.56066,0.56331,0.5642,0.565,0.56213,0.57298,0.58135,0.56483,0.55703,0.56348,0.56505,0.56483,0.56278,0.55801,0.57272,0.55803,0.557,0.5756,0.56133,0.55644,0.563,0.55998,0.56012,0.56815,0.56189,0.56185,0.57315,0.5593,0.56296,0.56221,0.5787,0.56248,0.55912,0.55686,0.58322,0.56284,0.57104,0.55282,0.56425,0.56007,0.55924,0.56185,0.56458,0.5602,0.55961,0.55646,0.56471,0.55719,0.55751,0.56512,0.56434,0.55838,0.56009,0.5566,0.56505,0.56843,0.56469,0.56113,0.5639,0.55443,0.56442,0.56527,0.56365,0.55545,0.558,0.55797,0.57021,0.55784,0.55626,0.56098,0.56309,0.57722,0.56393,0.56161,0.56425,0.57656,0.55678,0.5641,0.57595,0.55832,0.56445,0.55808,0.56476,0.5601,0.56025,0.57993,0.55961,0.55733,0.57569,0.56257,0.56328,0.5728,0.55547,0.55759,0.55745,0.55915,0.5627,0.56386,0.55891,0.56315,0.57415,0.56328,0.57234,0.55645,0.56444,0.57096,0.56107,0.55535,0.58432,0.57418,0.55952,0.56076,0.5569,0.56147,0.56499,0.56174,0.56182,0.56083,0.56228,0.5597,0.56301,0.55881,0.56372,0.56167,0.55974,0.56049,0.5596,0.55875,0.55856,0.57591,0.55953,0.55766,0.55962,0.56453,0.57236,0.58246,0.56521,0.56109,0.56012,0.56686,0.56458,0.5601,0.58364,0.55842,0.5805,0.55868,0.5611,0.58315
SS E,,m,0.06,0.04634,0.04885,0.02237,0.05754,0.04705,0.03823,0.14693,0.04954,0.04431,0.04436,0.01815,0.05358,0.03458,0.04883,0.05445,0.05629,0.02649,0.05381,0.05887,0.02811,0.04986,0.16016,0.04879,0.05224,0.04165,0.05627,0.04665,0.04514,0.05747,0.0446,0.04629,0.05134,0.04497,0.01927,0.03089,0.03837,0.07904,0.07097,0.04849,0.05673,0.05977,0.073,0.05296,0.04484,0.04359,0.11891,0.04287,0.10101,0.04845,0.11317,0.03202,0.05297,0.04304,0.04751,0.05957,0.05883,0.05372,0.05463,0.12366,0.038,0.06652,0.09221,0.04588,0.05643,0.06243,0.13863,0.02731,0.08498,0.13661,0.03709,0.05219,0.04912,0.05567,0.05295,0.04873,0.01242,0.05159,0.05963,0.03735,0.02982,0.06009,0.05424,0.12217,0.04455,0.07615,0.03393,0.04541,0.03382,0.04598,0.05412,0.05009,0.02906,0.04088,0.10176,0.05577,0.03433,0.06094,0.05823,0.04827,0.04949,0.06073,0.05436,0.0558,0.03147,0.03967,0.03501,0.05029,0.03257,0.13656,0.06327,0.04153,0.03826,0.08656,0.05457,0.04653,0.03812,0.10651,0.05413,0.05432,0.05188,0.05969,0.05704,0.06016,0.05168,0.02776,0.11619,0.03372,0.05693,0.05226,0.05869,0.12947,0.0587,0.05883,0.04112,0.05719,0.05564,0.05368,0.02329,0.05109,0.04053,0.03908,0.05292,0.04526,0.15182,0.0526,0.03968,0.05549,0.04855,0.05323,0.01177,0.06254,0.0307,0.15367,0.05046,0.05135,0.06256,0.06172,0.04666,0.04682,0.05761,0.05122,0.05821,0.05515,0.03549,0.05424,0.05458,0.05437,0.07199,0.09756,0.05439,0.0523,0.03296,0.06659,0.05491,0.09358,0.05573,0.05214,0.05617,0.05371,0.05288,0.05209,0.05686,0.05135,0.03063,0.0422,0.05749,0.06156,0.05056,0.04248,0.05126,0.06138,0.04744,0.04804,0.04015,0.05035,0.11073,0.05221
ST Angle,,deg,73.50017,73.30848,72.15861,72.7784,71.71685,73.34345,74.95128,70.86,75.41544,74.44427,73.22148,75.11907,73.37382,73.10054,73.01067,70.78635,70.56328,74.85785,70.3856,72.40337,74.81768,70.4587,70.09364,70.33698,69.51916,74.4053,72.91573,72.85831,73.05093,73.05743,73.56548,65.92405,72.07726,67.4947,75.25071,76.30912,75.37791,73.28644,73.06672,75.1238,70.97851,68.57592,70.51636,69.30169,73.81684,73.00495,70.57936,74.89855,70.29204,73.46892,71.7721,73.69452,72.73159,73.23017,72.46007,73.22921,75.1951,72.74551,70.97037,72.75952,73.83708,72.84469,72.12023,68.78668,73.02957,72.58354,70.92945,75.43801,71.90242,71.5805,73.26113,69.46388,71.45125,72.4185,71.37551,73.33718,74.96828,69.98275,72.91745,73.32937,75.6952,71.90318,70.86759,69.94612,72.99369,69.55392,75.74561,68.64824,74.19045,73.32368,71.57832,73.36136,73.55123,73.39906,71.20274,72.22168,73.65894,69.67252,69.86874,73.96771,72.08927,70.69184,70.38143,69.76695,74.90129,73.3273,75.2466,69.98326,73.26099,69.38514,72.91944,73.3765,74.76113,68.23817,72.73095,70.0095,74.61346,69.97623,72.92394,70.88493,75.19889,71.97415,72.48558,73.3531,73.06025,73.87411,71.41233,74.68204,72.56283,71.13216,72.87734,70.06396,71.69932,69.94149,73.37629,72.96469,70.27354,70.85303,73.90726,73.25395,73.0628,73.33781,72.83492,72.78048,72.03266,72.10935,73.26493,71.1471,73.24355,70.63191,75.3571,73.04538,73.3023,71.78908,73.96402,73.23271,71.45921,71.8039,74.17702,73.29232,70.63944,71.56274,69.72965,71.85381,72.93298,71.73479,70.75107,70.35162,72.12777,71.33055,71.99323,69.70412,73.30112,71.7492,72.88736,71.0759,73.56783,69.1993,72.01369,72.36436,70.07437,72.55775,70.28403,72.66038,74.81567,76.18584,72.81666,71.67783,72.97221,75.38494,74.70778,70.88976,73.21959,69.91217,75.15378,72.50738,71.84238,74.8683
BB OD,,m,0.04,0.03986,0.03922,0.03937,0.03976,0.03953,0.04013,0.04138,0.04101,0.03966,0.03949,0.04003,0.03961,0.03944,0.0389,0.03954,0.03955,0.03963,0.03958,0.0395,0.03952,0.03966,0.04391,0.03957,0.03936,0.03956,0.03944,0.03947,0.03955,0.03979,0.03963,0.03973,0.03942,0.03971,0.03939,0.04005,0.04025,0.04037,0.04019,0.04001,0.03956,0.04028,0.04053,0.04013,0.03971,0.03945,0.04062,0.03952,0.04225,0.03942,0.04033,0.03955,0.03941,0.03925,0.03931,0.03966,0.04096,0.03969,0.03935,0.03969,0.03967,0.03988,0.03998,0.03989,0.03942,0.03954,0.04182,0.03961,0.04028,0.04018,0.0396,0.03992,0.03924,0.03947,0.03959,0.03969,0.03921,0.03962,0.03904,0.0397,0.03948,0.04017,0.03957,0.04194,0.03893,0.03998,0.03956,0.03927,0.03952,0.03964,0.03948,0.03968,0.03961,0.03951,0.04049,0.03938,0.03967,0.04051,0.04054,0.03965,0.03936,0.03991,0.03957,0.04013,0.03966,0.03935,0.03946,0.03957,0.03968,0.04414,0.03944,0.03966,0.03955,0.04426,0.0395,0.03907,0.03972,0.04143,0.03926,0.03967,0.03953,0.03942,0.03992,0.03926,0.03939,0.03939,0.04125,0.0397,0.03943,0.03948,0.0392,0.04088,0.03983,0.0402,0.03951,0.03931,0.03948,0.03956,0.03974,0.03961,0.03952,0.03947,0.03936,0.03942,0.04196,0.0394,0.03952,0.03956,0.03951,0.03961,0.03939,0.03961,0.0392,0.04026,0.03964,0.0395,0.04044,0.03963,0.04099,0.03948,0.0407,0.03934,0.04029,0.03931,0.03949,0.03947,0.03957,0.03962,0.03992,0.04054,0.03969,0.0399,0.03968,0.04029,0.03955,0.04042,0.03961,0.03968,0.03951,0.03936,0.03951,0.03941,0.03961,0.03939,0.03943,0.04037,0.03989,0.0401,0.03955,0.03966,0.03971,0.04037,0.03915,0.03969,0.0404,0.03935,0.04037,0.04054
TT OD,,m,0.02855,0.03191,0.02914,0.0301,0.02777,0.03587,0.03346,0.02774,0.03207,0.03263,0.0353,0.03612,0.03435,0.03194,0.03294,0.0341,0.03582,0.03368,0.03461,0.03011,0.03381,0.03218,0.02612,0.03387,0.03397,0.03224,0.03186,0.02979,0.03121,0.0332,0.03125,0.04533,0.02864,0.04144,0.03634,0.03787,0.03629,0.03262,0.02837,0.03531,0.03396,0.02968,0.02821,0.02956,0.0351,0.02969,0.02865,0.03134,0.02787,0.03602,0.02818,0.03103,0.02967,0.02915,0.02973,0.03118,0.0302,0.02823,0.0358,0.02978,0.03391,0.02869,0.0288,0.03494,0.0298,0.02999,0.02696,0.03682,0.02852,0.0286,0.03107,0.02993,0.02944,0.02922,0.02968,0.03478,0.03221,0.03598,0.03003,0.03413,0.03702,0.02713,0.03235,0.02847,0.03011,0.03038,0.03532,0.03792,0.03126,0.0319,0.02965,0.0349,0.03544,0.03043,0.02713,0.03124,0.03397,0.02796,0.02795,0.03159,0.02925,0.02833,0.0339,0.02846,0.03534,0.03213,0.03141,0.03503,0.03332,0.02685,0.03166,0.03267,0.03115,0.0278,0.02953,0.03043,0.03542,0.02711,0.03322,0.03406,0.03862,0.03066,0.02703,0.03372,0.0298,0.03445,0.02744,0.03579,0.02969,0.02988,0.02923,0.02881,0.02928,0.02958,0.03035,0.03038,0.03456,0.03096,0.03449,0.03059,0.03041,0.03345,0.03084,0.02986,0.0288,0.02948,0.03026,0.03207,0.03478,0.03162,0.03841,0.03458,0.03316,0.02887,0.03101,0.03289,0.02582,0.03199,0.02932,0.03379,0.02712,0.02931,0.02856,0.02985,0.03192,0.0318,0.03323,0.03497,0.02652,0.02694,0.02872,0.02995,0.03395,0.02824,0.02984,0.02872,0.03436,0.03821,0.03127,0.02962,0.03416,0.02951,0.03491,0.02884,0.0327,0.03494,0.02858,0.02607,0.02977,0.03485,0.03566,0.02804,0.03245,0.03527,0.03312,0.0294,0.02872,0.03027
HT OD,,m,0.038,0.04605,0.04333,0.04467,0.04925,0.04477,0.04517,0.04954,0.04661,0.04283,0.04559,0.04613,0.04319,0.04351,0.04826,0.05124,0.05243,0.04243,0.05091,0.04618,0.04257,0.04939,0.04744,0.05028,0.05276,0.04296,0.04442,0.04367,0.04504,0.04347,0.04263,0.06127,0.0483,0.05696,0.04242,0.04317,0.04706,0.04434,0.04621,0.04501,0.05093,0.05641,0.05194,0.05369,0.04688,0.04283,0.05263,0.0426,0.05189,0.04558,0.04816,0.0425,0.04458,0.04791,0.04659,0.04526,0.04703,0.04722,0.05309,0.04417,0.0432,0.04609,0.04929,0.05227,0.0463,0.04421,0.0479,0.04306,0.04867,0.04281,0.04287,0.05225,0.04954,0.04814,0.04829,0.04324,0.04228,0.05202,0.04652,0.04287,0.04239,0.04835,0.04956,0.05374,0.04581,0.05532,0.04251,0.05771,0.04256,0.04262,0.0466,0.04325,0.04482,0.04245,0.04925,0.04802,0.04313,0.05358,0.05281,0.04291,0.04729,0.05091,0.05098,0.05304,0.04274,0.04392,0.04238,0.05128,0.04311,0.05326,0.04462,0.04319,0.04229,0.05791,0.04299,0.04995,0.04479,0.05381,0.04493,0.04952,0.04395,0.05099,0.04689,0.04438,0.04364,0.04279,0.04317,0.04277,0.04686,0.04783,0.04684,0.0546,0.0492,0.05223,0.04247,0.04691,0.05052,0.0488,0.04637,0.04299,0.0435,0.043,0.04297,0.04296,0.04245,0.04542,0.04287,0.04926,0.04312,0.04963,0.04686,0.04326,0.04282,0.0423,0.04277,0.04346,0.04823,0.04796,0.04898,0.04327,0.05178,0.04941,0.05302,0.04783,0.0461,0.04847,0.05022,0.05108,0.04774,0.04838,0.04826,0.05261,0.04315,0.04867,0.04314,0.051,0.04293,0.05416,0.04758,0.04717,0.05162,0.04318,0.05177,0.04789,0.04271,0.04491,0.04664,0.04897,0.04298,0.04267,0.04308,0.05079,0.04417,0.05167,0.04588,0.04314,0.04786,0.04732
DT OD,,m,0.03655,0.03818,0.03674,0.03538,0.03939,0.03764,0.04214,0.03637,0.04188,0.03709,0.03751,0.04216,0.0377,0.03711,0.04243,0.04463,0.04813,0.03596,0.04462,0.03892,0.03677,0.0439,0.03548,0.04449,0.04415,0.03688,0.03769,0.03694,0.03771,0.0384,0.03658,0.06506,0.0381,0.05809,0.03782,0.04677,0.04686,0.03968,0.03704,0.04271,0.04367,0.04971,0.04039,0.04836,0.04155,0.0363,0.03734,0.03671,0.03746,0.03967,0.03674,0.03569,0.03731,0.03756,0.03741,0.03848,0.04103,0.03693,0.04974,0.03752,0.03706,0.03713,0.0372,0.05289,0.03772,0.0387,0.03611,0.03769,0.0371,0.03593,0.03617,0.04455,0.0438,0.03754,0.04189,0.03733,0.03563,0.04797,0.04243,0.03623,0.0378,0.03679,0.04184,0.03747,0.03706,0.04381,0.03707,0.05089,0.03613,0.0365,0.03771,0.03748,0.03666,0.03606,0.03686,0.03916,0.03662,0.04425,0.04305,0.03714,0.0371,0.04274,0.04426,0.04616,0.0365,0.03694,0.03622,0.04558,0.03615,0.03699,0.03778,0.03709,0.03622,0.04388,0.03702,0.03846,0.04168,0.03778,0.03763,0.04568,0.04196,0.03768,0.03634,0.04221,0.0372,0.03768,0.03545,0.03647,0.03747,0.03781,0.03863,0.03752,0.03781,0.04492,0.03609,0.03754,0.05004,0.03977,0.03751,0.03721,0.03666,0.03748,0.03696,0.03635,0.03635,0.03726,0.03635,0.04083,0.03711,0.04309,0.03727,0.03899,0.03713,0.03622,0.03715,0.03769,0.03584,0.04192,0.03776,0.04029,0.03762,0.04282,0.04628,0.04311,0.03698,0.04196,0.04243,0.04555,0.03647,0.03659,0.03775,0.04944,0.03624,0.03723,0.03732,0.03753,0.03764,0.05221,0.0393,0.03737,0.04462,0.0369,0.04645,0.03756,0.03649,0.0442,0.0369,0.03671,0.03692,0.03731,0.03891,0.04032,0.03727,0.05004,0.04156,0.03679,0.03675,0.04025
