Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.40487,0.3486,0.40609,0.4168,0.41953,0.39664,0.45385,0.4191,0.41753,0.40045,0.29003,0.43791,0.39993,0.40124,0.38496,0.375,0.43701,0.41095,0.32304,0.42577,0.38251,0.40409,0.43451,0.40609,0.40546,0.40029,0.44142,0.38762,0.40013,0.38242,0.38093,0.44227,0.42689,0.4026,0.39729,0.43934,0.40426,0.40195,0.36671,0.4061,0.41009,0.41671,0.36881,0.41074,0.4041,0.46507,0.42753,0.40604,0.44125,0.40026,0.40885,0.48515,0.3822,0.43678,0.34552,0.42328,0.45746,0.3683,0.41255,0.39714,0.40068,0.43485,0.31219,0.41476,0.41064,0.40615,0.3961,0.40499,0.40562,0.41636,0.45801,0.40413,0.42147,0.40489,0.38184,0.40651,0.42248,0.41348,0.40796,0.40509,0.42257,0.40555,0.37127,0.44141,0.42302,0.37034,0.40677,0.40903,0.41035,0.38795,0.37158,0.38449,0.40048,0.37407,0.40306,0.40875,0.43217,0.39493,0.38144,0.42835,0.40443,0.44561,0.43774,0.43119,0.42306,0.38687,0.41245,0.43479,0.43562,0.38624,0.40118,0.37406,0.40798,0.4182,0.4303,0.42529,0.38857,0.40024,0.43066,0.41707,0.43061,0.42119,0.41558,0.45296,0.41763,0.40528,0.40975,0.37574
BB Drop,,m,0.072,0.06934,0.06528,0.0677,0.06575,0.07158,0.06522,0.06505,0.04357,0.07364,0.07087,-0.04554,0.03409,0.07396,0.04685,0.0586,0.03852,0.06919,0.03447,-0.00462,0.06762,-0.03983,0.0682,0.05133,-0.00371,0.07051,0.06671,0.07493,0.04256,0.07129,0.05036,0.02207,0.073,0.02796,0.07023,0.05066,0.06839,0.06944,0.07102,0.06755,0.04881,0.0597,0.0524,0.07396,0.06926,0.06663,0.06909,0.07067,0.06768,0.06889,0.07064,0.0668,0.07107,0.05251,0.07003,-0.07676,0.06935,0.06739,0.006112,0.07069,0.06978,0.07071,0.06734,0.007126,0.02563,0.0716,0.07482,0.04396,0.07038,0.06934,0.069,0.05519,0.06986,0.06761,0.02655,0.06956,0.06871,0.07044,0.06825,0.06972,0.06714,0.07019,0.06981,0.05053,0.07235,0.0684,0.06316,0.05071,0.07017,0.004372,-0.00168,-0.01384,0.07206,0.07153,0.009377,0.06644,0.06734,0.07141,0.06862,-0.01881,0.06928,0.06793,0.06819,0.04109,0.07055,0.06875,0.06671,0.06773,0.07095,0.06913,0.01047,0.06963,0.006348,0.0702,0.07136,0.07052,0.07406,0.0505,0.07214,0.06739,0.05775,0.07171,0.07005,0.001025,0.06995,0.0708,0.07212,0.04297,0.07151
Stack,,m,0.5656,0.56562,0.56542,0.56566,0.56437,0.56612,0.56628,0.56504,0.56661,0.58829,0.5655,0.56493,0.56579,0.56654,0.56507,0.56599,0.56567,0.56573,0.56561,0.5649,0.60444,0.49849,0.56531,0.56574,0.56569,0.5658,0.56446,0.5666,0.56489,0.56478,0.56506,0.50706,0.56536,0.56555,0.5659,0.51428,0.56577,0.56477,0.53639,0.49317,0.56527,0.56519,0.56475,0.56537,0.56619,0.56558,0.56652,0.56606,0.56575,0.56533,0.56482,0.56548,0.56505,0.51004,0.56512,0.56614,0.56714,0.5658,0.56564,0.56636,0.5649,0.56521,0.59936,0.56496,0.56591,0.56573,0.56551,0.56573,0.5653,0.56607,0.56602,0.64105,0.56489,0.60957,0.56486,0.56443,0.56473,0.55678,0.56616,0.56572,0.56512,0.56509,0.5654,0.56477,0.56539,0.56557,0.5649,0.56544,0.56682,0.566,0.56537,0.56566,0.56525,0.56571,0.56554,0.56553,0.56574,0.56482,0.56575,0.50623,0.56648,0.56572,0.56627,0.56604,0.56538,0.56698,0.56464,0.56517,0.56607,0.56515,0.56537,0.5662,0.56552,0.56607,0.56585,0.61507,0.59337,0.56489,0.5659,0.56634,0.5656,0.56547,0.56594,0.56559,0.56641,0.56582,0.56535,0.56488,0.56577
SS E,,m,0.06,0.04529,0.04422,0.04577,0.04557,0.0452,0.04369,0.03678,0.058,0.04362,0.04464,0.0425,0.06938,0.04522,0.04316,0.04546,0.02109,0.04628,0.06684,0.03285,0.04424,0.03998,0.04355,0.06246,0.04479,0.04415,0.04648,0.04426,0.04772,0.04446,0.04284,0.04455,0.01836,0.0479,0.04815,0.02852,0.04394,0.04328,0.04749,0.04776,0.04501,0.04181,0.05623,0.04665,0.04641,0.04746,0.04433,0.04385,0.04688,0.0348,0.04464,0.04774,0.04517,0.04393,0.04275,0.03124,0.05196,0.04624,0.04569,0.04627,0.0452,0.04381,0.04614,0.04631,0.04379,0.04313,0.04475,0.04435,0.04421,0.04271,0.04306,0.06647,0.04728,0.04709,0.04873,0.04603,0.04403,0.04511,0.04524,0.04682,0.04318,0.04439,0.04383,0.05517,0.04605,0.0447,0.03072,0.04524,0.04569,0.04653,0.04643,0.04731,0.008236,0.04764,0.0438,0.04407,0.04675,0.0621,0.04417,0.02295,0.06973,0.04799,0.03762,0.01612,0.04456,0.04566,0.04396,0.04538,0.04577,0.04341,0.06139,0.0434,0.04251,0.04193,0.04419,0.06658,0.04688,0.04404,0.04664,0.04489,0.02011,0.0455,0.04487,0.04819,0.05992,0.04386,0.0442,0.05705,0.04802
ST Angle,,deg,73.50017,73.09133,73.59033,72.99412,72.1302,72.79112,73.2285,73.09427,72.99391,73.47495,73.98992,74.73665,71.53892,73.84089,74.02506,74.00979,71.25481,73.48118,73.01417,68.68487,72.98106,74.96314,73.26529,72.83851,72.36868,73.03148,73.95343,72.94504,73.27692,73.94685,74.44305,75.2054,73.18579,70.35946,73.9381,75.45499,73.18029,73.17023,73.96518,73.8638,73.87029,72.98371,73.13878,74.04217,73.97522,74.0072,73.28195,73.41099,73.86187,73.02906,73.95512,73.92542,73.08035,74.05124,73.23554,73.94232,72.99146,72.9871,74.11872,74.00564,73.94327,73.97482,73.08533,74.01141,71.70058,72.97136,72.7213,74.1731,73.43286,73.97714,73.46225,73.45462,73.97078,73.5637,75.33446,74.23213,73.98743,73.37929,73.15467,73.92227,73.92887,72.98074,73.93849,74.29993,73.18336,73.09754,74.91297,72.99815,73.17274,71.40882,73.90532,75.47969,74.02215,73.93023,74.04835,73.27184,74.05545,72.84939,73.87578,70.69451,73.3948,73.98913,73.09183,72.85582,72.95529,73.16359,74.08319,73.97645,73.21598,73.1495,78.34669,73.42291,74.03677,74.07168,72.90536,73.21961,73.55312,73.97738,73.41955,73.0068,73.19876,73.39468,73.19182,72.97532,73.24798,72.5895,73.95695,71.08995,73.93779
BB OD,,m,0.04,0.04021,0.04048,0.03998,0.03984,0.04025,0.03976,0.04026,0.03915,0.04012,0.04045,0.0403,0.03945,0.03944,0.0401,0.04025,0.04017,0.04014,0.03986,0.04013,0.03984,0.04007,0.03988,0.03993,0.04033,0.03909,0.04032,0.03926,0.04094,0.03948,0.03976,0.04011,0.04054,0.04001,0.04117,0.03977,0.03913,0.03981,0.03923,0.03997,0.03925,0.03956,0.04038,0.04059,0.04056,0.03986,0.03977,0.0393,0.03951,0.03946,0.0397,0.04041,0.03964,0.04045,0.04053,0.03953,0.04022,0.03982,0.03987,0.03995,0.03992,0.03974,0.03936,0.04026,0.04036,0.04023,0.04046,0.03948,0.03988,0.03966,0.03945,0.03969,0.03969,0.03944,0.04085,0.03919,0.03981,0.03979,0.03995,0.0401,0.0409,0.04042,0.03894,0.04,0.04023,0.04034,0.04041,0.04042,0.04045,0.03978,0.0399,0.03929,0.0399,0.03959,0.04002,0.03973,0.03978,0.03977,0.03953,0.04021,0.03893,0.03971,0.03995,0.04038,0.03941,0.04012,0.04033,0.04011,0.04007,0.04008,0.04046,0.03967,0.0393,0.03929,0.03909,0.03954,0.03987,0.04031,0.04018,0.03981,0.0395,0.04021,0.03975,0.04116,0.03941,0.03955,0.03961,0.04046,0.0401
TT OD,,m,0.02855,0.02847,0.0282,0.02862,0.02746,0.02922,0.0287,0.02769,0.03953,0.03034,0.02897,0.02964,0.03905,0.027,0.02768,0.03073,0.02742,0.03036,0.04003,0.02817,0.0295,0.02917,0.02721,0.02998,0.02976,0.02797,0.02806,0.02729,0.02753,0.02757,0.02906,0.03044,0.02704,0.02917,0.02938,0.02702,0.03023,0.02684,0.02848,0.02785,0.02787,0.02762,0.02954,0.02583,0.02824,0.02965,0.02673,0.02837,0.02738,0.02708,0.02854,0.02882,0.0287,0.0283,0.03021,0.02892,0.02742,0.02941,0.02859,0.03023,0.02832,0.02717,0.03031,0.02711,0.02968,0.02709,0.02773,0.02851,0.02844,0.02975,0.0273,0.02846,0.02652,0.0274,0.02789,0.02754,0.03076,0.02932,0.02974,0.02759,0.02994,0.02799,0.02631,0.02917,0.02954,0.02828,0.02767,0.02852,0.02816,0.03603,0.02816,0.02767,0.02737,0.02804,0.03137,0.02898,0.02888,0.0286,0.027,0.02815,0.0298,0.02854,0.02798,0.02929,0.02758,0.02872,0.02865,0.02926,0.0291,0.028,0.02829,0.02838,0.02723,0.02657,0.02904,0.02929,0.02802,0.02886,0.02682,0.02994,0.02805,0.0287,0.02883,0.02858,0.03568,0.0273,0.02874,0.03797,0.02896
HT OD,,m,0.038,0.02891,0.03487,0.04534,0.04497,0.0341,0.04547,0.03145,0.05155,0.04509,0.04541,0.04567,0.04516,0.04519,0.04673,0.04519,0.03992,0.04461,0.04943,0.04489,0.04531,0.03732,0.03038,0.04467,0.0461,0.03093,0.04539,0.03962,0.03689,0.04448,0.04504,0.04595,0.03392,0.04965,0.04597,0.03325,0.0454,0.03484,0.04473,0.04519,0.03075,0.03135,0.03887,0.04435,0.04536,0.04476,0.03154,0.03426,0.03317,0.02961,0.04592,0.04505,0.04614,0.04586,0.03345,0.04511,0.03051,0.03943,0.04462,0.04505,0.04429,0.04602,0.04627,0.04493,0.04507,0.04415,0.03311,0.04023,0.04557,0.04553,0.04579,0.04905,0.03386,0.04439,0.0434,0.03429,0.04594,0.04506,0.04502,0.04452,0.04504,0.04549,0.0325,0.04632,0.04423,0.04482,0.03524,0.04513,0.03521,0.04508,0.04561,0.04465,0.03257,0.04546,0.04421,0.04462,0.04461,0.04952,0.04464,0.03794,0.05117,0.04432,0.03252,0.03401,0.03168,0.04533,0.04551,0.04468,0.04607,0.03049,0.0457,0.03002,0.04477,0.04611,0.04503,0.04892,0.04682,0.0443,0.03318,0.04485,0.03393,0.04635,0.03819,0.04454,0.05149,0.04592,0.0456,0.05082,0.04572
DT OD,,m,0.03655,0.03604,0.03673,0.03711,0.03844,0.03616,0.03664,0.03565,0.0364,0.03645,0.03602,0.0362,0.04691,0.03782,0.03592,0.03626,0.03642,0.03607,0.04767,0.03718,0.0366,0.0371,0.03615,0.03712,0.03611,0.03523,0.03755,0.03651,0.03659,0.03576,0.03702,0.0359,0.03649,0.03704,0.03544,0.0362,0.03676,0.03607,0.03617,0.03676,0.03699,0.03623,0.03739,0.03664,0.03622,0.03646,0.03624,0.03645,0.03611,0.03554,0.03624,0.03623,0.03703,0.0356,0.03598,0.03592,0.03566,0.03748,0.03664,0.0366,0.0362,0.03535,0.03637,0.03598,0.03546,0.03628,0.03529,0.0359,0.03651,0.03652,0.03658,0.03513,0.03705,0.03713,0.03639,0.03807,0.03746,0.03761,0.03687,0.03678,0.03669,0.03688,0.03776,0.03596,0.0361,0.03778,0.03646,0.03573,0.03718,0.04192,0.0358,0.03686,0.03502,0.03617,0.03578,0.03602,0.03628,0.04315,0.03627,0.03638,0.03595,0.03672,0.03611,0.03527,0.03577,0.0363,0.03509,0.03678,0.03662,0.03667,0.03601,0.03606,0.03717,0.0361,0.03762,0.03687,0.03536,0.03566,0.03628,0.03668,0.03621,0.03582,0.03605,0.03634,0.03696,0.03623,0.037,0.04609,0.03655
