Design Study 1
Scenarios/Iterations:, 199
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.409352,0.405928,0.568189,0.424132,0.386484,0.421841,0.429671,0.365406,0.331038,0.404045,0.379175,0.476725,0.380954,0.426793,0.446099,0.422869,0.401258,0.441189,0.427927,0.374238,0.428485,0.443374,0.360464,0.452071,0.404575,0.430040,0.423941,0.373991,0.406728,0.405362,0.490406,0.403172,0.390985,0.426828,0.425520,0.424953,0.432890,0.405453,0.423290,0.378280,0.392360,0.348567,0.387070,0.432058,0.426918,0.341696,0.435962,0.384423,0.433144,0.385841,0.408612,0.411884,0.447159,0.423188,0.407865,0.428819,0.467127,0.503066,0.443609,0.409164,0.420152,0.377664,0.521650,0.484767,0.440357,0.426000,0.427943,0.400877,0.417561,0.415336,0.487660,0.312895,0.489915,0.451084,0.407698,0.352523,0.421347,0.459450,0.459969,0.432403,0.398705,0.428037,0.376597,0.416765,0.402476,0.415786,0.365616,0.402039,0.508314,0.504826,0.457361,0.405236,0.469534,0.396335,0.600179,0.404616,0.434885,0.438789,0.383714,0.389545,0.379758,0.440300,0.452116,0.386342,0.425016,0.424093,0.423297,0.432672,0.403080,0.370333,0.375738,0.429868,0.386772,0.374257,0.390204,0.437504,0.418174,0.459499,0.402601,0.422527,0.367392,0.424329,0.422505,0.487630,0.377133,0.428445,0.370751,0.441027,0.434068,0.428172,0.450310,0.409738,0.410945,0.432117,0.406431,0.427904,0.427162,0.385413,0.444980,0.424904,0.393902,0.385190,0.416887,0.392684,0.425899,0.418330,0.437769,0.561503,0.404299,0.367030,0.381197,0.408971,0.363263,0.404596,0.435198,0.411545,0.427042,0.417450,0.426831,0.442699,0.431005,0.423192,0.431203,0.372879,0.433510,0.425615,0.389132,0.376738,0.380404,0.437556,0.445235,0.418167,0.426749,0.521997,0.471718,0.444257,0.406372,0.383191,0.425934,0.382868,0.406302,0.404554,0.426612,0.407902,0.464251,0.399809,0.461062,0.421496,0.422374,0.427688,0.437738,0.385873,0.459929,0.402038,0.490705,0.415022,0.458729,0.427432,0.405351
BB Drop,,N/A,0.046941,0.073271,0.072275,0.050524,0.072955,0.033037,0.071030,0.074107,-0.018837,0.060148,0.073229,0.005399,0.064608,0.073172,0.072555,0.082819,0.063484,0.070854,0.006465,0.057240,0.040735,0.073028,0.072544,0.000216,0.070355,0.071322,0.068082,0.071262,0.032786,0.073038,0.074260,0.073637,0.064284,0.017206,0.072020,0.070592,0.053482,0.070851,0.070871,0.070810,0.060026,0.073315,0.074650,0.070978,0.069256,0.070088,0.124570,0.072249,0.072541,0.072023,0.034679,0.072744,0.074765,0.070171,0.072965,-0.033627,0.060933,0.071246,-0.007306,0.078328,0.069210,0.071514,0.073419,0.061193,0.070289,0.070802,0.070212,0.072364,0.071295,0.070844,0.029529,0.017043,0.053255,0.070890,-0.005707,0.070990,0.038410,0.071913,0.073628,0.030271,0.073345,0.056459,0.074493,0.066372,0.070996,0.072005,0.072422,0.080844,0.071038,0.062596,0.069958,0.061741,0.000592,0.042116,0.059253,0.040857,0.069799,0.072392,0.072793,0.036050,0.012254,0.007733,0.071212,0.066814,-0.014647,0.067561,0.069681,0.073715,0.073251,0.088773,0.072026,0.049580,0.054347,-0.001884,-0.005839,0.073601,0.151803,0.072355,0.075076,0.068655,0.069824,-0.055375,0.069032,0.072555,0.071879,0.028131,0.071788,0.071156,0.006992,0.068855,0.069623,0.062900,0.074053,0.089917,0.073591,0.029295,0.070358,0.071377,-0.000301,0.059069,0.071784,0.070846,0.073669,0.067505,-0.008958,0.072715,0.109963,0.070282,0.061348,0.068580,0.070882,0.011016,0.072418,-0.035051,0.071416,0.069273,0.069795,0.068682,0.073526,0.008360,0.073199,0.073925,0.070986,0.072668,0.070776,0.069393,0.071815,0.072738,-0.023764,0.062201,0.069955,0.071287,0.040068,0.069595,0.077948,0.070704,0.067832,0.070756,0.072913,0.072786,0.010142,0.072708,0.067577,0.071807,0.069825,0.073841,0.054253,0.071413,0.072363,0.071614,0.071131,0.059214,-0.012574,0.073054,0.071051,0.089994,0.076429,0.071206,0.069449,0.071700
Stack,,m,0.56549,0.56556,0.56427,0.64897,0.5662,0.56541,0.56487,0.59573,0.56686,0.56357,0.56534,0.56587,0.57719,0.56545,0.57179,0.62396,0.56582,0.56443,0.56543,0.5663,0.56562,0.61811,0.62386,0.56673,0.59126,0.56498,0.64411,0.56508,0.56566,0.56624,0.56502,0.65196,0.56552,0.5661,0.61152,0.58445,0.56563,0.56504,0.56464,0.56453,0.56466,0.56566,0.56567,0.5658,0.5649,0.56527,0.56499,0.63743,0.56532,0.56576,0.5661,0.62264,0.56517,0.6168,0.60685,0.56676,0.56643,0.56526,0.56621,0.61774,0.56463,0.56581,0.56557,0.56519,0.64013,0.566,0.59541,0.62675,0.56567,0.61572,0.56604,0.56661,0.56621,0.56462,0.56707,0.56509,0.56692,0.5652,0.56552,0.56604,0.56528,0.56576,0.56509,0.56676,0.5652,0.5785,0.62341,0.56654,0.56461,0.56562,0.64356,0.56528,0.56538,0.6275,0.56587,0.56527,0.56627,0.62358,0.56542,0.56622,0.56682,0.56544,0.56641,0.56624,0.5661,0.56496,0.56626,0.56433,0.58075,0.56474,0.56487,0.56614,0.56593,0.56639,0.56665,0.56559,0.61081,0.6173,0.56521,0.56474,0.58096,0.56775,0.56594,0.56643,0.61283,0.56614,0.56503,0.56554,0.56599,0.56534,0.63559,0.56559,0.56483,0.55652,0.56464,0.56566,0.56518,0.58309,0.56542,0.56578,0.60437,0.56537,0.56575,0.5662,0.56615,0.56395,0.51507,0.56467,0.56583,0.5823,0.56511,0.56659,0.55972,0.56685,0.56601,0.57363,0.59959,0.59025,0.57132,0.56594,0.56505,0.55291,0.56623,0.56424,0.5656,0.56589,0.56636,0.56539,0.56678,0.56625,0.56615,0.61504,0.56549,0.57971,0.56565,0.56574,0.56628,0.56607,0.56543,0.61918,0.5658,0.50027,0.56516,0.5665,0.56484,0.5885,0.56562,0.57768,0.56588,0.56563,0.56589,0.56555,0.56756,0.60429,0.56513,0.58354,0.56564,0.56525,0.56522,0.50595
SS E,,N/A,0.209030,0.046721,0.044156,0.115212,0.054669,0.075340,0.069253,0.100511,0.064849,0.088944,0.067212,0.031013,0.128509,0.022805,0.049376,0.047217,0.045733,0.044196,0.043620,0.066072,0.029323,0.127663,0.045952,0.044270,0.042469,0.021913,0.046432,0.043358,0.041487,0.046129,0.023111,0.049142,0.048221,0.059001,0.060071,0.045737,0.048400,0.027664,0.045644,0.064895,0.044408,0.045699,0.026673,0.022819,0.053950,0.044874,0.044865,0.045861,0.044676,0.044460,0.055584,0.052303,0.140262,0.035430,0.045078,0.055830,0.066475,0.063171,0.060551,0.044460,0.069641,0.214755,0.043417,0.044917,0.044618,0.030015,0.043217,0.045791,0.053113,0.042701,0.044740,0.063699,0.214914,0.157640,0.066586,0.191837,0.046011,0.056612,0.043664,0.025895,0.027826,0.045631,0.040044,0.046887,0.044735,0.043963,0.047853,0.048753,0.017383,0.025612,0.046331,0.013393,0.059398,0.060425,0.036945,0.052677,0.045981,0.164333,0.055508,0.044912,0.057172,0.044532,0.045931,0.032949,0.067070,0.035789,0.047954,0.227750,0.045280,0.043203,0.054425,0.057998,0.044054,0.058481,0.026200,0.100918,0.181808,0.045300,0.200434,0.066851,0.046780,0.044985,0.021581,0.058655,0.060082,0.045376,0.021683,0.045599,0.063186,0.044929,0.027977,0.044488,0.023704,0.086268,0.044608,0.066131,0.066570,0.044088,0.046540,0.044970,0.046317,0.043379,0.025399,0.249056,0.063455,0.043823,0.044187,0.044074,0.062946,0.044773,0.047241,0.056885,0.046222,0.077105,0.021994,0.056915,0.033489,0.037038,0.062676,0.034074,0.048799,0.043974,0.200577,0.045264,0.083997,0.044199,0.030659,0.086391,0.046623,0.043736,0.163829,0.041890,0.065642,0.017445,0.051471,0.031975,0.233621,0.116893,0.188421,0.045327,0.060044,0.044304,0.028405,0.059520,0.170483,0.042765,0.029471,0.059825,0.149105,0.082578,0.022014,0.056427,0.045785,0.043234,0.080230,0.244778,0.046626,0.021842,0.029513,0.043700
ST Angle,,N/A,1.293070,1.265176,1.286507,1.147992,1.315798,1.215315,1.286182,1.309631,1.284995,1.273749,1.322548,1.243151,1.227411,1.370823,1.282166,1.303452,1.278418,1.293081,1.243008,1.218737,1.250616,1.320502,1.259110,1.303312,1.300054,1.262093,1.241792,1.236486,1.370560,1.282663,1.347457,1.167178,1.273075,1.290320,1.276592,1.268821,1.273857,1.249778,1.305667,1.324892,1.327745,1.280883,1.286699,1.284935,1.283047,1.249149,1.286939,1.291850,1.295828,1.279535,1.272260,1.275257,1.302170,1.281964,1.281619,1.199265,1.149679,1.273958,1.272302,1.280610,1.285875,1.304505,1.296164,1.216366,1.284825,1.281042,1.276767,1.251052,1.310366,1.279420,1.267727,1.256199,1.331292,1.386799,1.234714,1.280132,1.294960,1.277814,1.311936,1.205989,1.283559,1.347720,1.284095,1.291726,1.271899,1.287138,1.273025,1.298620,1.287552,1.277276,1.230832,1.270154,1.301186,1.239802,1.294931,1.268140,1.251292,1.281637,1.239110,1.284359,1.293522,1.295359,1.228919,1.212160,1.261606,1.236915,1.274051,1.281341,1.344470,1.286262,1.317151,1.264900,1.264367,1.168657,1.230674,1.280754,1.274400,1.270262,1.323772,1.278962,1.232314,1.243547,1.280363,1.294705,1.285248,1.366168,1.206026,1.286098,1.238767,1.257110,1.245887,1.273575,1.298814,1.286678,1.281490,1.224568,1.253706,1.262609,1.276544,1.331763,1.272037,1.252413,1.288694,1.303561,1.214473,1.307474,1.312673,1.274528,1.269135,1.307266,1.261129,1.249699,1.256544,1.208783,1.276432,1.278327,1.268559,1.250792,1.284846,1.266923,1.277465,1.278037,1.253160,1.277777,1.330332,1.254306,1.222379,1.286054,1.242438,0.951286,1.249125,1.272978,1.254951,1.277355,1.249888,1.252898,1.342807,1.285905,1.312151,1.257069,1.303387,1.321782,1.299900,1.247826,1.247545,1.312776,1.281655,1.250500,1.271248,1.283860,1.228732,1.279638,1.341364,1.287934,1.329913,1.278218,1.334181,1.264739,1.286357,1.335308
BB OD,,m,0.04017,0.04,0.0394,0.04105,0.04053,0.04087,0.03934,0.03966,0.04099,0.04015,0.0637,0.04038,0.03991,0.04073,0.03464,0.04011,0.04029,0.03979,0.03998,0.04015,0.04041,0.04095,0.04033,0.04179,0.03979,0.03976,0.03963,0.03974,0.03957,0.03953,0.03911,0.04042,0.04001,0.04045,0.04079,0.04,0.04078,0.03983,0.04016,0.04091,0.0394,0.04057,0.04043,0.03983,0.04098,0.0402,0.04032,0.04072,0.03996,0.04003,0.03933,0.03969,0.03986,0.04122,0.03992,0.04118,0.04092,0.04033,0.04043,0.04042,0.04061,0.04111,0.0397,0.04022,0.0397,0.03962,0.0402,0.04061,0.03958,0.03992,0.04013,0.04089,0.04034,0.04003,0.0405,0.04025,0.04009,0.03998,0.04064,0.0405,0.04022,0.03959,0.04043,0.03943,0.03993,0.0393,0.04044,0.0403,0.03983,0.0402,0.04064,0.03968,0.04025,0.03922,0.04013,0.04063,0.04055,0.04063,0.03987,0.04018,0.0404,0.04047,0.03928,0.04049,0.04043,0.04015,0.03947,0.04079,0.03941,0.0408,0.03978,0.04039,0.04007,0.04066,0.04086,0.03984,0.04045,0.04022,0.03983,0.04047,0.04087,0.04087,0.04082,0.04022,0.04088,0.04046,0.04018,0.0395,0.0407,0.03996,0.03979,0.03981,0.03972,0.04009,0.03998,0.04097,0.04041,0.04015,0.04053,0.04034,0.03932,0.03995,0.04063,0.03906,0.04082,0.04045,0.03943,0.04017,0.03996,0.04087,0.03982,0.04127,0.03935,0.04141,0.03975,0.03968,0.0393,0.0397,0.04081,0.04067,0.03999,0.03975,0.03996,0.03911,0.04031,0.03997,0.04023,0.04017,0.04018,0.03966,0.04073,0.04008,0.04087,0.04076,0.04016,0.04034,0.04013,0.0397,0.04048,0.04054,0.041,0.03997,0.03986,0.04009,0.04054,0.04029,0.04015,0.04057,0.03958,0.04037,0.04021,0.04088,0.04087,0.03988,0.04026,0.03978,0.04092,0.04058,0.03352,0.03987
TT OD,,m,0.03705,0.02983,0.02767,0.02922,0.02792,0.0305,0.02871,0.02808,0.02985,0.02839,0.02809,0.02811,0.02833,0.02913,0.02789,0.02999,0.02925,0.02882,0.02815,0.02859,0.02749,0.02933,0.02831,0.02928,0.02688,0.02712,0.0268,0.02807,0.02711,0.02834,0.02736,0.02854,0.02907,0.03083,0.02771,0.02745,0.02745,0.02768,0.02917,0.02876,0.02642,0.02798,0.02577,0.02674,0.03089,0.02965,0.02746,0.02803,0.02895,0.02927,0.02856,0.02948,0.02857,0.02819,0.02955,0.03079,0.02758,0.02783,0.02746,0.02862,0.02933,0.03447,0.02843,0.03059,0.02774,0.02681,0.0288,0.02795,0.02961,0.02708,0.0269,0.02865,0.03242,0.02652,0.02904,0.02896,0.02814,0.02888,0.02781,0.02909,0.02862,0.02974,0.02878,0.02914,0.02869,0.02874,0.03784,0.02874,0.02767,0.03781,0.02741,0.02745,0.02949,0.02893,0.02731,0.02869,0.02876,0.03797,0.02906,0.02675,0.03146,0.02824,0.02909,0.02845,0.02943,0.02671,0.02902,0.02777,0.02909,0.02922,0.02823,0.02835,0.02793,0.02785,0.02967,0.0289,0.0268,0.02672,0.02868,0.02825,0.02911,0.03045,0.02687,0.02994,0.0301,0.02839,0.02847,0.02695,0.03044,0.02705,0.02661,0.0294,0.02891,0.02775,0.02894,0.02875,0.02858,0.02804,0.02765,0.02908,0.02732,0.02996,0.02889,0.02631,0.0302,0.02761,0.02744,0.02887,0.02813,0.02785,0.02712,0.0308,0.02924,0.03013,0.02846,0.02903,0.02736,0.02783,0.02735,0.02928,0.02861,0.02708,0.0287,0.02894,0.029,0.02859,0.02706,0.02833,0.02816,0.0292,0.04335,0.02987,0.02692,0.02808,0.02873,0.02764,0.02871,0.02763,0.02894,0.02766,0.02904,0.02849,0.02795,0.02753,0.02958,0.02855,0.02825,0.02822,0.02864,0.02827,0.02729,0.0286,0.03031,0.02878,0.02819,0.02755,0.02786,0.02868,0.02815,0.02918
HT OD,,m,0.04917,0.04537,0.04516,0.04458,0.04475,0.04428,0.04411,0.03425,0.04438,0.04383,0.04465,0.04342,0.04367,0.04575,0.0322,0.04871,0.02953,0.04457,0.04408,0.05019,0.03,0.03739,0.04375,0.04351,0.033,0.03157,0.04813,0.04356,0.04482,0.04353,0.04536,0.04519,0.04464,0.0499,0.04459,0.03662,0.03228,0.04518,0.04477,0.04447,0.04395,0.04416,0.03238,0.0299,0.04462,0.04376,0.04436,0.04373,0.04944,0.05002,0.0349,0.0459,0.04411,0.02987,0.03557,0.05851,0.04506,0.03064,0.04395,0.0446,0.04889,0.04431,0.04459,0.04524,0.04433,0.03109,0.03348,0.05036,0.04488,0.0454,0.03025,0.04881,0.04355,0.03197,0.0442,0.04934,0.04348,0.03192,0.03151,0.03152,0.04474,0.04487,0.04988,0.03448,0.04436,0.04527,0.04816,0.04314,0.04556,0.04461,0.03106,0.03183,0.04446,0.04543,0.03262,0.04505,0.04355,0.05683,0.04937,0.04484,0.04872,0.0441,0.04502,0.04436,0.04338,0.03185,0.04411,0.05205,0.04477,0.04535,0.04395,0.04936,0.03208,0.04483,0.0494,0.0442,0.04448,0.04469,0.0442,0.05089,0.04525,0.042,0.03691,0.0448,0.04095,0.04405,0.03225,0.04385,0.04517,0.03088,0.02977,0.04373,0.03309,0.04528,0.04482,0.04948,0.04504,0.04357,0.04392,0.04375,0.03605,0.04381,0.03145,0.04932,0.05291,0.04493,0.04288,0.04578,0.05723,0.02942,0.04862,0.04445,0.04523,0.04759,0.04409,0.04548,0.04384,0.04386,0.03453,0.04473,0.04467,0.04439,0.03353,0.05541,0.04338,0.03624,0.04526,0.04412,0.03774,0.04456,0.04872,0.04522,0.05378,0.03177,0.04417,0.04372,0.04495,0.0446,0.05331,0.05676,0.03742,0.04498,0.04332,0.03189,0.04346,0.04996,0.03569,0.02797,0.05662,0.04429,0.03213,0.04492,0.04903,0.04012,0.04338,0.04471,0.04377,0.03654,0.03561,0.0444
DT OD,,m,0.04783,0.03811,0.03645,0.03766,0.03754,0.03714,0.03672,0.03805,0.0367,0.03715,0.03691,0.036,0.0367,0.03599,0.03645,0.04641,0.03679,0.03649,0.03652,0.03735,0.02747,0.03786,0.03756,0.03695,0.03707,0.03578,0.0362,0.03709,0.03761,0.03704,0.03147,0.0377,0.03651,0.03666,0.03692,0.03657,0.03663,0.03615,0.03676,0.03714,0.03607,0.03646,0.03672,0.0368,0.04555,0.03653,0.03689,0.03698,0.03805,0.03675,0.03577,0.03641,0.03823,0.03713,0.03619,0.03753,0.03702,0.0367,0.03733,0.03671,0.03733,0.03561,0.03684,0.03683,0.03622,0.03194,0.03748,0.03706,0.03733,0.0358,0.03114,0.046,0.03744,0.03804,0.03721,0.05586,0.0374,0.0367,0.03772,0.03581,0.03742,0.03524,0.03679,0.034,0.03707,0.03667,0.03752,0.03337,0.03635,0.03787,0.03662,0.03698,0.03603,0.03708,0.03686,0.03698,0.03727,0.03737,0.03621,0.03681,0.0474,0.03657,0.03715,0.03683,0.03645,0.03611,0.03653,0.03783,0.03749,0.03576,0.03659,0.03544,0.0367,0.03669,0.04376,0.03696,0.03575,0.03626,0.03664,0.0369,0.03612,0.03731,0.03613,0.03614,0.03729,0.03675,0.03661,0.03611,0.03654,0.03652,0.03712,0.04583,0.03698,0.03626,0.03646,0.03763,0.03658,0.03689,0.03672,0.03813,0.03788,0.03739,0.03713,0.03634,0.03644,0.03691,0.03598,0.03745,0.03709,0.03718,0.03659,0.04512,0.03727,0.04559,0.03638,0.03693,0.03672,0.03561,0.03646,0.03571,0.03644,0.03594,0.03749,0.03721,0.03649,0.03665,0.03604,0.03731,0.03686,0.03639,0.04716,0.03725,0.03677,0.03609,0.03688,0.0367,0.03707,0.0375,0.03771,0.03714,0.0367,0.03746,0.03695,0.03633,0.0364,0.03663,0.03553,0.03626,0.03772,0.03765,0.03667,0.03707,0.03691,0.03647,0.03656,0.0365,0.03683,0.03751,0.03691,0.03679
