Design Study 1
Scenarios/Iterations:, 104
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.396521,0.400680,0.400884,0.396747,0.393259,0.394813,0.403011,0.398120,0.400168,0.392963,0.390730,0.401004,0.398665,0.398592,0.393762,0.396237,0.400389,0.392696,0.403966,0.397448,0.393195,0.399470,0.396249,0.397346,0.396896,0.402902,0.404846,0.398760,0.402611,0.396006,0.405284,0.392187,0.400035,0.400215,0.397413,0.398230,0.396465,0.399043,0.403887,0.399344,0.395165,0.406171,0.396268,0.397533,0.398830,0.401712,0.398942,0.403815,0.403832,0.390480,0.401727,0.402751,0.395991,0.399531,0.397279,0.403660,0.403618,0.398037,0.400045,0.403539,0.404522,0.401808,0.403566,0.400726,0.406117,0.400357,0.393474,0.399024,0.398244,0.401139,0.390349,0.402446,0.398506,0.398947,0.405649,0.403461,0.398218,0.403331,0.404302,0.396222,0.402305,0.399063,0.404845,0.400994,0.405669,0.401793,0.398757,0.398571,0.398097,0.405929,0.397168,0.394815,0.398348,0.401448,0.404663,0.403591,0.400024,0.394159,0.398915,0.397308,0.397367,0.400778,0.395827,0.398936
BB Drop,,N/A,0.046941,0.046505,0.048004,0.050984,0.046715,0.045428,0.047042,0.049981,0.046826,0.047357,0.047869,0.043387,0.048912,0.047549,0.048145,0.047028,0.044559,0.048988,0.046942,0.052045,0.046428,0.047039,0.046553,0.046370,0.046356,0.046408,0.050013,0.051555,0.048967,0.048584,0.045259,0.051672,0.044465,0.047311,0.047207,0.047028,0.048431,0.045539,0.046986,0.054093,0.046960,0.045216,0.055150,0.046728,0.048063,0.046356,0.047472,0.045901,0.051431,0.051737,0.044665,0.050249,0.049454,0.045318,0.046854,0.044917,0.049515,0.049032,0.046161,0.050907,0.051177,0.050651,0.050767,0.050958,0.048857,0.052348,0.047948,0.046319,0.048730,0.047785,0.050412,0.048644,0.048187,0.046484,0.049953,0.051929,0.049046,0.047176,0.049713,0.051452,0.047660,0.049995,0.047355,0.054523,0.048567,0.051139,0.049605,0.047196,0.048790,0.046405,0.054238,0.050263,0.046084,0.046393,0.046842,0.052427,0.049982,0.047605,0.044719,0.048427,0.045474,0.047201,0.046574,0.048285,0.049193
Stack,,m,0.56549,0.56222,0.56222,0.55921,0.56383,0.56196,0.55611,0.56364,0.55823,0.56463,0.55705,0.55996,0.56012,0.56076,0.55952,0.55491,0.56502,0.55732,0.55489,0.56003,0.56031,0.55517,0.56305,0.56727,0.58261,0.57415,0.56183,0.56362,0.5566,0.56116,0.56075,0.57594,0.55917,0.56218,0.56057,0.56038,0.55963,0.56372,0.55935,0.56448,0.5636,0.56377,0.56514,0.55805,0.56318,0.56116,0.56533,0.57426,0.55913,0.55873,0.56021,0.57681,0.56283,0.55912,0.56234,0.56408,0.56366,0.56468,0.55911,0.55834,0.56095,0.56458,0.55836,0.56412,0.55868,0.56495,0.57572,0.55784,0.56015,0.5722,0.55949,0.55205,0.56817,0.56161,0.55791,0.56385,0.56616,0.56043,0.56284,0.56883,0.55781,0.55978,0.58623,0.56194,0.5694,0.56387,0.56157,0.57826,0.55802,0.55929,0.5662,0.55625,0.56028,0.55922,0.56291,0.57278,0.56515,0.56992,0.56442,0.55752,0.56039,0.55781,0.56511,0.55691,0.58129
SS E,,N/A,0.209030,0.035200,0.037879,0.061753,0.042362,0.037672,0.022792,0.049241,0.050842,0.039810,0.047165,0.048933,0.056588,0.138572,0.057975,0.046622,0.021447,0.041148,0.055121,0.105540,0.050785,0.059492,0.043454,0.030053,0.033765,0.042266,0.141857,0.075245,0.044627,0.139615,0.029033,0.161388,0.041500,0.060677,0.030464,0.026976,0.036748,0.059140,0.070555,0.141454,0.086475,0.041381,0.141755,0.039948,0.043851,0.054135,0.042001,0.038785,0.060602,0.088428,0.044608,0.112018,0.054857,0.029952,0.029558,0.036224,0.113098,0.053523,0.054763,0.120546,0.125626,0.141675,0.074437,0.093826,0.040779,0.138189,0.060058,0.057832,0.065847,0.031741,0.121450,0.061688,0.055783,0.053417,0.113730,0.097823,0.050289,0.029793,0.106378,0.097975,0.029784,0.098851,0.054430,0.156228,0.045000,0.097810,0.111980,0.039899,0.058515,0.066673,0.145411,0.057852,0.020805,0.049618,0.047404,0.113896,0.128913,0.041451,0.058158,0.117864,0.037923,0.064565,0.045775,0.042229,0.057104
ST Angle,,N/A,1.293070,1.269080,1.268747,1.259643,1.262227,1.267657,1.279175,1.262169,1.271477,1.265601,1.267835,1.262476,1.264810,1.249974,1.264200,1.271908,1.270401,1.270608,1.267582,1.257792,1.266364,1.264904,1.266444,1.264484,1.259150,1.258771,1.248508,1.258835,1.271074,1.253170,1.275109,1.245548,1.269251,1.261307,1.270226,1.275117,1.271587,1.257481,1.261400,1.255186,1.253528,1.263957,1.252408,1.274202,1.260796,1.266487,1.262577,1.261926,1.262559,1.256387,1.264156,1.247797,1.262411,1.276568,1.271156,1.268029,1.254296,1.260448,1.266456,1.253020,1.255245,1.246241,1.263275,1.256910,1.268134,1.253156,1.252391,1.262905,1.259130,1.261469,1.256528,1.263660,1.257710,1.265233,1.258640,1.257016,1.260161,1.273880,1.254568,1.253970,1.276079,1.260163,1.250548,1.255663,1.257104,1.257347,1.253851,1.259095,1.266001,1.262473,1.253035,1.264563,1.277714,1.270530,1.264412,1.250908,1.251478,1.261943,1.252834,1.258170,1.273319,1.264636,1.262413,1.272788,1.250532
BB OD,,m,0.04017,0.04774,0.04176,0.04643,0.04273,0.05171,0.04017,0.04317,0.04384,0.04416,0.04801,0.0602,0.04723,0.05977,0.05007,0.04953,0.04717,0.04038,0.05276,0.04668,0.05195,0.05432,0.04413,0.04346,0.04924,0.04818,0.05499,0.04591,0.04136,0.05509,0.04689,0.05745,0.05516,0.05027,0.04023,0.04063,0.04189,0.05345,0.05384,0.04929,0.05744,0.05304,0.05131,0.04611,0.04824,0.04564,0.04728,0.04982,0.0423,0.04408,0.05506,0.05468,0.04329,0.04018,0.04211,0.04681,0.05284,0.04678,0.05273,0.05119,0.05006,0.0561,0.04347,0.04646,0.04033,0.05112,0.05391,0.05527,0.05072,0.0451,0.05071,0.05232,0.04988,0.04378,0.05132,0.04744,0.04676,0.04052,0.05177,0.04969,0.0405,0.04833,0.05563,0.04887,0.04793,0.04829,0.05247,0.04821,0.04838,0.05444,0.05109,0.04573,0.04179,0.04604,0.04848,0.05198,0.05424,0.04617,0.04957,0.05405,0.04416,0.05237,0.04909,0.04348,0.05073
TT OD,,m,0.03705,0.02933,0.03106,0.02942,0.03456,0.02915,0.02898,0.03352,0.02958,0.03315,0.02851,0.02909,0.0295,0.03006,0.02922,0.02839,0.03086,0.02931,0.02839,0.03059,0.02925,0.02853,0.03295,0.03455,0.03554,0.03548,0.03227,0.03475,0.02899,0.03228,0.02927,0.03902,0.02885,0.03347,0.0307,0.02969,0.02938,0.03566,0.0296,0.03645,0.0322,0.02961,0.03697,0.02902,0.02976,0.03273,0.03241,0.03404,0.02966,0.03049,0.02894,0.03881,0.03343,0.02972,0.03063,0.03285,0.03356,0.03363,0.02942,0.0294,0.03117,0.03581,0.0296,0.03564,0.02964,0.03618,0.03722,0.02878,0.02939,0.03532,0.02963,0.02796,0.0351,0.03333,0.02929,0.03533,0.03392,0.02975,0.03238,0.03728,0.02915,0.03044,0.0381,0.03408,0.03364,0.03466,0.03065,0.03542,0.02914,0.02972,0.03689,0.02877,0.02944,0.02978,0.031,0.03799,0.03652,0.03425,0.03805,0.02944,0.02989,0.02939,0.03331,0.02876,0.03857
HT OD,,m,0.04917,0.04171,0.04256,0.0484,0.05246,0.04196,0.03673,0.05315,0.0426,0.04749,0.04162,0.04432,0.04698,0.06433,0.0463,0.04056,0.04147,0.0403,0.04209,0.05553,0.04312,0.04298,0.04798,0.04567,0.05369,0.05563,0.06525,0.06137,0.04063,0.06563,0.04025,0.07845,0.04164,0.05708,0.04078,0.03977,0.04074,0.06025,0.05206,0.06942,0.06136,0.0431,0.06946,0.04064,0.04402,0.05089,0.04827,0.05068,0.04857,0.05508,0.04265,0.07485,0.0561,0.03977,0.04132,0.04332,0.06369,0.05501,0.04391,0.05597,0.05982,0.07062,0.05088,0.06637,0.04098,0.06861,0.06677,0.04502,0.05057,0.04977,0.05743,0.04227,0.0593,0.05279,0.05469,0.06345,0.05501,0.04031,0.06082,0.06916,0.0387,0.05702,0.06764,0.06667,0.05264,0.06307,0.05929,0.0551,0.04475,0.05193,0.07012,0.04276,0.03876,0.04291,0.04713,0.07148,0.07146,0.05218,0.0656,0.05594,0.0418,0.04775,0.05132,0.04039,0.07043
DT OD,,m,0.04783,0.03506,0.03647,0.03627,0.03728,0.03439,0.03735,0.03691,0.0369,0.03623,0.03532,0.03333,0.03604,0.03479,0.03552,0.0356,0.03482,0.03758,0.03521,0.03696,0.03486,0.03513,0.03651,0.0365,0.03527,0.03595,0.0358,0.03714,0.03729,0.03561,0.03521,0.03563,0.0341,0.03594,0.03734,0.03659,0.0365,0.03551,0.03517,0.0376,0.03465,0.03429,0.03682,0.03583,0.03513,0.03669,0.03549,0.03494,0.03737,0.04115,0.03395,0.03619,0.03719,0.03722,0.03618,0.03569,0.03588,0.03621,0.03505,0.03622,0.03656,0.03553,0.03759,0.03755,0.03781,0.03662,0.03552,0.03454,0.03558,0.03615,0.03637,0.03583,0.0358,0.0372,0.03621,0.03702,0.03616,0.03669,0.03597,0.03692,0.03692,0.03658,0.03504,0.03763,0.03548,0.03673,0.03588,0.03578,0.03602,0.03506,0.03692,0.03651,0.0362,0.03629,0.03532,0.03631,0.03609,0.03605,0.03671,0.03569,0.03612,0.03557,0.03533,0.03654,0.03664
