Design Study 1
Scenarios/Iterations:, 156
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.41,0.43199,0.47482,0.40306,0.38122,0.52541,0.35702,0.41396,0.41989,0.43341,0.39525,0.41477,0.45675,0.77256,0.45726,0.36652,0.40969,0.42251,0.40716,0.39344,0.414,0.40239,0.75228,0.44241,0.38132,0.70494,0.40446,0.40497,0.33216,0.42436,0.45891,0.43803,0.40665,0.4235,0.42151,0.41412,0.43095,0.3736,0.4382,0.40925,0.40234,0.4418,0.43122,0.40032,0.4434,0.41342,0.43551,0.42839,0.37029,0.43295,0.40364,0.54169,0.44187,0.42192,0.4351,0.40332,0.41063,0.39463,0.41133,0.40601,0.40964,0.4042,0.49478,0.364,0.36887,0.39957,0.43259,0.42049,0.40244,0.97276,0.41642,0.43918,0.41792,0.3528,0.40419,0.42694,0.42726,0.4038,0.39967,0.38435,0.40615,0.43275,0.38268,0.39838,0.42419,0.40273,0.42111,0.38379,0.43464,0.66015,0.44293,0.40876,0.27613,0.41752,0.42097,0.45395,0.35819,0.36328,0.40619,0.45373,0.42049,0.40074,0.40748,0.36591,0.40768,0.37976,0.41383,0.451,0.40454,0.38354,0.5617,0.46339,0.44891,0.38524,0.41825,0.45998,0.40813,0.38302,0.40592,0.38262,0.42193,0.42374,0.40497,0.43192,0.41307,0.42728,0.46485,0.40813,0.46547,0.40003,0.4464,0.43885,0.40295,0.43099,0.43787,0.47911,0.42851,0.40598,0.39856,0.44569,0.40966,0.40591,0.41642,0.40474,0.41586,0.399,0.40004,0.43483,0.40882,0.39819,0.44356,0.41533,0.41265,0.40204,0.3701,0.37734,0.42793
BB Drop,,m,0.072,0.05901,0.07228,0.04694,0.004542,-0.04362,0.03136,0.07094,0.06507,0.06738,0.04814,0.03426,0.07138,0.06915,0.07101,0.01017,0.07029,0.0867,0.03997,0.03111,0.0575,0.06737,0.07078,-0.0099,0.07206,0.0586,-0.01896,0.0659,-0.00828,-0.00621,0.04825,0.06924,0.07411,0.07135,0.0719,0.06856,0.06399,0.05975,0.06694,0.07083,0.0704,0.06872,0.06845,0.06796,0.07382,0.04651,0.07443,0.06414,0.04041,0.03995,-0.00907,0.04589,0.06406,0.0773,0.07238,0.03592,0.048,0.0521,0.07479,0.07037,0.0702,0.06667,-0.00327,0.06109,-0.00096,0.0177,0.07402,0.06857,0.07108,0.06697,0.05349,0.06729,0.0697,0.006752,0.006284,0.07085,0.07393,0.0705,-0.00541,0.05084,0.07058,0.04204,-0.00265,-0.00317,0.01428,0.07327,0.07329,0.009265,0.07328,0.05914,0.06144,0.07112,-0.00437,0.07082,0.05749,0.02908,0.0387,0.00041971,0.06948,0.04673,0.06443,0.03779,0.06637,-0.00913,0.07205,-0.00817,0.0631,0.06255,0.06659,0.07186,0.07046,0.0371,0.03965,0.06692,0.05078,0.0696,0.07053,0.05271,0.06845,0.05377,0.05914,0.06669,0.03866,0.06833,0.07015,0.05479,0.07483,0.06867,0.05951,0.04195,0.03928,0.07165,0.07268,0.01096,0.03873,0.05598,0.07131,0.06522,0.07663,0.07011,0.04468,0.05597,0.07067,0.06132,0.06894,0.07031,0.07087,0.07422,0.05816,0.06933,0.05341,0.07221,0.07107,0.0693,0.02048,-0.03201,0.06183
Stack,,m,0.5656,0.56561,0.56574,0.56549,0.56573,0.56574,0.56463,0.56566,0.56487,0.56569,0.56568,0.56563,0.56522,0.56473,0.56559,0.56567,0.56557,0.56568,0.58049,0.56555,0.56556,0.58049,0.56558,0.5657,0.56583,0.56566,0.56534,0.56561,0.56563,0.56563,0.56562,0.59534,0.56566,0.56563,0.56568,0.5657,0.56567,0.56554,0.56546,0.56561,0.5656,0.56596,0.52955,0.5656,0.56524,0.56589,0.60853,0.64916,0.57525,0.56552,0.56549,0.56538,0.56549,0.56565,0.56562,0.56554,0.56568,0.56572,0.56516,0.55371,0.56562,0.56564,0.51134,0.56569,0.56558,0.56555,0.56575,0.56584,0.55931,0.6045,0.56561,0.56566,0.56565,0.5656,0.56567,0.56553,0.63364,0.5656,0.50819,0.57501,0.56561,0.56572,0.56503,0.56567,0.56554,0.5664,0.56571,0.56555,0.56565,0.56548,0.59741,0.56558,0.56565,0.56553,0.56557,0.56578,0.50066,0.56565,0.50903,0.56562,0.56566,0.56554,0.56572,0.56567,0.56562,0.56513,0.5656,0.56556,0.56588,0.56554,0.56553,0.56557,0.56564,0.56562,0.56601,0.56558,0.56561,0.5657,0.5656,0.56571,0.5655,0.66142,0.56539,0.56636,0.56604,0.56605,0.56558,0.5996,0.56564,0.56566,0.56563,0.56571,0.56557,0.56566,0.56558,0.56577,0.64499,0.56558,0.56537,0.62417,0.56543,0.60548,0.56555,0.56564,0.56556,0.56559,0.5564,0.58092,0.5659,0.56559,0.56641,0.56577,0.56557,0.56541,0.56558,0.56565,0.56566
SS E,,m,0.06,0.04522,0.05749,0.20903,0.05679,0.10679,0.02673,0.041,0.04586,0.04524,0.06411,0.06223,0.04607,0.14908,0.07228,0.04506,0.02568,0.04423,0.04497,0.20714,0.04633,0.04719,0.03749,0.04662,0.04388,0.09327,0.01463,0.0511,0.02223,0.04763,0.04707,0.04305,0.04543,0.0461,0.04533,0.04797,0.04517,0.20034,0.04283,0.03372,0.04513,0.13902,0.02641,0.043,0.02493,0.04858,0.06478,0.04527,0.15224,0.01739,0.04548,0.01744,0.04564,0.04543,0.04689,0.05715,0.04778,0.35299,0.04648,0.04362,0.04568,0.12584,0.05474,0.02259,0.04365,0.02438,0.04105,0.04818,0.04578,0.13412,0.03213,0.02142,0.19252,0.04282,0.0468,0.04509,0.13865,0.04543,0.01796,0.3883,0.04525,0.04607,0.09989,0.02946,0.16178,0.01061,0.04536,0.02689,0.04545,0.16222,0.04449,0.008456,0.02439,0.04458,0.04789,0.04643,0.0438,0.04514,0.04689,0.04377,0.04505,0.16981,0.04382,0.04364,0.19276,0.03267,0.04365,0.1364,0.04241,0.04441,0.04569,0.03663,0.04456,0.04476,0.04984,0.0309,0.04497,0.04539,0.1662,0.04528,0.02925,0.04572,0.03057,0.04341,0.04525,0.04514,0.04594,0.04437,0.04448,0.04462,0.05291,0.04605,0.04675,0.04625,0.05807,0.04863,0.04575,0.15284,0.01684,0.04637,0.04525,0.04422,0.04579,0.0347,0.02046,0.0461,0.18162,0.04568,0.06183,0.04385,0.04648,0.0444,0.04774,0.01741,0.02726,0.04417,0.04692
ST Angle,,deg,73.50017,73.59697,71.02744,74.08725,72.69334,56.77176,72.9599,73.86403,75.76071,73.75169,72.96801,73.5923,73.46021,72.50881,81.42037,79.55209,73.45922,73.62461,77.22229,78.63789,77.94396,74.29569,73.0649,66.56319,72.80238,74.51599,73.35183,73.74842,72.30496,70.40297,72.25987,73.23045,72.96151,73.55755,73.05289,73.4019,73.20354,74.11575,73.02487,73.32336,73.95995,73.65966,74.76472,74.24674,72.72703,75.23451,73.20531,74.56758,73.44741,73.79475,64.34959,65.39937,72.75336,72.6782,73.38197,73.56092,69.2095,73.19412,73.32531,74.0979,73.29034,74.96202,71.91938,67.39363,54.05084,68.62598,73.35782,75.06664,74.24171,53.03433,73.08173,73.32875,73.95526,65.77511,73.02315,73.3875,74.40559,72.67687,70.77732,77.80623,78.90079,75.76128,73.74864,72.91361,65.9911,73.99075,73.56465,70.70049,74.4018,75.32461,73.10465,73.49311,62.85875,74.06582,74.27106,73.78757,75.25423,73.33079,73.10336,71.06039,73.40374,73.39188,73.79747,73.79006,73.84126,72.33052,73.4095,75.13195,73.18341,73.54854,44.28851,73.4931,73.45235,76.0989,74.66734,73.38333,74.29738,75.1426,73.32452,72.96651,73.75047,73.96962,73.4347,72.54121,74.17656,73.65243,74.11069,73.35555,73.43889,79.19286,73.23066,72.73409,72.9435,73.86886,72.09825,74.45406,74.64626,74.64846,73.76342,73.45295,74.46768,73.42735,73.04252,73.7975,72.21565,74.32206,75.41352,73.97561,74.72708,74.9599,74.08023,73.97778,72.53277,74.31218,74.16328,73.149,73.68726
BB OD,,m,0.04,0.03996,0.04026,0.04017,0.03984,0.03992,0.03988,0.04004,0.04158,0.04013,0.05043,0.04002,0.04017,0.0505,0.04099,0.06137,0.03708,0.04015,0.03995,0.04036,0.03986,0.03993,0.03983,0.03998,0.03975,0.0399,0.03988,0.04072,0.03986,0.03974,0.03961,0.03972,0.03955,0.03976,0.04011,0.03978,0.03851,0.05567,0.03941,0.03989,0.04031,0.04809,0.04013,0.03995,0.04075,0.03988,0.04022,0.03973,0.04021,0.04665,0.04004,0.0394,0.03954,0.04006,0.04024,0.04073,0.03939,0.04856,0.04003,0.04004,0.03988,0.03999,0.049,0.03938,0.04097,0.04001,0.03925,0.04007,0.03996,0.03932,0.03999,0.04004,0.04778,0.03968,0.0399,0.04012,0.04,0.04001,0.0393,0.04003,0.03998,0.03997,0.03968,0.03987,0.03961,0.03853,0.0399,0.03997,0.04011,0.04034,0.03998,0.0258,0.04036,0.03998,0.04806,0.0409,0.0415,0.03997,0.03996,0.04016,0.03876,0.03971,0.03997,0.0398,0.03991,0.03983,0.04006,0.03963,0.03965,0.03974,0.04001,0.04006,0.04006,0.03991,0.03993,0.04028,0.03998,0.03984,0.03855,0.05197,0.04076,0.03946,0.04039,0.03835,0.03945,0.03947,0.04804,0.03962,0.03952,0.04023,0.03987,0.03989,0.03984,0.03976,0.04004,0.04036,0.03958,0.03962,0.04029,0.03959,0.03999,0.05035,0.03877,0.03996,0.04012,0.04,0.03964,0.04598,0.0395,0.03976,0.04023,0.03991,0.053,0.04014,0.05175,0.03979,0.03985
TT OD,,m,0.02855,0.02919,0.02901,0.03705,0.02912,0.02681,0.02896,0.02961,0.02764,0.02896,0.02772,0.0287,0.02999,0.0427,0.02724,0.02842,0.0242,0.02936,0.02769,0.03015,0.02678,0.03307,0.02788,0.0286,0.02914,0.02862,0.01564,0.03057,0.02886,0.03041,0.02748,0.02895,0.02853,0.02923,0.02898,0.02864,0.02573,0.043,0.03836,0.02907,0.03278,0.03973,0.03798,0.02891,0.02705,0.03012,0.02831,0.02922,0.0305,0.02903,0.03554,0.02695,0.02903,0.02979,0.02833,0.03686,0.02852,0.03023,0.03649,0.02675,0.02723,0.02852,0.02896,0.02804,0.02637,0.04162,0.02862,0.02738,0.0281,0.02829,0.02712,0.02961,0.03462,0.02822,0.02973,0.02998,0.02812,0.02961,0.02921,0.029,0.03935,0.02743,0.02854,0.02979,0.0275,0.02735,0.02869,0.03443,0.02761,0.02912,0.02818,0.02378,0.0354,0.02778,0.0354,0.02768,0.02908,0.02847,0.02728,0.03741,0.02777,0.02578,0.02891,0.02839,0.02961,0.02814,0.0341,0.02927,0.02948,0.02732,0.02891,0.02967,0.03103,0.03013,0.03754,0.02761,0.02697,0.02637,0.02545,0.03002,0.02693,0.03558,0.02579,0.02924,0.02707,0.02852,0.02935,0.02739,0.0267,0.02893,0.03813,0.02912,0.02795,0.02983,0.03928,0.04501,0.0295,0.02919,0.02914,0.02869,0.02859,0.02825,0.0282,0.0264,0.02603,0.02858,0.02804,0.03006,0.03521,0.02864,0.02771,0.02912,0.0362,0.02698,0.02687,0.02884,0.02941
HT OD,,m,0.038,0.04484,0.03569,0.04917,0.0503,0.04484,0.04234,0.04485,0.03066,0.04516,0.04737,0.04386,0.03533,0.04445,0.03317,0.04434,0.03022,0.04481,0.04351,0.04532,0.04452,0.04545,0.04908,0.04412,0.04492,0.03861,0.03008,0.04519,0.03391,0.04425,0.04449,0.04598,0.03204,0.04506,0.04533,0.0444,0.03218,0.04929,0.04967,0.03415,0.04444,0.05095,0.04959,0.04614,0.03005,0.04334,0.04848,0.04557,0.04539,0.03499,0.05033,0.03135,0.04471,0.04457,0.04428,0.04451,0.04434,0.04961,0.05879,0.04361,0.04512,0.0439,0.04428,0.02958,0.04748,0.04548,0.03206,0.03797,0.03194,0.03237,0.03535,0.03064,0.05018,0.04376,0.04513,0.04476,0.03225,0.04441,0.04444,0.04407,0.04307,0.02985,0.04872,0.04583,0.03708,0.02992,0.04449,0.0502,0.03306,0.04085,0.04483,0.03081,0.04479,0.0442,0.03898,0.0341,0.04517,0.0457,0.0447,0.04478,0.03212,0.03037,0.04405,0.04492,0.04083,0.04523,0.05021,0.04525,0.04464,0.0439,0.05037,0.02967,0.04449,0.04504,0.0496,0.03547,0.03217,0.03354,0.03167,0.05807,0.03686,0.04434,0.03446,0.03122,0.04362,0.0443,0.05474,0.04623,0.03327,0.0446,0.04564,0.04494,0.04476,0.04464,0.04903,0.04907,0.04942,0.04538,0.04561,0.04391,0.0448,0.04225,0.03552,0.03039,0.03082,0.04644,0.0436,0.04121,0.06002,0.04605,0.05572,0.04613,0.05644,0.03528,0.03179,0.04568,0.04484
DT OD,,m,0.03655,0.03699,0.05422,0.04783,0.04545,0.04874,0.03602,0.03679,0.03696,0.03686,0.05967,0.03645,0.037,0.0553,0.03653,0.03691,0.03496,0.03583,0.0362,0.03664,0.03588,0.0372,0.03714,0.03857,0.03566,0.03606,0.03538,0.03531,0.03506,0.03661,0.03644,0.03568,0.03617,0.03665,0.03726,0.03617,0.03686,0.03593,0.03774,0.03689,0.03735,0.03766,0.04404,0.03618,0.03527,0.03639,0.04407,0.03585,0.03585,0.03663,0.04484,0.03759,0.03628,0.03771,0.03669,0.04403,0.0378,0.03677,0.04589,0.03554,0.03673,0.03652,0.03584,0.03631,0.0387,0.04467,0.03608,0.0365,0.03661,0.03727,0.03529,0.03685,0.03663,0.03637,0.04659,0.03613,0.03662,0.03687,0.04607,0.035,0.04758,0.03622,0.03787,0.04542,0.03633,0.03701,0.03673,0.05661,0.03707,0.03725,0.03527,0.03578,0.04612,0.03666,0.04159,0.03606,0.03695,0.03615,0.03599,0.03831,0.03538,0.02465,0.03463,0.03505,0.03649,0.03601,0.03725,0.03665,0.03643,0.03678,0.03582,0.03581,0.04887,0.03668,0.03613,0.03684,0.03707,0.03674,0.03736,0.03492,0.0366,0.03628,0.03509,0.03541,0.03638,0.03655,0.03646,0.03625,0.03602,0.03639,0.04637,0.0359,0.03641,0.03563,0.04997,0.05813,0.03614,0.03718,0.03227,0.03582,0.03801,0.05033,0.03603,0.03668,0.03542,0.03609,0.03676,0.03563,0.05225,0.03628,0.03677,0.03614,0.0518,0.03535,0.03447,0.03543,0.03753
