Design Study 1
Scenarios/Iterations:, 136
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.373229,0.405862,0.591409,0.446725,0.376878,0.439822,0.428602,0.463000,0.391428,0.423202,0.390864,0.448200,0.384395,0.388072,0.456109,0.404012,0.438431,0.380438,0.404963,0.404038,0.437272,0.403652,0.458147,0.404906,0.402197,0.401846,0.357225,0.410273,0.362546,0.403880,0.429617,0.392298,0.405037,0.395308,0.415741,0.404962,0.657029,0.428428,0.405736,0.405043,0.418321,0.380103,0.429568,0.368730,0.401984,0.416235,0.372014,0.518419,0.330979,0.407428,0.434726,0.430514,0.408070,0.409289,0.427758,0.408569,0.435392,0.409968,0.402263,0.404276,0.403454,0.424892,0.378761,0.395021,0.413121,0.431106,0.365769,0.414890,0.405848,0.408755,0.362115,0.299977,0.375097,0.372127,0.383955,0.403416,0.358409,0.459914,0.438915,0.392032,0.407728,0.399400,0.416615,0.404002,0.417535,0.360896,0.394277,0.360700,0.406315,0.407222,0.443861,0.722546,0.413620,0.411560,0.402741,0.380402,0.388968,0.441490,0.400754,0.456869,0.431138,0.446004,0.422487,0.403531,0.378611,0.411797,0.478064,0.390215,0.433649,0.399378,0.403146,0.383317,0.408398,0.427052,0.389107,0.385521,0.441861,0.392145,0.446100,0.400789,0.419254,0.385142,0.356841,0.481157,0.433865,0.350239,0.406845,0.373367,0.485420,0.379180,0.453900,0.428072,0.426148,0.403079,0.384040,0.860595
BB Drop,,N/A,0.046941,0.050940,0.071219,-0.009958,0.071416,0.008569,0.069109,0.058538,0.051628,-0.016884,0.034719,-0.000919,0.071420,0.020685,0.064478,0.023257,0.065060,0.070282,-0.016458,0.069220,0.071149,0.069587,0.071182,0.070078,0.069763,0.062708,0.070281,-0.034022,0.059845,0.004574,0.068630,0.070662,0.053793,0.038766,-0.001244,0.062108,0.069386,0.044724,0.072297,0.069930,-0.032138,0.060153,0.021434,0.073092,0.003000,0.053719,0.057073,0.051362,0.059276,0.008502,0.067553,0.060033,0.069235,0.070266,0.024266,0.068111,0.075208,0.053931,0.069704,0.069748,0.070148,0.045994,0.030254,-0.041550,0.045900,0.000991,0.071793,0.039641,0.000549,0.030545,0.055267,0.021596,0.047368,0.063083,-0.001589,0.007726,0.071169,-0.023971,0.067007,0.048867,0.066756,0.030297,0.073489,0.057123,0.071285,0.069791,-0.003606,0.060585,0.064684,-0.001611,0.069718,0.069737,0.070269,0.070591,0.049640,0.015125,0.046636,0.004448,0.072426,-0.041333,0.051814,0.067655,0.032941,0.065500,0.050357,0.031613,0.061772,0.073928,0.014639,0.069371,0.068280,0.038775,0.069304,0.071145,0.055564,0.060173,0.066406,0.038662,0.054129,0.014009,0.069952,0.062929,-0.014846,0.000586,0.038744,0.063165,-0.043067,0.069907,0.056682,0.046634,-0.027142,0.057288,0.072977,0.069297,0.070388,0.052839,-0.000727
Stack,,m,0.56549,0.56548,0.56599,0.56557,0.5657,0.56556,0.58803,0.59133,0.56582,0.56558,0.63886,0.5656,0.56555,0.56535,0.56546,0.56549,0.56568,0.58885,0.56555,0.56563,0.56623,0.62029,0.53153,0.56595,0.5657,0.56568,0.56544,0.56562,0.56556,0.56557,0.56568,0.56569,0.49867,0.56549,0.50607,0.56555,0.56591,0.56564,0.56157,0.56598,0.56526,0.565,0.56548,0.5979,0.5656,0.56558,0.56563,0.51942,0.56536,0.56534,0.56568,0.58034,0.56596,0.65227,0.56556,0.5655,0.56556,0.59668,0.56565,0.52276,0.56572,0.56526,0.56557,0.565,0.56563,0.56555,0.56557,0.56528,0.56568,0.5266,0.54504,0.5654,0.56533,0.5656,0.50473,0.56485,0.50793,0.56534,0.62875,0.56556,0.536,0.56546,0.56563,0.56491,0.56559,0.61958,0.56566,0.56568,0.53083,0.50379,0.56558,0.56977,0.56565,0.56563,0.56558,0.52476,0.54645,0.56559,0.56567,0.56559,0.56565,0.56541,0.56586,0.56538,0.56561,0.56556,0.4952,0.56571,0.56554,0.59566,0.56569,0.56555,0.56569,0.56562,0.56554,0.52002,0.51437,0.56511,0.56564,0.56552,0.56559,0.5989,0.56564,0.56558,0.56568,0.56553,0.56562,0.51508,0.53763,0.56555,0.56489,0.63661,0.56664,0.56547,0.56564,0.51416,0.56564
SS E,,N/A,0.209030,0.043781,0.125597,0.246080,0.042999,0.046290,0.046142,0.046407,0.043746,0.044390,0.057923,0.063754,0.024137,0.155236,0.044804,0.043722,0.045796,0.032474,0.042208,0.046332,0.043840,0.044554,0.044966,0.043514,0.044410,0.042793,0.048063,0.042468,0.044820,0.043856,0.046240,0.046082,0.162546,0.044233,0.046901,0.034431,0.045557,0.018808,0.036920,0.041563,0.044015,0.045447,0.045307,0.045308,0.047335,0.041533,0.045001,0.047091,0.032985,0.045162,0.042459,0.042593,0.309653,0.047634,0.059634,0.018094,0.056598,0.042283,0.041930,0.268243,0.044801,0.031922,0.044932,0.053940,0.021358,0.045628,0.045273,0.045029,0.045478,0.069738,0.161514,0.046739,0.042616,0.044143,0.045979,0.044724,0.042247,0.243051,0.036021,0.067549,0.173262,0.029876,0.058668,0.052039,0.047408,0.055069,0.046004,0.044898,0.063722,0.045451,0.060174,0.042943,0.043097,0.045143,0.220005,0.043558,0.192735,0.046218,0.045873,0.023956,0.044195,0.044610,0.064568,0.018861,0.025559,0.044791,0.047148,0.048011,0.045324,0.046972,0.044994,0.021075,0.045981,0.044202,0.044862,0.044231,0.144716,0.067976,0.043783,0.044249,0.047085,0.021726,0.046510,0.043949,0.045503,0.045615,0.043109,0.130409,0.063819,0.046821,0.098652,0.044141,0.034613,0.046247,0.047714,0.047921,0.047561
ST Angle,,N/A,1.293070,1.292235,1.291838,0.869201,1.514259,1.240811,1.275818,1.384568,1.290966,1.250847,1.327043,1.238072,1.275313,1.297458,1.292930,1.279948,1.271630,1.290331,1.201501,1.292358,1.282546,1.270474,1.289757,1.278999,1.291231,1.275929,1.292266,1.243792,1.279368,1.291116,1.267304,1.290052,1.305075,1.293055,1.290980,1.275325,1.291583,1.212399,1.276447,1.290855,1.259582,1.291790,1.301176,1.285472,1.318677,1.293559,1.288773,1.292584,1.238229,1.454630,1.293642,1.280836,1.275043,1.280572,1.239550,1.290053,1.275316,1.261445,1.289665,1.319300,1.292258,1.336799,1.242119,1.245449,1.311084,1.232151,1.273555,1.272303,1.270162,1.278659,1.289042,1.312397,1.290925,1.291930,1.300963,1.313571,1.289557,1.308898,1.259688,1.253899,1.313201,1.284413,1.272733,1.271289,1.293650,1.274672,1.233932,1.265671,1.314535,1.290834,1.343636,1.290286,1.292054,1.291462,1.354020,1.289175,1.353395,1.245581,1.279861,1.248076,1.270739,1.291873,1.288591,1.232850,1.384233,1.292941,0.976209,1.277079,1.254429,1.278732,1.357644,1.212368,1.296991,1.293007,1.281499,1.290788,1.305571,1.272242,1.342513,1.310096,1.273427,1.220416,1.242496,1.291565,1.161629,1.373646,1.293705,1.289384,1.352071,1.272666,1.258381,1.274437,1.257659,1.270569,1.345456,1.280063,1.236212
BB OD,,m,0.04017,0.04007,0.03984,0.04008,0.0392,0.03997,0.04002,0.03999,0.03997,0.04005,0.04065,0.04015,0.04005,0.03998,0.03998,0.04011,0.03999,0.0399,0.03992,0.03995,0.03995,0.03956,0.03996,0.03999,0.04007,0.04008,0.04004,0.04039,0.0401,0.04015,0.03996,0.04004,0.04006,0.04,0.04038,0.03977,0.03996,0.04897,0.03886,0.03989,0.03997,0.04009,0.04002,0.03983,0.04008,0.04001,0.04003,0.03999,0.04006,0.04003,0.03918,0.0401,0.03993,0.03993,0.03992,0.03993,0.04019,0.04032,0.04006,0.04001,0.04009,0.04002,0.03991,0.03987,0.04002,0.03986,0.04005,0.04038,0.04002,0.04047,0.04036,0.03996,0.03994,0.03993,0.04012,0.04,0.03992,0.03996,0.0485,0.0401,0.04003,0.04963,0.0396,0.03999,0.03999,0.04733,0.04019,0.03987,0.03994,0.03997,0.0408,0.03995,0.0396,0.03999,0.04001,0.04005,0.0405,0.04039,0.07129,0.05086,0.04771,0.04001,0.04,0.0405,0.03904,0.03999,0.03972,0.04,0.04002,0.03984,0.03996,0.0401,0.03996,0.04002,0.04,0.04029,0.03995,0.0396,0.07355,0.03999,0.04002,0.0398,0.03997,0.04,0.04005,0.04007,0.03914,0.04027,0.03735,0.04001,0.03965,0.04004,0.04012,0.03782,0.03937,0.03998,0.03994
TT OD,,m,0.03705,0.0334,0.03582,0.02985,0.02846,0.02869,0.02862,0.02739,0.0284,0.0286,0.0286,0.03142,0.02835,0.02981,0.03561,0.02834,0.02911,0.02821,0.03575,0.03557,0.02778,0.02916,0.02921,0.02869,0.02798,0.02677,0.02855,0.02881,0.0288,0.02824,0.07026,0.02869,0.02859,0.02731,0.02896,0.02864,0.02858,0.02725,0.02846,0.02875,0.02854,0.02623,0.02866,0.04152,0.0288,0.0273,0.02876,0.02715,0.02766,0.02801,0.028,0.0286,0.03057,0.02853,0.0366,0.02655,0.0292,0.02905,0.02867,0.02818,0.02907,0.02862,0.02998,0.0284,0.02868,0.02884,0.02858,0.02725,0.02855,0.02854,0.02844,0.0284,0.02851,0.02953,0.02909,0.02852,0.02863,0.0301,0.03156,0.03931,0.02882,0.02865,0.02856,0.03054,0.02849,0.02934,0.03501,0.02859,0.02805,0.02854,0.03653,0.03041,0.02856,0.02864,0.03039,0.02145,0.02787,0.02938,0.02908,0.02878,0.02834,0.02848,0.03884,0.02889,0.02735,0.02852,0.02878,0.02861,0.02865,0.02925,0.0349,0.031,0.02947,0.02009,0.02934,0.02964,0.02862,0.02873,0.0218,0.03239,0.02863,0.02869,0.02834,0.02559,0.0434,0.02867,0.0274,0.02675,0.02777,0.02875,0.02921,0.02939,0.02885,0.0279,0.02739,0.02851,0.02849
HT OD,,m,0.04917,0.04625,0.05326,0.04482,0.0393,0.04415,0.04561,0.03258,0.0503,0.04436,0.04883,0.05419,0.03124,0.04596,0.04563,0.04537,0.04631,0.03678,0.04451,0.05116,0.04587,0.04078,0.04537,0.037,0.03357,0.04508,0.04437,0.03774,0.04504,0.04669,0.04957,0.04524,0.04563,0.04467,0.04485,0.03566,0.04561,0.03644,0.03209,0.03844,0.04534,0.03315,0.04415,0.05075,0.03592,0.04485,0.04458,0.04565,0.03357,0.04201,0.02861,0.03159,0.05497,0.04386,0.05808,0.03296,0.0367,0.03067,0.0311,0.04954,0.04611,0.03083,0.04402,0.04439,0.04203,0.03845,0.04583,0.03889,0.04455,0.04155,0.05118,0.04611,0.04543,0.04537,0.04485,0.04556,0.04499,0.04516,0.03812,0.05061,0.04546,0.04592,0.04397,0.04594,0.04528,0.05001,0.04502,0.03249,0.04526,0.04534,0.04376,0.04478,0.04499,0.04482,0.04566,0.04542,0.04948,0.03878,0.04459,0.03702,0.03303,0.04368,0.06222,0.03251,0.03072,0.04469,0.03271,0.04443,0.04384,0.05097,0.04374,0.04955,0.04494,0.04618,0.03415,0.03877,0.04419,0.03394,0.03304,0.04992,0.04538,0.03577,0.04065,0.04534,0.04539,0.03897,0.04563,0.05172,0.04899,0.05045,0.04544,0.04455,0.03471,0.03363,0.03253,0.04632,0.04565
DT OD,,m,0.04783,0.03633,0.05089,0.03736,0.03519,0.0349,0.03687,0.03747,0.03697,0.03583,0.03666,0.04465,0.03652,0.03656,0.03656,0.03694,0.03525,0.03653,0.03869,0.05589,0.03723,0.03663,0.03682,0.03681,0.03561,0.03688,0.03797,0.03713,0.03746,0.03538,0.06177,0.03718,0.03692,0.03619,0.03587,0.03545,0.0367,0.03666,0.03607,0.03684,0.03784,0.03621,0.03694,0.05528,0.03468,0.03695,0.03618,0.0373,0.03646,0.03591,0.03627,0.03645,0.03731,0.03618,0.04762,0.03587,0.03603,0.03725,0.03619,0.03596,0.03748,0.03681,0.0355,0.03768,0.03613,0.03607,0.03787,0.03525,0.03721,0.03676,0.03692,0.03696,0.0377,0.03765,0.03675,0.03691,0.03716,0.03752,0.0444,0.04411,0.03599,0.0369,0.03118,0.03692,0.0367,0.03701,0.04224,0.03572,0.03578,0.03692,0.04897,0.03656,0.03659,0.03511,0.03617,0.03563,0.03692,0.03578,0.03647,0.03633,0.03602,0.03684,0.03698,0.0368,0.03702,0.03589,0.03608,0.03628,0.03612,0.03665,0.04099,0.03715,0.03597,0.0367,0.03707,0.03691,0.03723,0.03639,0.03571,0.0375,0.03703,0.03582,0.03622,0.03559,0.05529,0.03601,0.0369,0.04504,0.03747,0.03704,0.03681,0.03663,0.03601,0.03534,0.03635,0.03651,0.03714
