, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
10,0.44299999999999995,0.040999999999999995,0.5656,0.055,73.0,0.04,0.0327,0.04,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72.0,0.105,0.457,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.008,0.0024057385629052195,0.0053940711517290255,0.0012492464335147092,0.008172086214642767,0.0016640284782398489,0.0025063167079435607,0.0018706056370555886,0.6739015050364934
12,0.444,0.0575,0.5656,0.055,73.0,0.04,0.03015,0.05,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.05,0.0709,0.0242,71.0,0.1054,0.457,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.008,0.0008628298760952751,0.0016860799791488948,0.006727322105003753,0.009840383994193307,0.0005262648982944276,0.0008603093389484793,0.002437619114711008,0.6737233493814868
16,0.425,0.02,0.5656,0.045,72.0,0.03,0.0277,0.04,0.0365,0.023350000000000003,0.0185,0.03,0.015,0.04,0.05,0.04,67.9999999999999,0.136,0.48,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.004572264273770565,0.0005021989611482943,0.0019346099427674246,0.00730158694800967,0.009754397165798923,0.002569422451580361,0.005065241110715148,0.6582061294403003
37,0.4069,0.06999999999999901,0.5656,0.03,74.0,0.04,0.0277,0.038,0.0365,0.023350000000000003,0.013000000000000001,0.035,0.015,0.0494,0.0856,0.0361,74.0,0.1179,0.6156,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.0015153172500776985,0.002127579863974754,0.0006525125678446247,0.00613508103468029,0.004218825418548721,0.001000201031863291,0.0007552934807892246,0.6432086377161369
42,0.395,0.06,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.03,0.035,0.03,73.0,0.1236,0.57,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.0005571599326632545,0.005207991006032555,0.0007207541347403677,0.0007421514042488844,0.008664503507170634,0.0021028278633100322,0.001363842536472871,0.6298876707052952
65,0.405,0.07,0.5656,0.045,74.0,0.04,0.0291,0.037000000000000005,0.0365,0.021,0.016649999999999998,0.0318,0.015,0.046700000000000005,0.0475,0.0328,73.0,0.1277,0.5825,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.007634717150796852,0.007065187937140586,0.0006984396219587075,0.004980747603862464,0.0006704113359183829,0.0009468141233141,0.001990586948477055,0.6542008022461495
78,0.39,0.055,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.04,0.035,0.03,74.0,0.157,0.58,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.007581854161458266,0.0025873372450822838,0.00560111946897883,0.004211118555697121,0.00666609953116453,0.0036194882666003322,0.002126801971590306,0.6346794211513124
79,0.39,0.057999999999999996,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.027999999999999997,0.015,0.0349,0.015,0.04,0.035,0.04,73.0,0.1347,0.57,0.068,0.12,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.00187883241529492,0.0017772472029941927,0.000723923955419901,0.004791372302939865,0.007718936464158104,0.001398182289782914,0.0025099855301674674,0.6335971862538295
111,0.41,0.069,0.5656,0.045,73.0,0.04,0.0327,0.04,0.0365,0.025,0.02,0.0318,0.015,0.0513,0.0287,0.04,73.0,0.1507,0.585,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.00837784854946845,0.00725898981394138,0.0075846272765347856,0.0005514841021247396,0.0044404394596289755,0.0008729860881368232,0.0032374863497188523,0.6643421379448645
129,0.39899999999999997,0.07,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.0497,0.033,73.0,0.125,0.4747,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.009000000000000001,0.0007547412762415956,0.0020496821702228754,0.003006954690257672,0.0009537643171526547,0.008721725025828526,0.002154198177230929,0.0025228687525180107,0.6536386402787728
