, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
1,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.038450000000000005,0.023350000000000003,0.013000000000000001,0.034,0.015,0.05,0.0287,0.04,73.0,0.1356,0.5887,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.006999999999999999,0.004851317525700318,0.0014944057018881484,0.002192344891184645,0.0012483330937610347,0.0049156065893954356,0.002079884453996168,0.0012948283445145662,0.6640206902489724
2,0.35,-0.0145,0.5656,0.045,71.5,0.04,0.029200000000000007,0.045,0.0365,0.022000000000000002,0.0185,0.0318,0.015,0.0231,0.0391,0.0233,71.5,0.08,0.265,0.068,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.008,0.00059073216603684,0.00861395517840894,0.0005379394962748726,0.0035189917888750963,0.001256577249396357,0.0008949667245431687,0.002477158529737677,0.5724919500516429
4,0.375,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.0339,0.019,0.0291,70.5,0.0918,0.46,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.00877932444290781,0.0018678713904032032,0.00258450031164814,0.00342253699298492,0.0011426066215892616,0.0025619165400276363,0.0017617173364413792,0.5739040929925655
5,0.43178999999999995,0.024,0.5656,0.040999999999999995,72.5,0.04,0.029200000000000007,0.05,0.0365,0.022000000000000002,0.016,0.0318,0.015,0.0543,0.0364,0.0202,72.1,0.0831,0.3,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.0007885988845878423,0.0072324928937389345,0.002530260261733736,0.00586738535600207,0.006490499827551514,0.000731909631542148,0.007556941707486919,0.6361792967995458
7,0.425,0.029863024927926012,0.5656,0.065,72.03483637778452,0.0375,0.0302,0.04,0.04345,0.025,0.0185,0.035,0.015,0.05,0.05,0.0285,69.53483637778452,0.165,0.535,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.0006647962407324498,0.0014754004653448356,0.00151033822114353,0.005078223875719193,0.005527864882844541,0.009230368653546164,0.0005734907681020926,0.6882916076047391
8,0.425,0.043,0.5656,0.077,73.0,0.035,0.042,0.045,0.04495,0.023350000000000003,0.0185,0.035,0.015,0.07,0.062,0.027000000000000003,70.0,0.1236,0.52,0.1,0.135,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.0112,0.0022508352639794968,0.001999341395201061,0.007953906318215041,0.0009249120353155211,0.004070309883213945,0.0017630062924789555,0.009342433437763956,0.7038693533105786
9,0.45,0.0735,0.5656,0.04,74.0,0.0381,0.0286,0.0318,0.034,0.01735,0.0105,0.0286,0.015,0.0391,0.0344,0.0281,73.0,0.15,0.5244,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0018802070582840046,0.007085887548127517,0.0059277720196547964,0.00605927300988516,0.0013100695312057472,0.0005414921193302426,0.0011653942259214464,0.6607292642474715
10,0.44299999999999995,0.040999999999999995,0.5656,0.055,73.0,0.04,0.0327,0.04,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72.0,0.105,0.457,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.0024057385629052195,0.0053940711517290255,0.0012492464335147092,0.008172086214642767,0.0016640284782398489,0.0025063167079435607,0.0018706056370555886,0.6739015050364934
12,0.444,0.0575,0.5656,0.055,73.0,0.04,0.03015,0.05,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.05,0.0709,0.0242,71.0,0.1054,0.457,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.0008628298760952751,0.0016860799791488948,0.006727322105003753,0.009840383994193307,0.0005262648982944276,0.0008603093389484793,0.002437619114711008,0.6737233493814868
13,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.038450000000000005,0.023350000000000003,0.013000000000000001,0.034,0.015,0.05,0.0287,0.05,73.0,0.1502,0.5887,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.006999999999999999,0.001637467920315326,0.002162090285531756,0.006552505411783374,0.0026302668502813037,0.0017109245461429993,0.007216641189661958,0.00944549073690301,0.658441903667924
14,0.40943,0.07200000000000001,0.5656,0.045,73.5,0.04,0.0286,0.045,0.05105,0.023350000000000003,0.013000000000000001,0.0334,0.015,0.0512,0.0286,0.0332,72.5,0.1677,0.61,0.068,0.13,0.0,0.0, Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|Ti-6Al-4VSolution treated and aged (SS)|205$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|Ti-6Al-4VSolution treated and aged (SS)|205,0.33,0.35,0.006999999999999999,0.001319686241560673,0.0007297715444574168,0.009833189565894615,0.002647637477868221,0.0042591290533687855,0.0013450213563385145,0.007919078824882646,0.6720915135045531
15,0.38757,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0286,0.034,0.01735,0.0105,0.0286,0.015,0.035,0.019,0.0285,72.0,0.049,0.48,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0106,0.0012953019368479473,0.006995772147201696,0.0012971980390115393,0.006195956587428501,0.0009012067042909213,0.0007633459981952637,0.005236637152765946,0.5845843210912172
16,0.425,0.02,0.5656,0.045,72.0,0.03,0.0277,0.04,0.0365,0.023350000000000003,0.0185,0.03,0.015,0.04,0.05,0.04,67.9999999999999,0.136,0.48,0.1,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.0112,0.004572264273770565,0.0005021989611482943,0.0019346099427674246,0.00730158694800967,0.009754397165798923,0.002569422451580361,0.005065241110715148,0.6582061294403003
18,0.45,0.055,0.5656,0.045,74.5,0.04,0.029200000000000007,0.045,0.0365,0.022000000000000002,0.017,0.0318,0.015,0.0509,0.0504,0.0268,70.5,0.111,0.4826,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.008,0.004194212978370408,0.0025958667431942783,0.004940837353444802,0.0013558859396689382,0.009912618421755566,0.005457563772814515,0.0013091117229216268,0.7062648586791099
