Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated,Estimated
CS Length,,m,0.367,0.37,0.355,0.381,0.374,0.411,0.411,0.398,0.755,0.4,0.405,0.425,0.4,0.44108,0.406,0.375,0.377,0.42,0.445,0.425,0.419,0.419,0.49,0.49,0.49,0.49,0.405,0.54,0.388,0.3559,0.54,0.67133,0.48,0.343,0.367,0.37,0.3821,0.31978,0.38793,0.38793,0.38793,0.38793,0.435,0.43,0.367,0.38834,0.405,0.67133,0.44,0.415,0.38355,0.54,0.405,0.38516,0.405,0.42,0.415,0.41,0.42,0.44,0.49135,0.425,0.44498,0.405,0.37173,0.445,0.44,0.38355,0.44498,0.412,0.44,0.41,0.41,0.425,0.405,0.395,0.405,0.62967,0.39,0.405,0.33,0.405,0.39504,0.39,0.41369,0.405,0.405,0.415,0.415,0.405,0.38,0.42,0.3756,0.38,0.41,0.41624,0.40919,0.415,0.43,0.425,0.415,0.405,0.4,0.46289,0.42,0.405,0.7341,0.44082,0.47948,0.415,0.39,0.405,0.405,0.39771,0.448,0.405,0.39,0.39,0.415,0.39,0.37,0.355,0.34,0.38,0.41,0.455,0.355,0.43418,0.3302,0.455,0.365,0.395,0.435,0.405,0.425,0.43663,0.401,0.45,0.405,0.405,0.41,0.38,0.409,0.405,0.405,0.405,0.405,0.4,0.47,0.3,0.355,0.405,0.392,0.4,0.375,0.425,0.405,0.41,0.4,0.375,0.35,0.35,0.415,0.4,0.407,0.415,0.445,0.56,0.445,0.405,0.80152,0.4323,0.43,0.405,0.405,0.325,0.325,0.445,0.405,0.405,0.325,0.52,0.56,0.405,0.38,0.36786,0.33,0.415,0.38,0.45212,0.445,0.444,0.405,0.36,0.4225,0.44,0.42,0.4,0.405,0.375,0.4
BB Drop,,m,0.04,0.001876,0.02993,0.00431,0.03,0.02261,0.02566,0.045,0.0775,0.045,0.045,0.05,0.037,0.045,0.07,0.04,-0.025,0.068,0.005,0.065,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.007,0.06,0.07,0,0.02,0.04,0.04,0,-0.02,0,0,0,0,0.062,0.032,0.04,0,0.055,0.07,0.078,0.058,0.02134,0.06,0.07392,0,0.045,0.07,0.08,0.08,0.07,0.078,0.07,0.07,0.055,0.07,0,0.005,0,0.02134,0.055,0.07,0.068,0.07,0.07,0.01981,0.07,0.048,0.07,0.027,0.05,0.07,0,0.08,0.068,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04999,0.068,0.03,0.04999,0.068,0.07,0.073,0.068,0.065,0.03,0.069,0.069,0.068,0.088,0.062,0.068,0.037,0.085,0.088,0.068,0.06,0.07,0.07,-0.092,0.098,0.07,0.05,0.05,0.07,0.045,0.05,-0.009,0.02,0,0.01,0.037,-0.009,0.07,-0.038,0.037,0.058,0.058,0.07146,0.07,0.07,0.0095,0.07,-0.03,0.07,0.07,0.07,0.0045,0.07,0.07,0.07,0.068,0.05,0.05,0.08,-0.007,0,0.07,0.058,0.06,0,0,0,0,-0.007,0,-0.03,0,0.07,0.04,0.067,0.069,0.07,0.12218,0.075,0,0.07,0.07,0,0.07,0.09,-0.025,-0.025,0.0675,0.07,0.07,-0.025,0.14,0.05,0.07,-0.03053,0.069,-0.015,0.08,0.08,0.06604,0.0675,0.058,0.07,0.04,0.064,0.069,0.058,-0.0175,-0.03,0.05,0.05
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,m,0.045,0.045,0.045,0.0335,0.0285,0.0285,0.0285,0.055,0.045,0.055,0.055,0.055,0.04,0.2,0.08,0.05,0.03,0.045,0.045,0.17,0.045,0.045,0.045,0.045,0.045,0.045,0.06,0.045,0.055,0.045,0.045,0.045,0.205,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.03,0.045,0.03,0.03,0.037,0.045,0.045,0.045,0.15,0.14,0.045,0.045,0.14,0.03,0.145,0.025,0.045,0.045,0.037,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.19,0.045,0.2,0.2,0.355,0.355,0.045,0.045,0.045,0.045,0.045,0.07,0.037,0.045,0.045,0.037,0.045,0.045,0.015,0.06,0.06,0.064,0.07,0.12,0.055,0.045,0.06,0.06,0.025,0.025,0.045,0.058,0.058,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.12,0.12,0.045,0.045,0.104,0.104,0.06,0.037,0.037,0.045,0.06,0.06,0.055,0.012,0.055,0.095,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.22,0.035,0.045,0.055,0.095,0.02,0.02,0.045,0.04,0.058,0.045,0.045,0.047,0.175,0.044,0.22,0.045,0.044,0.044,0.044,0.045,0.175,0.045,0.045,0.08,0.08,0.06,0.043,0.045,0.065,0.03,0.066,0.066,0.043,0.04,0.02,0.065,0.065,0.04,0.058,0.058,0.045,0.044,0.044,0.045,0.17,0.24,0.12,0.025,0.045,0.045,0.045,0.07,0.08,0.08,0.075,0.045,0.025,0.14
ST Angle,,deg,72.99998,75.48075,80.14312,71.70095,73.5,71.06176,70.7909,73,74,73.5,73.5,69.5,74.5,72,73.5,73.5,75.5,72.5,71.5,74.5,73,73,73,73,73,73,73.5,73,76,74.5,73,50.6,90,72.5,73,73.5,74,74,74,74,74,74,73.5,73,73,74,73,50.6,73,75.5,69.94,73,75.06374,73.5,74,75,72,73,75,73,64.6,73.5,74,73,71.44,71.5,78,69.94,74,74,73,74,74,72.55061,74,73.5,74,42,75,74,77,83,78,76,72.5,75,75,73,73,78.5,76.00195,72.5,76,76.00195,72.5,74,75,72.3,71.8,73,73.5,73,72.5,77.5,73.5,72.5,50,73,77.5,72,70.1,74,74,75.5,77.5,74,70.6,72.6,72.5,75,74,78,73,71.5,71.5,70,78,72,71,70,74.5,74.5,73.19463,74,73,70.5,74,59.1,74,74,73,71,75,73,74,72.5,74,73,71,75,67,75.5,75.5,74,74,74,74,73,75,74,78,74,72.5,80,75,74,73.5,62.8736,73,74,45.6,71.5,72.5,78,76,74,74,73,80,80,74,68.5,73,74,73.91972,75,74,72,76,73.5,73,73,74,75.5,74,73.25,69,74,40,70,74
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.045,0.04,0.04,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.0381,0.045,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.088,0.088,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.03095,0.03095,0.0302,0.0297,0.0327,0.0327,0.0327,0.0286,0.0327,0.0327,0.0371,0.0254,0.0286,0.0425,0.0286,0.0337,0.03175,0.0616,0.0286,0.0286,0.0286,0.0297,0.0297,0.0297,0.0297,0.038,0.0297,0.0302,0.0286,0.0297,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0302,0.0302,0.0286,0.0297,0.0254,0.0302,0.0273,0.0286,0.039,0.0297,0.0355,0.0286,0.032,0.035,0.0286,0.0286,0.035,0.0273,0.0286,0.0254,0.0254,0.0286,0.039,0.0616,0.0426,0.039,0.0254,0.0286,0.03228,0.0286,0.0286,0.0327,0.0286,0.0267,0.0286,0.0286,0.04795,0.0286,0.0426,0.0352,0.0289,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.036,0.03175,0.027,0.036,0.03175,0.02855,0.0254,0.03175,0.03175,0.04,0.03175,0.03175,0.03175,0.0386,0.0286,0.03175,0.0229,0.0286,0.0386,0.03175,0.0286,0.0286,0.0286,0.0286,0.0386,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0385,0.0385,0.042,0.0286,0.0474,0.0277,0.042,0.0286,0.0302,0.02545,0.0285,0.0271,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0327,0.0254,0.0286,0.03175,0.0255,0.0254,0.0254,0.0286,0.029,0.0375,0.0302,0.0286,0.0292,0.0302,0.0302,0.0327,0.0286,0.0292,0.0292,0.0277,0.0286,0.0327,0.0286,0.0267,0.0339,0.0277,0.0369,0.0292,0.0302,0.0336,0.0227,0.0371,0.0371,0.0287,0.0287,0.0339,0.0381,0.0381,0.0287,0.0286,0.0286,0.0286,0.035,0.0277,0.0286,0.0286,0.027,0.0286,0.0339,0.0302,0.0286,0.0286,0.0286,0.0307,0.03495,0.0267,0.0286,0.0255,0.031
HT OD,,m,0.045,0.045,0.045,0.044,0.0435,0.048,0.048,0.048,0.045,0.048,0.048,0.045,0.0317,0.045,0.055,0.045,0.045,0.0349,0.055,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.045,0.045,0.045,0.0318,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0365,0.0365,0.045,0.054,0.0317,0.045,0.036,0.045,0.05,0.045,0.005,0.045,0.05,0.045,0.045,0.045,0.045,0.036,0.045,0.0286,0.04,0.045,0.05,0.055,0.045,0.05,0.04,0.035,0.037,0.045,0.045,0.04,0.045,0.037,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.036,0.045,0.045,0.045,0.045,0.045,0.035,0.0349,0.0317,0.035,0.045,0.037,0.0317,0.045,0.045,0.045,0.055,0.045,0.045,0.045,0.045,0.045,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.045,0.06,0.06,0.065,0.048,0.045,0.045,0.065,0.033,0.044,0.0321,0.045,0.035,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0318,0.045,0.045,0.0312,0.0317,0.0317,0.045,0.045,0.04,0.045,0.045,0.04,0.043,0.04,0.04,0.045,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.038,0.0317,0.05,0.04,0.045,0.045,0.038,0.045,0.045,0.035,0.035,0.036,0.045,0.045,0.035,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.038,0.045,0.036,0.045,0.045,0.045,0.04,0.045,0.055,0.035,0.045,0.032,0.045
DT OD,,m,0.0365,0.0365,0.0365,0.0485,0.0475,0.06,0.06,0.06,0.0365,0.06,0.06,0.042,0.034,0.0365,0.05,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0485,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03657,0.03657,0.0365,0.0465,0.0365,0.0365,0.031,0.0365,0.0345,0.0365,0.0365,0.0365,0.042,0.0365,0.0365,0.0365,0.0365,0.031,0.0365,0.0286,0.0365,0.0365,0.0345,0.0615,0.053,0.0345,0.0365,0.0365,0.0429,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.053,0.0365,0.0365,0.043,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.034,0.0345,0.0365,0.0365,0.0365,0.0365,0.042,0.04495,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.034,0.0365,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0455,0.0455,0.05,0.0365,0.0301,0.035,0.05,0.031,0.0365,0.0365,0.0445,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.044,0.0365,0.033,0.035,0.035,0.04,0.0365,0.034,0.034,0.04,0.0365,0.0365,0.0365,0.0305,0.0429,0.034,0.0429,0.034,0.0365,0.0365,0.03,0.0365,0.0365,0.032,0.032,0.0429,0.0365,0.0365,0.032,0.0365,0.0381,0.0365,0.0345,0.0365,0.0365,0.0365,0.0365,0.0365,0.0429,0.03895,0.03995,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
