Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.365000,0.405000,0.300000,0.420000,0.428600,0.390000,0.410000,0.342900,0.405000,0.430000,0.450000,0.410000,0.430000,0.410000,0.425000,0.417000,0.415000,0.365000,0.416480,0.425000,0.415000,0.417000,0.425000,0.405000,0.405000,0.425000,0.377840,0.450000,0.450000,0.380800,0.405000,0.439000,0.407550,0.415000,0.425000,0.383200,0.410000,0.405000,0.425000,0.405000,0.425000,0.422000,0.495000,0.405000,0.403160,0.460000,0.380000,0.435000,0.420000,0.420000,0.460000,0.450000,0.407550,0.460000,0.460000,0.405000,0.405000,0.378450,0.425000,0.405000,0.425000,0.455000,0.425000,0.345000,0.405000,0.425000,0.425000,0.390000,0.430000,0.408900,0.450000,0.405000,0.405000,0.404000,0.450000,0.490000,0.422620,0.405000,0.405000,0.399000,0.399000,0.414260,0.395000,0.385000,0.385000,0.380000,0.350000,0.400000,0.325000,0.405000,0.385000,0.395000,0.405000,0.410000,0.425000,0.456000,0.410000,0.390000,0.440000,0.550000,0.425000,0.405000,0.405000,0.425500,0.430000,0.343000,0.425500,0.425000,0.432000,0.465000,0.380000,0.400000,0.405000,0.405000,0.418000,0.460000,0.405000,0.353000,0.375000,0.220000,0.425000,0.405000,0.455000,0.420000,0.425000,0.390000,0.430000,0.416000,0.413000,0.410000,0.405000,0.447220,0.315000,0.425000,0.410000,0.405000,0.410000,0.425000,0.435000,0.435000,0.430000,0.430000,0.390000,0.445000,0.405000,0.405000,0.405000,0.380000,0.427760,0.363220,0.425000,0.403000,0.403000,0.395000,0.415000,0.415000,0.405000,0.405000,0.405000,0.406000,0.406000,0.406000,0.425000,0.390000,0.438000,0.405000,0.388000,0.390000,0.375000,0.407000,0.385000,0.420000,0.435000,0.425000,0.425000,0.415000,0.400000,0.275000,0.405000,0.410000,0.420000,0.425000,0.365000,0.410000,0.405000,0.407000,0.407000,0.407000,0.385000,0.445000,0.400000,0.430000,0.430000,0.380000,0.390000,0.385000,0.390000,0.380000,0.425000,0.425000,0.405000
BB Drop,,N/A,-0.005000,0.070000,0.070000,0.070000,0.070000,0.000000,0.071000,-0.043400,0.070000,0.075000,0.055000,0.070000,0.075000,0.051036,0.070000,0.070000,0.070000,0.007000,0.059000,0.065000,0.070000,0.070000,0.070000,0.070000,0.070000,0.075000,0.070000,0.070000,0.055000,0.067000,0.070000,0.053000,0.070000,0.070000,0.065000,0.045000,0.070000,0.070000,0.073000,0.067000,0.070000,0.060000,0.135000,0.070000,0.070000,0.061000,0.030000,0.073000,0.070000,0.070000,0.075000,0.060000,0.070000,0.075000,0.061000,0.070000,0.070000,0.033429,0.075000,0.070000,0.070000,0.070000,0.075000,0.020000,0.067000,0.075000,0.075000,0.050000,0.070000,0.024000,0.070000,0.072000,0.072000,0.062000,0.053000,0.087000,0.037000,0.070000,0.010000,0.069000,0.069000,0.075000,0.062000,0.047000,0.057000,0.065000,0.065000,0.057000,0.000000,-0.047000,0.037000,0.062000,0.070000,0.070000,0.048000,0.055000,0.070000,0.047000,0.070000,0.060000,0.035000,0.010000,0.010000,0.046500,0.055000,-0.052300,0.046500,0.057000,0.068000,0.070000,0.030000,0.027500,-0.025000,0.000000,0.082000,0.060000,0.070000,0.000000,0.008000,0.010000,0.030000,0.070000,0.070000,0.000000,0.020000,0.065000,0.026000,0.040000,0.070000,0.015000,0.070000,0.111000,-0.030000,0.066000,0.047000,0.070000,0.070000,0.035000,0.073000,0.073000,0.070000,0.070000,0.005000,0.060000,0.070000,0.070000,0.070000,0.060000,0.065000,-0.017000,-0.030000,0.072000,0.072000,0.070000,0.060000,0.025000,0.070000,0.080000,0.070000,0.070000,0.070000,0.070000,0.077500,0.035000,0.055000,0.070000,0.011000,0.040000,0.045000,0.065000,0.070000,0.065000,0.073000,0.055000,0.055000,0.048000,0.070000,0.025000,0.068000,0.070000,0.065000,0.070000,0.010000,0.050000,0.070000,0.070000,0.070000,0.070000,-0.025000,0.040000,0.070000,0.030000,0.030000,-0.020000,-0.010000,0.040000,-0.005000,-0.020000,0.060000,0.025000,0.070000
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.037000,0.045000,0.045000,0.045000,0.045000,0.045000,0.080000,0.033000,0.045000,0.025000,0.045000,0.045000,0.025000,0.045000,0.045000,0.045000,0.045000,0.037000,0.125000,0.045000,0.045000,0.045000,0.045000,0.070000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.053000,0.053000,0.045000,0.045000,0.049000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.040000,0.037000,0.025000,0.175000,0.040000,0.040000,0.045000,0.055000,0.040000,0.040000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.040000,0.080000,0.045000,0.045000,0.045000,0.045000,0.045000,0.072000,0.240000,0.045000,0.045000,0.045000,0.045000,0.045000,0.030000,0.045000,0.045000,0.045000,0.120000,0.120000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.072000,0.045000,0.100000,0.040000,0.045000,0.045000,0.072000,0.045000,0.045000,0.015000,0.045000,0.040000,0.045000,0.045000,0.045000,0.060000,0.037000,0.045000,0.250000,0.045000,0.045000,0.040000,0.045000,0.045000,0.037000,0.045000,0.045000,0.045000,0.070000,0.200000,0.045000,0.045000,0.038000,0.072000,0.045000,0.200000,0.045000,0.045000,0.029000,0.045000,0.195000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.034000,0.055000,0.045000,0.045000,0.045000,0.045000,0.045000,0.037000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.050000,0.035000,0.045000,0.045000,0.045000,0.060000,0.090000,0.175000,0.120000,0.045000,0.045000,0.200000,0.045000,0.175000,0.045000,0.045000,0.045000,0.120000,0.055000,0.040000,0.055000,0.045000,0.040000,0.040000,0.040000,0.060000,0.050000,0.045000,0.055000,0.055000,0.085000,0.065000,0.350000,0.055000,0.095000,0.045000,0.040000,0.045000
ST Angle,,N/A,1.291540,1.291544,1.300270,1.317724,1.279326,1.265364,1.313360,1.239184,1.291544,1.291544,1.300270,1.313360,1.291544,1.247249,1.256637,1.274090,1.274090,1.274090,1.300270,1.274090,1.274090,1.274090,1.256637,1.282817,1.291544,1.274090,1.448623,1.256637,1.300270,1.230457,1.300270,1.274090,1.308997,1.274090,1.274090,1.308997,1.282817,1.291544,1.282817,1.291544,1.274090,1.282817,1.108284,1.291544,1.258382,1.274090,1.308997,1.300270,1.291544,1.291544,1.274090,1.256637,1.308997,1.256637,1.274090,1.300270,1.300270,1.263377,1.282817,1.291544,1.291544,1.274090,1.221730,1.282817,1.274090,1.282817,1.282817,1.291544,1.282817,1.274090,1.274090,1.326450,1.326450,1.256637,1.239184,1.186824,1.214749,1.300270,1.247910,1.291544,1.291544,1.256637,1.291544,1.308997,1.308997,1.291544,1.326450,1.308997,1.274090,1.291544,1.300270,1.335177,1.291544,1.300270,1.274090,1.274090,1.326450,1.291544,1.282817,1.047198,1.265364,1.256637,1.256637,1.274090,1.274090,1.239184,1.291544,1.300270,1.300270,1.247910,1.291544,1.256637,1.230457,1.197296,1.256637,1.221730,1.291544,1.274090,1.291544,1.213004,1.282817,1.291544,1.230457,1.221730,1.239184,1.317724,1.221730,1.274090,1.308997,1.221730,1.291544,1.291544,1.221730,1.256637,1.265364,1.282817,1.265364,1.274090,1.282817,1.282817,1.300270,1.291544,1.213004,1.291544,1.439897,1.274090,1.317724,1.291544,1.291544,1.213004,1.291544,1.296780,1.296780,1.308997,1.291544,1.274090,1.535890,1.326450,1.291544,1.282817,1.282817,1.282817,1.291544,1.247910,1.274090,1.291544,1.291544,1.256637,1.291544,1.282817,1.343904,1.221730,1.282817,1.274090,1.265364,1.300270,1.308997,1.247910,1.274090,1.326450,1.239184,1.274090,1.230457,1.282817,1.370083,1.265364,1.265364,1.265364,1.247910,1.265364,1.274090,1.291544,1.282817,1.274090,1.256637,1.326450,1.291544,1.274090,1.256637,1.261873,1.291544
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0391,0.04,0.04,0.0391,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0865,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.049,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.045,0.04,0.04,0.04,0.0381,0.04,0.04,0.0381,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.055,0.04,0.035,0.04,0.04,0.04,0.055,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04196,0.04341,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.049,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.0508,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.075,0.075,0.075,0.04,0.04,0.031,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.068,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.05,0.0286,0.027,0.027,0.035,0.0286,0.027,0.0286,0.0286,0.0286,0.0286,0.0286,0.0272,0.0286,0.0286,0.0286,0.0286,0.0375,0.0375,0.0286,0.0266,0.0286,0.0292,0.0286,0.0286,0.0292,0.0306,0.0254,0.0286,0.03015,0.03015,0.0286,0.0286,0.0292,0.0286,0.0286,0.0292,0.0286,0.0286,0.0254,0.039,0.0286,0.0286,0.0286,0.0254,0.0292,0.0306,0.0254,0.0254,0.027,0.0286,0.027,0.0286,0.0286,0.0286,0.0286,0.0286,0.0287,0.0286,0.0286,0.0286,0.027,0.0254,0.0292,0.0286,0.0286,0.0286,0.0286,0.042,0.0292,0.0286,0.0286,0.0286,0.0286,0.0286,0.0254,0.0252,0.0237,0.0237,0.0237,0.0227,0.0237,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.042,0.0286,0.0286,0.027,0.0327,0.0627,0.0374,0.0286,0.0286,0.0286,0.0292,0.0277,0.0286,0.0286,0.0286,0.0267,0.033,0.0286,0.0286,0.0459,0.027,0.02543,0.02855,0.0286,0.0286,0.0267,0.0292,0.0286,0.0316,0.05,0.0292,0.0286,0.0327,0.0377,0.0286,0.05,0.0286,0.0286,0.0286,0.0286,0.0317,0.0307,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0327,0.0292,0.0286,0.0267,0.0286,0.0286,0.0286,0.0286,0.0286,0.0267,0.0267,0.0267,0.0254,0.0286,0.0286,0.0531,0.0286,0.0336,0.0336,0.0286,0.0286,0.0286,0.0286,0.0271,0.0286,0.0286,0.0286,0.0286,0.0256,0.0243,0.0286,0.0286,0.0317,0.0292,0.0256,0.0286,0.0286,0.0327,0.0243,0.0302,0.0286,0.027,0.055,0.0286,0.0286,0.0286,0.0286,0.0286,0.0306,0.0327,0.0327,0.0286,0.0296,0.033,0.0291,0.0286,0.0286,0.0286,0.0436
HT OD,,m,0.043,0.045,0.045,0.0333,0.0317,0.045,0.055,0.038,0.0318,0.036,0.048,0.045,0.036,0.045,0.045,0.045,0.045,0.043,0.035,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.0318,0.045,0.0414,0.0477,0.045,0.045,0.03,0.045,0.045,0.045,0.045,0.045,0.0317,0.05,0.04,0.0318,0.0318,0.0317,0.045,0.045,0.0317,0.0317,0.037,0.045,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.037,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.0318,0.045,0.045,0.045,0.045,0.045,0.0317,0.028,0.03,0.03,0.03,0.025,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0318,0.037,0.045,0.06,0.039,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.036,0.035,0.045,0.045,0.045,0.0338,0.032,0.037,0.045,0.047,0.0318,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.037,0.045,0.045,0.045,0.043,0.045,0.037,0.037,0.037,0.0318,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.036,0.035,0.045,0.045,0.045,0.045,0.035,0.0365,0.045,0.04,0.045,0.045,0.035,0.045,0.036,0.0318,0.0365,0.045,0.045,0.0317,0.055,0.05,0.05,0.05,0.045,0.04,0.045,0.045,0.045,0.045,0.045,0.03,0.05,0.045,0.05,0.04,0.055
DT OD,,m,0.0365,0.0365,0.0365,0.03505,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0425,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.0345,0.0365,0.0365,0.0365,0.034,0.0365,0.0365,0.034,0.034,0.0365,0.0365,0.03405,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04495,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.025,0.025,0.025,0.025,0.02,0.025,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04495,0.0365,0.0365,0.0365,0.0365,0.0365,0.04745,0.0365,0.0365,0.0365,0.0365,0.0355,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.0365,0.04745,0.0365,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0475,0.0365,0.0365,0.0365,0.04495,0.0365,0.0475,0.0365,0.0365,0.0365,0.0365,0.0365,0.044,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.031,0.0365,0.0285,0.0365,0.0365,0.0365,0.0365,0.0325,0.0365,0.0365,0.03495,0.03515,0.0365,0.0325,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04,0.04,0.04,0.0365,0.0365,0.0365,0.0525,0.0525,0.0365,0.037,0.036,0.0405,0.0365,0.0365,0.0365,0.0365
