Design Study 1
Scenarios/Iterations:, 93
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.415000,0.435000,0.425000,0.425000,0.400000,0.400000,0.400000,0.435000,0.435000,0.475000,0.435000,0.410000,0.420000,0.405000,0.435000,0.429760,0.630000,0.398000,0.420000,0.420000,0.432000,0.432500,0.424900,0.406000,0.435000,0.410000,0.425000,0.425000,0.409000,0.425000,0.409000,0.420000,0.415000,0.415000,0.425000,0.420000,0.425000,0.432000,0.468800,0.405000,0.400000,0.420000,0.425000,0.458000,0.425000,0.458000,0.410000,0.410000,0.410000,0.410000,0.408000,0.410000,0.405000,0.395000,0.415000,0.405410,0.400000,0.455000,0.425000,0.420000,0.395000,0.465000,0.415000,0.430000,0.374990,0.430000,0.405000,0.432000,0.430000,0.405000,0.455000,0.425000,0.425000,0.420000,0.430000,0.430000,0.381000,0.450000,0.430000,0.440000,0.430000,0.425000,0.440000,0.425000,0.430000,0.430000,0.424500,0.424500,0.424500,0.410000,0.419000,0.410000,0.410000,0.440000
BB Drop,,N/A,0.065000,0.080000,0.055000,0.055000,0.065000,0.065000,0.065000,0.060000,0.060000,0.075000,0.060000,0.060000,0.060000,0.070000,0.055000,0.056500,0.039500,0.068000,0.072000,0.075000,0.058000,0.070000,0.017500,0.073000,0.065600,0.057500,0.065000,0.065000,0.072000,0.073000,0.072000,0.051196,0.043000,0.045184,0.025000,0.069000,0.025000,0.056000,0.055000,0.073000,0.056000,0.070000,0.078000,0.050000,0.073000,0.050000,0.070000,0.072000,0.070000,0.070000,0.072000,0.073000,0.072000,0.072000,0.045000,0.056000,0.070000,0.050000,0.076000,0.070000,0.072000,0.050000,0.072000,-0.001500,0.000000,0.044500,0.070000,0.063000,0.030000,0.073000,0.050000,0.076000,0.076000,0.078000,0.070000,0.045000,0.017000,0.072000,0.055000,0.056000,0.080000,0.068000,0.072500,0.063000,0.063500,0.031500,0.032500,0.032500,0.020981,0.075000,0.042909,-0.011500,-0.011500,0.064500
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.62,0.62,0.62,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.7,0.548,0.579,0.6237,0.5656,0.6,0.6125,0.5656,0.5671,0.5656,0.611,0.593,0.5688,0.5882,0.5688,0.637,0.597,0.597,0.6,0.5656,0.5946,0.6237,0.5792,0.5656,0.5656,0.5914,0.6106,0.658,0.571,0.658,0.577,0.534,0.563,0.563,0.574,0.59,0.56,0.5573,0.62,0.5656,0.52,0.5656,0.595,0.552,0.54,0.5656,0.514,0.655,0.528,0.5656,0.5356,0.5656,0.5656,0.5656,0.5656,0.592,0.592,0.5914,0.6017,0.655,0.555,0.53,0.64,0.5656,0.6255,0.5656,0.563,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.552,0.5989,0.4925,0.5,0.5656
SS E,,N/A,0.045000,0.030000,0.045000,0.045000,0.055000,0.045000,0.045000,0.045000,0.045000,0.030000,0.045000,0.045000,0.045000,0.045000,0.060000,0.120000,0.044000,0.045000,0.045000,0.030000,0.110000,0.050000,0.070000,0.012000,0.045000,0.050000,0.015000,0.015000,0.045000,0.100000,0.045000,0.050000,0.064000,0.064000,0.060000,0.050000,0.060000,0.050000,0.128000,0.110000,0.050000,0.180000,0.160000,0.045000,0.045000,0.045000,0.060000,0.155000,0.175000,0.175000,0.155000,0.030000,0.155000,0.245000,0.050000,0.050000,0.045000,0.030000,0.060000,0.145000,0.245000,0.030000,0.280000,0.045000,0.035000,0.067000,0.045000,0.110000,0.067000,0.110000,0.030000,0.075000,0.075000,0.180000,0.045000,0.045000,0.050000,0.045000,0.050000,0.110000,0.190000,0.190000,0.055000,0.025000,0.050000,0.050000,0.050000,0.050000,0.050000,0.125000,0.090000,0.045000,0.045000,0.045000
ST Angle,,N/A,1.265360,1.282817,1.239184,1.239184,1.282817,1.282817,1.282817,1.274090,1.274090,1.178097,1.274090,1.274090,1.404990,1.265364,1.265364,1.247910,1.178097,1.291544,1.282817,1.282817,1.256637,1.274090,1.274090,1.282817,1.288053,1.282817,1.256637,1.256637,1.274090,1.274090,1.274090,1.413507,1.274090,1.279384,1.274090,1.282817,1.274090,1.326450,1.308997,1.291544,1.326450,1.279326,1.274090,1.326450,1.282817,1.326450,1.279326,1.291544,1.279326,1.279326,1.279326,1.282817,1.279326,1.343904,1.326450,1.308997,1.326450,1.239184,1.274090,1.274090,1.343904,1.221730,1.343904,1.274090,1.300270,1.291544,1.422443,1.265364,1.291544,1.291544,1.265364,1.274090,1.274090,1.279326,1.274090,1.308997,1.326450,1.265364,1.308997,1.265364,1.282817,1.274090,1.274090,1.274090,1.265364,1.265364,1.274090,1.274090,1.246900,1.291544,1.357379,1.291544,1.291553,1.282817
BB OD,,m,0.04,0.04015,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04015,0.04,0.04,0.04,0.04,0.0508,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.051,0.051,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04015,0.04,0.04,0.04,0.04015,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04015,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.039,0.04,0.038,0.04,0.04,0.0348,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.032,0.0286,0.0286,0.0286,0.0286,0.03015,0.03125,0.0313,0.0286,0.0286,0.0286,0.03,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0283,0.0286,0.0385,0.0286,0.0385,0.0283,0.0286,0.025,0.025,0.03,0.03,0.03,0.02815,0.0286,0.0286,0.0286,0.0286,0.03,0.0286,0.0286,0.0286,0.03475,0.0286,0.0286,0.027,0.0286,0.0286,0.027,0.0286,0.0286,0.03,0.03,0.0283,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286
HT OD,,m,0.033,0.03215,0.033,0.033,0.036,0.0275,0.0275,0.045,0.045,0.03215,0.045,0.045,0.045,0.045,0.046,0.05,0.045,0.038,0.038,0.045,0.05,0.05,0.03725,0.0317,0.057,0.045,0.038,0.038,0.05,0.044,0.05,0.05,0.05,0.05,0.045,0.0413,0.043,0.05,0.06,0.045,0.05,0.055,0.045,0.0413,0.038,0.0413,0.055,0.045,0.08,0.08,0.06,0.06,0.06,0.045,0.05,0.05,0.045,0.03215,0.055,0.045,0.045,0.03215,0.05,0.053,0.0413,0.034,0.045,0.05,0.034,0.06,0.03215,0.055,0.055,0.055,0.036,0.053,0.05,0.0413,0.06,0.0413,0.046,0.036,0.0413,0.036,0.05,0.05,0.0384,0.0384,0.0384,0.045,0.062,0.045,0.045,0.032
DT OD,,m,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0455,0.04075,0.03775,0.045,0.0365,0.05375,0.0365,0.0365,0.0365,0.03825,0.0365,0.0365,0.0365,0.0365,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0575,0.0365,0.0365,0.0365,0.0365,0.0445,0.0365,0.0365,0.0365,0.0495,0.0495,0.0495,0.0415,0.0365,0.0365,0.0365,0.0365,0.0575,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0415,0.0365,0.03948,0.0365,0.0575,0.0575,0.0575,0.03418,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.029
