Design Study 1
Scenarios/Iterations:, 42
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.398000,0.420000,0.432500,0.406000,0.435000,0.425000,0.425000,0.409000,0.409000,0.425000,0.420000,0.425000,0.405000,0.420000,0.425000,0.425000,0.410000,0.410000,0.410000,0.410000,0.408000,0.400000,0.455000,0.425000,0.420000,0.395000,0.465000,0.405000,0.405000,0.455000,0.425000,0.425000,0.420000,0.430000,0.450000,0.430000,0.425000,0.440000,0.425000,0.410000,0.410000,0.410000,0.440000
BB Drop,,N/A,0.068000,0.075000,0.070000,0.073000,0.065600,0.065000,0.065000,0.072000,0.072000,0.025000,0.069000,0.025000,0.073000,0.070000,0.078000,0.073000,0.070000,0.072000,0.070000,0.070000,0.072000,0.070000,0.050000,0.076000,0.070000,0.072000,0.050000,0.070000,0.073000,0.050000,0.076000,0.076000,0.078000,0.070000,0.072000,0.080000,0.068000,0.072500,0.063000,0.075000,-0.011500,-0.011500,0.064500
Stack,,m,0.548,0.6237,0.6,0.5656,0.5671,0.611,0.593,0.5688,0.5688,0.6,0.5656,0.5946,0.5656,0.5914,0.6106,0.571,0.577,0.534,0.563,0.563,0.574,0.52,0.5656,0.595,0.552,0.54,0.5656,0.5356,0.5656,0.5656,0.592,0.592,0.5914,0.6017,0.53,0.6255,0.5656,0.563,0.5656,0.552,0.4925,0.5,0.5656
SS E,,N/A,0.045000,0.030000,0.050000,0.012000,0.045000,0.015000,0.015000,0.045000,0.045000,0.060000,0.050000,0.060000,0.110000,0.180000,0.160000,0.045000,0.060000,0.155000,0.175000,0.175000,0.155000,0.045000,0.030000,0.060000,0.145000,0.245000,0.030000,0.045000,0.110000,0.030000,0.075000,0.075000,0.180000,0.045000,0.045000,0.190000,0.190000,0.055000,0.025000,0.125000,0.045000,0.045000,0.045000
ST Angle,,N/A,1.291540,1.282817,1.274090,1.282817,1.288053,1.256637,1.256637,1.274090,1.274090,1.274090,1.282817,1.274090,1.291544,1.279326,1.274090,1.282817,1.279326,1.291544,1.279326,1.279326,1.279326,1.326450,1.239184,1.274090,1.274090,1.343904,1.221730,1.422443,1.291544,1.265364,1.274090,1.274090,1.279326,1.274090,1.265364,1.282817,1.274090,1.274090,1.274090,1.291544,1.291544,1.291553,1.282817
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.051,0.051,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04015,0.04,0.04,0.04,0.04015,0.04,0.04,0.04015,0.04,0.04,0.04,0.04,0.04,0.038,0.04,0.04,0.0348,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.03015,0.03125,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0283,0.0286,0.0286,0.0283,0.0286,0.025,0.025,0.03,0.0286,0.0286,0.03,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03,0.03,0.0283,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286
HT OD,,m,0.038,0.045,0.05,0.0317,0.057,0.038,0.038,0.05,0.05,0.045,0.0413,0.043,0.045,0.055,0.045,0.038,0.055,0.045,0.08,0.08,0.06,0.045,0.03215,0.055,0.045,0.045,0.03215,0.045,0.06,0.03215,0.055,0.055,0.055,0.036,0.0413,0.046,0.036,0.0413,0.036,0.045,0.045,0.045,0.032
DT OD,,m,0.03775,0.0365,0.0365,0.0365,0.03825,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0575,0.0365,0.0365,0.0445,0.0365,0.0365,0.0365,0.0495,0.0365,0.0365,0.0575,0.0365,0.0365,0.0365,0.0365,0.03948,0.0365,0.0575,0.0575,0.0575,0.03418,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.029
