Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.395000,0.405000,0.381000,0.367780,0.398270,0.301480,0.420000,0.400000,0.420000,0.400000,0.400000,0.400000,0.375000,0.400000,0.379000,0.420000,0.418940,0.370000,0.397000,0.364000,0.403670,0.381000,0.404000,0.405700,0.430000,0.390200,0.405000,0.415000,0.393000,0.482024,1.200000,0.405000,0.405000,0.385000,0.405000,0.405000,0.383000,0.384991,0.384991,0.405000,0.400000,0.420000,0.199950,0.400000,0.405000,0.410000,0.400000,0.403000,0.400000,0.405000,0.405000,0.405000,0.400000,0.365000,0.405000,0.400000,0.400000,0.400000,0.415000,0.419000,0.355000,0.385000,0.405000,0.440000,0.388000,0.406000,0.415000,0.408152,0.375000,0.360000,0.405000,0.415000,0.390000,0.400000,0.400000,0.400000,0.400000,0.434170,0.400000,0.322060,0.388000,0.390000,0.385000,0.400000,0.400000,0.385000,0.405000,0.390000,0.415000,0.415000,0.405000,0.405000,0.405000,0.405000,0.390000,0.390000,0.390000,0.380000,0.390000,0.405000,0.405000,0.405000,0.405000,0.400000,0.425000,0.410000,0.827250,0.405000,0.405000,0.405000,0.405000,0.390000,0.405000,0.405000,0.393000,0.405000,0.400000,0.455000,0.455000,0.408000,0.405000,0.405000,0.439000,0.400000,0.400000,0.380000,0.390500,0.390500,0.408000,0.400000,0.390500,0.381000,0.420000,0.390000,0.405000,0.380000,0.390500,0.380000,0.400000,0.405000,0.411420,0.415160,0.405000,0.390000,0.341770,0.397220,0.425000,0.367000,0.390500,0.390500,0.405000,0.405000,0.381000,0.417000,0.406000,0.330000,0.415000,0.385000,0.393000,0.396240,0.424200,0.376000,0.401720,0.425000,0.405000,0.445000,0.430000,0.413170,0.405000,0.381000,0.432300,0.424440,0.400000,0.375007,0.400000,0.405000,0.376000,0.400000,0.410000,0.405000,0.405000,0.425000,0.405000,0.401945,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.390800,0.405000,0.405000,0.405000,0.409850,0.380000,0.388000,0.388000
BB Drop,,N/A,-0.038808,0.070000,0.000000,0.070000,0.070000,0.043000,0.010000,0.030000,0.010000,0.030000,0.030000,0.030000,0.000000,0.020000,-0.003000,0.070000,0.070000,0.047400,0.070000,0.048000,0.067000,0.042500,0.053000,0.074970,0.065000,0.058000,0.055000,0.073000,0.054000,0.105000,0.000500,0.050000,0.070000,0.050000,0.060000,0.058012,0.050000,0.015000,0.015000,0.070000,0.037000,0.040000,0.000000,0.030000,0.069000,0.065500,0.030000,0.060000,0.030000,0.070000,0.070000,0.070000,0.000000,0.010000,0.070000,0.030000,0.030000,0.030000,0.070000,0.021005,0.060000,0.040000,0.070000,0.068000,0.054000,0.069000,0.038000,0.070000,0.054998,0.029000,0.070000,0.068000,0.058000,0.030000,0.030000,0.030000,0.030000,0.070000,0.040656,0.025000,0.070000,0.058000,0.000000,0.030000,0.009000,0.000000,0.070000,0.058000,0.073000,0.073000,0.070000,0.070000,0.070000,0.070000,0.000000,0.058000,0.058000,0.058000,0.045000,0.070000,0.070000,0.069000,0.068000,0.065500,0.053000,0.069000,0.070000,0.070000,0.070000,0.070000,0.070000,0.012737,0.070000,0.070000,0.055000,0.070000,0.070000,0.058000,0.058000,0.011537,0.070000,0.068000,0.070000,0.078000,0.009000,0.013000,0.007000,0.007000,0.011537,0.078000,0.007000,-0.012000,0.070000,0.058000,0.070000,0.050000,0.007000,0.050000,0.030000,0.070000,0.065000,0.065000,0.070000,0.058000,0.035000,0.070563,0.062000,0.040000,0.007000,0.007000,0.070000,0.070000,-0.012000,0.065000,0.025000,-0.070000,0.060000,0.047000,0.070000,0.018000,0.000000,0.045000,0.037000,0.070000,0.050000,0.053000,0.050000,0.078000,0.070000,-0.012000,0.025000,0.070000,0.007000,0.009000,0.030000,0.070000,0.045000,0.070000,0.025000,0.072000,0.072000,0.050000,0.070000,0.050000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.052000,0.070000,0.070000,0.070000,0.050000,0.030000,0.050000,0.050006
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,565.6,573.8,0.5503,563.84,0.504,541.16,572.48,565.6,0.5656,0.5656,0.5656,0.5656,565.6,0.5656,0.5656,565.6,0.5656,0.5656,0.5656,0.5656,565.6,0.5656,0.61,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5672,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.4452,0.5656,0.597,0.5421,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.28,0.5656,0.5656,0.5656,0.5656,0.5656,0.5318,0.5472,0.6071,0.5656,0.5656,0.586,0.5656,0.5656,0.5656,0.5656,0.5206,0.5656,0.5656,0.5656,0.575,0.5318,0.5656,0.5656,0.5656,0.5656,0.564,0.545,0.5656,560.28,560.28,560.28,560.28,560.28,560.28,560.28,560.28,560.28,0.5656,560.28,560.28,560.28,0.5805,0.5276,0.5366,0.5179
SS E,,N/A,0.025000,0.045000,0.050000,0.325000,0.100000,0.045000,0.045000,0.045000,0.045000,0.060000,0.060000,0.039000,0.060000,0.060000,0.045000,0.045000,0.045000,0.045000,0.190000,0.045000,0.045000,0.045000,0.075000,0.250000,0.025000,0.045000,0.045000,0.045000,0.145000,0.060000,0.060000,0.060000,0.045000,0.060000,0.060000,0.045000,0.045000,0.060000,0.060000,0.045000,0.045000,0.045000,0.060000,0.060000,0.045000,0.045000,0.060000,0.060000,0.060000,0.045000,0.050000,0.045000,0.037500,0.045000,0.045000,0.060000,0.060000,0.060000,0.045000,0.045000,0.045000,0.275000,0.275000,0.045000,0.080000,0.092000,0.045000,0.105000,0.075000,0.045000,0.045000,0.115000,0.045000,0.060000,0.060000,0.240000,0.060000,0.045000,0.060000,0.055000,0.150000,0.045000,0.065000,0.060000,0.060000,0.065000,0.045000,0.150000,0.045000,0.045000,0.100000,0.100000,0.100000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.050000,0.090000,0.045000,0.045000,0.045000,0.050000,0.045000,0.070000,0.070000,0.070000,0.050000,0.100000,0.045000,0.045000,0.100000,0.045000,0.045000,0.070000,0.045000,0.100000,0.070000,0.045000,0.150000,0.060000,0.060000,0.060000,0.060000,0.045000,0.150000,0.060000,0.060000,0.045000,0.050000,0.066000,0.270000,0.060000,0.270000,0.045000,0.075000,0.090000,0.070000,0.045000,0.045000,0.170000,0.250000,0.045000,0.055000,0.060000,0.060000,0.066000,0.045000,0.060000,0.090000,0.060000,0.045000,0.045000,0.050000,0.045000,0.035000,0.045000,0.080000,0.180000,0.045000,0.120000,0.060000,0.045000,0.050000,0.045000,0.060000,0.065000,0.100000,0.045000,0.060000,0.060000,0.120000,0.080000,0.065000,0.060000,0.050000,0.050000,0.045000,0.160000,0.100000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.043000,0.045000,0.045000,0.045000,0.080000,0.045000,0.105000,0.105000
ST Angle,,N/A,1.158230,1.291544,1.221730,1.300270,1.300270,1.291544,1.247910,1.247910,1.247910,1.247910,1.247910,1.247910,1.247910,1.247910,1.213004,1.256637,1.221730,1.352630,1.291544,1.343904,1.282817,1.343904,1.343904,1.321298,1.291544,1.300270,1.256637,1.291544,1.291544,1.291544,1.047198,1.308997,1.117011,1.317724,1.282817,1.326479,1.343904,1.230457,1.230457,1.291544,1.291544,1.230457,1.326450,1.247910,1.282817,1.291544,1.247910,1.282817,1.247910,1.291544,1.291544,1.291544,1.274090,1.213004,1.291544,1.247910,1.247910,1.247910,1.282817,1.256648,1.239184,1.308997,1.291544,1.274090,1.308997,1.274090,1.282817,1.291544,1.256631,1.300270,1.291544,1.291544,1.326450,1.247910,1.247910,1.247910,1.247910,1.274090,1.274655,1.326450,1.326450,1.178097,1.239184,1.247910,1.256637,1.239184,1.291544,1.326450,1.282817,1.282817,1.291544,1.291544,1.291544,1.291544,1.221730,1.326450,1.326450,1.265364,1.291544,1.291544,1.291544,1.265364,1.265364,1.308997,1.300270,1.291544,0.593412,1.291544,1.291544,1.291544,1.291544,1.276481,1.291544,1.291544,1.300270,1.291544,1.291544,1.291544,1.291544,1.214355,1.291544,1.300267,1.256637,1.344133,1.256637,1.239184,1.265364,1.265364,1.214355,1.344133,1.265364,1.169371,1.274090,1.326450,1.361357,1.291544,1.265364,1.291544,1.247910,1.308997,1.246191,1.246196,1.291544,1.300270,1.335177,1.362786,1.274090,1.308997,1.265364,1.265364,1.361357,1.291544,1.169371,1.269203,1.256637,1.291544,1.291544,1.326450,1.317724,1.274090,1.256637,1.335177,1.291805,1.274090,1.291499,1.256637,1.204277,1.265364,1.300270,1.169371,1.317738,1.291559,1.308997,1.256637,1.247910,1.296780,1.343904,1.300270,1.282817,1.291544,1.300270,1.274090,1.291544,1.300270,1.274090,1.274090,1.274090,1.274090,1.274090,1.274090,1.274090,1.274090,1.274090,1.300270,1.274090,1.274090,1.274090,1.274090,1.308997,1.317724,1.317739
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.042,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.088,0.04,0.04,0.04,0.04,0.04,0.046,0.046,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.088,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.055,0.0286,0.0352,0.0347,0.0306,0.0286,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0385,0.0286,0.0286,0.0286,0.02695,0.0352,0.0277,0.0286,0.0277,0.02795,0.0286,0.0254,0.0286,0.0286,0.0285,0.0307,0.0359,0.057,0.0205,0.0286,0.036,0.0302,0.0286,0.0227,0.0302,0.0302,0.0286,0.0327,0.039,0.0307,0.0385,0.0286,0.0286,0.0385,0.0302,0.0385,0.0286,0.0286,0.0286,0.0352,0.0286,0.0286,0.0385,0.0385,0.0385,0.0293,0.0317,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03485,0.0286,0.0286,0.04235,0.0286,0.0286,0.0385,0.0385,0.0385,0.0385,0.0286,0.0385,0.05055,0.02695,0.0286,0.0352,0.0385,0.0385,0.0352,0.0286,0.0286,0.0285,0.0285,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0318,0.03305,0.0286,0.0286,0.0286,0.0286,0.0286,0.035,0.035,0.035,0.03525,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0362,0.0337,0.0286,0.0286,0.0286,0.035,0.0385,0.043,0.0385,0.0385,0.0337,0.035,0.0385,0.0302,0.0286,0.0286,0.0371,0.0277,0.0385,0.0277,0.0385,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0297,0.0286,0.04,0.0385,0.0385,0.0371,0.0286,0.0302,0.0286,0.0385,0.0286,0.0286,0.03235,0.0286,0.0302,0.0363,0.0286,0.0286,0.03255,0.0286,0.0286,0.03225,0.0286,0.0464,0.0302,0.0349,0.03,0.04275,0.0385,0.0385,0.0286,0.0286,0.0312,0.0385,0.0425,0.0425,0.0286,0.0286,0.03595,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.036,0.0286,0.0286,0.0286,0.015,0.0286,0.0286,0.0286
HT OD,,m,0.05,0.045,0.053,0.045,0.045,0.045,0.06,0.06,0.06,0.04,0.04,0.053,0.053,0.05,0.045,0.055,0.045,0.035,0.045,0.036,0.045,0.036,0.037,0.045,0.038,0.045,0.0318,0.037,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.04,0.045,0.045,0.05,0.045,0.05,0.045,0.045,0.045,0.05,0.045,0.045,0.05,0.05,0.05,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.045,0.045,0.043,0.045,0.045,0.046,0.045,0.045,0.05,0.05,0.05,0.05,0.055,0.05,0.045,0.045,0.045,0.05,0.05,0.05,0.05,0.045,0.045,0.037,0.037,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.065,0.045,0.045,0.035,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.044,0.05,0.05,0.05,0.05,0.045,0.044,0.05,0.045,0.045,0.04,0.045,0.045,0.05,0.045,0.045,0.045,0.046,0.046,0.045,0.045,0.045,0.0413,0.045,0.05,0.05,0.05,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.0404,0.05,0.044,0.045,0.045,0.0413,0.045,0.045,0.04,0.045,0.045,0.045,0.045,0.039,0.045,0.057,0.05,0.05,0.045,0.045,0.037,0.05,0.05,0.05,0.045,0.05,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.056,0.045,0.045,0.045,0.05,0.04,0.045,0.045
DT OD,,m,0.075,0.0365,0.045,0.04405,0.0365,0.0365,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455,0.0365,0.0365,0.0365,0.0325,0.0365,0.034,0.0365,0.032,0.034,0.0365,0.034,0.0365,0.0365,0.0365,0.0365,0.065,0.06,0.0418,0.0365,0.0365,0.03955,0.0365,0.0365,0.045,0.045,0.0365,0.0365,0.0405,0.0365,0.0455,0.0365,0.0365,0.0455,0.0365,0.0455,0.0365,0.0365,0.0365,0.05,0.03225,0.0365,0.0455,0.0455,0.0455,0.03773,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0455,0.0455,0.0455,0.0455,0.03948,0.0455,0.0145,0.0365,0.0365,0.045,0.0455,0.0455,0.045,0.0365,0.06,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04275,0.04275,0.04275,0.04453,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04275,0.0485,0.0365,0.0365,0.037,0.045,0.0455,0.0475,0.0455,0.0455,0.0485,0.045,0.0455,0.045,0.038,0.0365,0.0365,0.0365,0.0455,0.0365,0.0455,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.0365,0.05125,0.0455,0.0455,0.0365,0.0365,0.045,0.0365,0.0455,0.0365,0.0365,0.04348,0.0365,0.045,0.04325,0.0365,0.0365,0.03898,0.0365,0.03695,0.04075,0.0365,0.05695,0.045,0.04795,0.04825,0.049,0.0455,0.0455,0.0365,0.0365,0.0365,0.0455,0.0525,0.0525,0.0365,0.05078,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.048,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
