Design Study 1
Scenarios/Iterations:, 41
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.380000,0.365000,0.365000,0.365000,0.388000,0.400000,0.387820,0.430000,0.400000,0.424000,0.410000,0.445000,0.445000,0.365000,0.365000,0.365000,0.430000,0.410000,0.392000,0.400000,0.365000,0.424000,0.424000,0.424000,0.424000,0.365000,0.365000,0.440000,0.412000,0.360000,0.405000,0.417040,0.430000,0.429760,0.420000,0.410000,0.425000,0.425000,0.400000,0.425000,0.420000,0.374990
BB Drop,,N/A,-0.069000,0.025000,0.025000,0.025000,0.054000,-0.035000,0.037000,0.054000,0.050000,0.085000,0.069000,0.005000,0.005000,0.025000,0.025000,0.025000,0.075000,0.065000,0.055000,0.055000,0.025000,0.065000,0.065000,0.065000,0.065000,0.025000,0.025000,0.060000,0.075000,0.025000,0.070000,0.070000,0.070000,0.056500,0.072000,0.057500,0.025000,0.025000,0.056000,0.076000,0.070000,0.000000
Stack,,m,0.39,0.536,0.536,0.536,0.514,0.5656,0.5656,0.635,0.5656,0.6352,0.609,0.5656,0.5656,0.536,0.536,0.536,0.5656,0.59,0.5754,0.5656,0.5037,0.5278,0.5278,0.5278,0.5278,0.536,0.536,0.5656,0.573,0.5338,0.5666,0.5666,0.6019,0.5656,0.579,0.5656,0.6,0.5946,0.5656,0.595,0.552,0.528
SS E,,N/A,0.018000,0.065000,0.065000,0.065000,0.045000,0.050000,0.080000,0.115000,0.055000,0.115000,0.120000,0.045000,0.045000,0.065000,0.065000,0.065000,0.220000,0.040000,0.083000,0.050000,0.065000,0.045000,0.045000,0.045000,0.045000,0.065000,0.065000,0.105000,0.100000,0.065000,0.045000,0.045000,0.045000,0.120000,0.045000,0.050000,0.060000,0.060000,0.050000,0.060000,0.145000,0.035000
ST Angle,,N/A,1.344000,1.291544,1.308997,1.291544,1.326450,1.256637,1.317724,1.305506,1.300270,1.291544,1.291544,1.247910,1.247910,1.291544,1.291544,1.291544,1.263856,1.290638,1.300270,1.326450,1.291544,1.300270,1.300270,1.291544,1.282817,1.291544,1.291544,1.265364,1.282817,1.308997,1.291529,1.291529,1.274090,1.247910,1.282817,1.282817,1.274090,1.274090,1.326450,1.274090,1.274090,1.300270
BB OD,,m,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0286,0.0286,0.0286,0.03225,0.0286,0.0286,0.0286,0.03115,0.03075,0.0601,0.0601,0.0286,0.0286,0.0286,0.0286,0.04125,0.036,0.0286,0.0286,0.0283,0.0283,0.0283,0.0283,0.0286,0.0286,0.0286,0.03545,0.0286,0.0286,0.0286,0.0286,0.0286,0.032,0.0313,0.0286,0.0286,0.0286,0.03,0.0286,0.0286
HT OD,,m,0.05,0.0413,0.0413,0.0413,0.047,0.065,0.045,0.06,0.045,0.045,0.052,0.055,0.055,0.0413,0.0413,0.0413,0.045,0.045,0.056,0.05,0.0413,0.045,0.045,0.045,0.045,0.0413,0.0413,0.05,0.05,0.0413,0.0413,0.0413,0.045,0.05,0.038,0.045,0.045,0.043,0.05,0.055,0.045,0.0413
DT OD,,m,0.04,0.0365,0.0365,0.0365,0.0365,0.04073,0.0365,0.0365,0.0365,0.03823,0.0365,0.0615,0.0615,0.0365,0.0365,0.0365,0.0365,0.0475,0.048,0.0365,0.0365,0.04198,0.04198,0.04198,0.04198,0.0365,0.0365,0.05,0.0365,0.0365,0.045,0.045,0.0365,0.0455,0.045,0.0365,0.0365,0.0365,0.0365,0.0575,0.0365,0.0365
