Design Study 1
Scenarios/Iterations:, 100
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.420000,0.433000,0.387930,0.387930,0.387930,0.387930,0.435000,0.430000,0.367000,0.388340,0.405000,0.671330,0.440000,0.415000,0.383550,0.540000,0.405000,0.385160,0.405000,0.420000,0.415000,0.410000,0.420000,0.440000,0.491350,0.425000,0.444980,0.405000,0.371730,0.445000,0.440000,0.383550,0.444980,0.412000,0.440000,0.410000,0.410000,0.425000,0.405000,0.395000,0.405000,0.629670,0.310000,0.390000,0.405000,0.330000,0.405000,0.395040,0.390000,0.413690,0.405000,0.405000,0.415000,0.415000,0.405000,0.380000,0.420000,0.375600,0.380000,0.390000,0.410000,0.416240,0.409190,0.415000,0.430000,0.425000,0.415000,0.405000,0.400000,0.462890,0.420000,0.405000,0.734100,0.360000,0.440820,0.479480,0.415000,0.390000,0.405000,0.405000,0.397710,0.448000,0.405000,0.390000,0.390000,0.415000,0.432960,0.390000,0.370000,0.355000,0.340000,0.380000,0.410000,0.455000,0.355000,0.434180,0.330200,0.455000,0.365000,0.395000,0.435000
BB Drop,,N/A,0.070000,0.040000,0.000000,0.000000,0.000000,0.000000,0.062000,0.032000,0.040000,0.000000,0.055000,0.070000,0.078000,0.058000,0.021341,0.060000,0.073921,0.000000,0.045000,0.070000,0.080000,0.080000,0.070000,0.078000,0.070000,0.070000,0.055000,0.070000,0.000000,0.005000,0.000000,0.021341,0.055000,0.070000,0.068000,0.070000,0.070000,0.019810,0.070000,0.048000,0.070000,0.027000,0.015000,0.050000,0.070000,0.000000,0.080000,0.068000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.049990,0.068000,0.030000,0.049990,0.070000,0.068000,0.070000,0.073000,0.068000,0.065000,0.030000,0.069000,0.069000,0.068000,0.088000,0.062000,0.068000,0.037000,0.030000,0.085000,0.088000,0.068000,0.060000,0.070000,0.070000,-0.092000,0.098000,0.070000,0.050000,0.050000,0.070000,0.015000,0.045000,0.050000,-0.009000,0.020000,0.000000,0.010000,0.037000,-0.009000,0.070000,-0.038000,0.037000,0.058000,0.058000,0.071458
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.140000,0.023000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.030000,0.045000,0.030000,0.030000,0.037000,0.045000,0.045000,0.045000,0.150000,0.140000,0.045000,0.045000,0.140000,0.030000,0.145000,0.025000,0.045000,0.045000,0.037000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.050000,0.190000,0.045000,0.200000,0.200000,0.355000,0.355000,0.045000,0.045000,0.045000,0.045000,0.045000,0.070000,0.037000,0.045000,0.045000,0.037000,0.035000,0.045000,0.045000,0.015000,0.060000,0.060000,0.064000,0.070000,0.120000,0.055000,0.045000,0.060000,0.060000,0.025000,0.025000,0.025000,0.045000,0.058000,0.058000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.070000,0.120000,0.120000,0.045000,0.045000,0.104000,0.104000,0.060000,0.037000,0.037000,0.045000,0.060000,0.060000,0.055000,0.012000
ST Angle,,N/A,1.309000,1.274090,1.291544,1.291544,1.291544,1.291544,1.282817,1.274090,1.274090,1.291544,1.274090,0.883137,1.274090,1.317724,1.220683,1.274090,1.310109,1.282817,1.291544,1.308997,1.256637,1.274090,1.308997,1.274090,1.127483,1.282817,1.291544,1.274090,1.246863,1.247910,1.361357,1.220683,1.291544,1.291544,1.274090,1.291544,1.291544,1.266247,1.291544,1.282817,1.291544,0.733038,1.204277,1.308997,1.291544,1.343904,1.448623,1.361357,1.326450,1.265364,1.308997,1.308997,1.274090,1.274090,1.370083,1.326484,1.265364,1.326450,1.326484,1.082104,1.265364,1.291544,1.308997,1.261873,1.253146,1.274090,1.282817,1.274090,1.265364,1.352630,1.282817,1.265364,0.872665,1.308997,1.274090,1.352630,1.256637,1.223476,1.291544,1.291544,1.317724,1.352630,1.291544,1.232202,1.267109,1.265364,1.291544,1.308997,1.291544,1.361357,1.274090,1.247910,1.247910,1.221730,1.361357,1.256637,1.239184,1.221730,1.300270,1.300270,1.277487
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.045,0.04,0.04,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.0381,0.045,0.0381,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.035,0.027,0.0286,0.0286,0.0286,0.0286,0.0302,0.0302,0.0286,0.0297,0.0254,0.0302,0.0273,0.0286,0.039,0.0297,0.0355,0.0286,0.032,0.035,0.0286,0.0286,0.035,0.0273,0.0286,0.0254,0.0254,0.0286,0.039,0.0616,0.0426,0.039,0.0254,0.0286,0.03228,0.0286,0.0286,0.0327,0.0286,0.0267,0.0286,0.0286,0.0286,0.04795,0.0286,0.0426,0.0352,0.0289,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.036,0.03175,0.027,0.036,0.0237,0.03175,0.02855,0.0254,0.03175,0.03175,0.04,0.03175,0.03175,0.03175,0.0386,0.0286,0.03175,0.0229,0.0254,0.0286,0.0386,0.03175,0.0286,0.0286,0.0286,0.0286,0.0386,0.0286,0.0286,0.0286,0.0286,0.0265,0.0286,0.0286,0.0286,0.0286,0.0385,0.0385,0.042,0.0286,0.0474,0.0277,0.042,0.0286,0.0302,0.02545
HT OD,,m,0.045,0.037,0.045,0.045,0.045,0.045,0.0365,0.0365,0.045,0.054,0.0317,0.045,0.036,0.045,0.05,0.045,0.005,0.045,0.05,0.045,0.045,0.045,0.045,0.036,0.045,0.0286,0.04,0.045,0.05,0.055,0.045,0.05,0.04,0.035,0.037,0.045,0.045,0.04,0.045,0.037,0.045,0.045,0.0318,0.045,0.045,0.045,0.05,0.045,0.045,0.036,0.045,0.045,0.045,0.045,0.045,0.035,0.0349,0.0317,0.035,0.0318,0.045,0.037,0.0317,0.045,0.045,0.045,0.055,0.045,0.045,0.045,0.045,0.045,0.0317,0.033,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.045,0.06,0.06,0.065,0.048,0.045,0.045,0.065,0.033,0.044,0.0321
DT OD,,m,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03657,0.03657,0.0365,0.0465,0.0365,0.0365,0.031,0.0365,0.0345,0.0365,0.0365,0.0365,0.042,0.0365,0.0365,0.0365,0.0365,0.031,0.0365,0.0286,0.0365,0.0365,0.0345,0.0615,0.053,0.0345,0.0365,0.0365,0.0429,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.0365,0.034,0.0365,0.0365,0.053,0.0365,0.0365,0.043,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.034,0.0345,0.034,0.0365,0.0365,0.0365,0.0365,0.042,0.04495,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.034,0.034,0.0365,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0615,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0455,0.0455,0.05,0.0365,0.0301,0.035,0.05,0.031,0.0365,0.0365
