Design Study 1
Scenarios/Iterations:, 50
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.367,0.405,0.392,0.4,0.375,0.425,0.405,0.41,0.4,0.375,0.35,0.35,0.415,0.4,0.407,0.415,0.445,0.56,0.445,0.405,0.80152,0.4323,0.43,0.405,0.405,0.325,0.325,0.445,0.405,0.405,0.325,0.52,0.56,0.405,0.38,0.36786,0.33,0.415,0.38,0.45212,0.445,0.444,0.405,0.36,0.4225,0.44,0.42,0.4,0.405,0.375,0.4
BB Drop,,m,0.04,0.07,0.058,0.06,0,0,0,0,-0.007,0,-0.03,0,0.07,0.04,0.067,0.069,0.07,0.12218,0.075,0,0.07,0.07,0,0.07,0.09,-0.025,-0.025,0.0675,0.07,0.07,-0.025,0.14,0.05,0.07,-0.03053,0.069,-0.015,0.08,0.08,0.06604,0.0675,0.058,0.07,0.04,0.064,0.069,0.058,-0.0175,-0.03,0.05,0.05
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,m,0.045,0.058,0.045,0.045,0.047,0.175,0.044,0.22,0.045,0.044,0.044,0.044,0.045,0.175,0.045,0.045,0.08,0.08,0.06,0.043,0.045,0.065,0.03,0.066,0.066,0.043,0.04,0.02,0.065,0.065,0.04,0.058,0.058,0.045,0.044,0.044,0.045,0.17,0.24,0.12,0.025,0.045,0.045,0.045,0.07,0.08,0.08,0.075,0.045,0.025,0.14
ST Angle,,deg,72.99998,75.5,75.5,74,74,74,74,73,75,74,78,74,72.5,80,75,74,73.5,62.8736,73,74,45.6,71.5,72.5,78,76,74,74,73,80,80,74,68.5,73,74,73.91972,75,74,72,76,73.5,73,73,74,75.5,74,73.25,69,74,40,70,74
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.088,0.088,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0375,0.0302,0.0286,0.0292,0.0302,0.0302,0.0327,0.0286,0.0292,0.0292,0.0277,0.0286,0.0327,0.0286,0.0267,0.0339,0.0277,0.0369,0.0292,0.0302,0.0336,0.0227,0.0371,0.0371,0.0287,0.0287,0.0339,0.0381,0.0381,0.0287,0.0286,0.0286,0.0286,0.035,0.0277,0.0286,0.0286,0.027,0.0286,0.0339,0.0302,0.0286,0.0286,0.0286,0.0307,0.03495,0.0267,0.0286,0.0255,0.031
HT OD,,m,0.045,0.04,0.045,0.045,0.04,0.043,0.04,0.04,0.045,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.038,0.0317,0.05,0.04,0.045,0.045,0.038,0.045,0.045,0.035,0.035,0.036,0.045,0.045,0.035,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.038,0.045,0.036,0.045,0.045,0.045,0.04,0.045,0.055,0.035,0.045,0.032,0.045
DT OD,,m,0.0365,0.0365,0.044,0.0365,0.033,0.035,0.035,0.04,0.0365,0.034,0.034,0.04,0.0365,0.0365,0.0365,0.0305,0.0429,0.034,0.0429,0.034,0.0365,0.0365,0.03,0.0365,0.0365,0.032,0.032,0.0429,0.0365,0.0365,0.032,0.0365,0.0381,0.0365,0.0345,0.0365,0.0365,0.0365,0.0365,0.0365,0.0429,0.03895,0.03995,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
CS OD,,N/A,0.023350,0.019850,0.023350,0.023350,0.022000,0.030000,0.025000,0.030000,0.023350,0.023000,0.023000,0.025000,0.023350,0.030000,0.023350,0.023350,0.023350,0.017500,0.023350,0.022000,0.026000,0.023350,0.025000,0.023350,0.023350,0.020000,0.020000,0.023350,0.023350,0.023350,0.020000,0.023350,0.023350,0.023350,0.018000,0.023350,0.024850,0.022000,0.022000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.025000,0.033350,0.023350,0.023350,0.023350,0.025000
SS OD,,N/A,0.013000,0.013000,0.013000,0.013000,0.017500,0.021500,0.019000,0.021500,0.013000,0.018000,0.018000,0.013000,0.013000,0.025000,0.013000,0.013000,0.015000,0.005250,0.015000,0.017500,0.013000,0.018000,0.013000,0.013000,0.013000,0.016500,0.016500,0.015000,0.014000,0.014000,0.016500,0.013000,0.013000,0.013000,0.015000,0.013000,0.016500,0.017000,0.016000,0.013000,0.015000,0.013000,0.013000,0.013000,0.013000,0.019000,0.022800,0.013000,0.013000,0.013000,0.016500
ST OD,,N/A,0.031800,0.031800,0.035000,0.031800,0.028000,0.030000,0.027000,0.035000,0.031800,0.028000,0.028000,0.030000,0.031800,0.040000,0.031800,0.031000,0.032000,0.028600,0.035000,0.028000,0.031800,0.031800,0.038000,0.031800,0.031800,0.027000,0.027000,0.028600,0.031800,0.031800,0.028000,0.031800,0.031800,0.031800,0.026800,0.030000,0.031800,0.031800,0.031800,0.031800,0.028600,0.031600,0.031800,0.031800,0.031800,0.036000,0.028600,0.028000,0.031800,0.025600,0.031800
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.02,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.01
HT LX,,N/A,0.049100,0.052900,0.057400,0.052800,0.042800,0.049800,0.045100,0.057600,0.079100,0.043000,0.040900,0.110500,0.046200,0.025000,0.048600,0.040900,0.050400,0.031700,0.048000,0.042900,0.035000,0.063300,0.230000,0.052300,0.050300,0.036500,0.035200,0.051700,0.052600,0.052600,0.036500,0.040000,0.060000,0.050100,0.047800,0.047700,0.043800,0.043300,0.049200,0.046800,0.051700,0.045400,0.051800,0.048800,0.044200,0.054000,0.070000,0.037800,0.030600,0.025000,0.035600
ST UX,,N/A,0.048400,0.049000,0.052800,0.049100,0.043400,0.043900,0.039300,0.044300,0.047500,0.039300,0.039100,0.050000,0.031700,0.160000,0.048700,0.014100,0.077300,0.040000,0.058100,0.038200,0.050000,0.068000,0.100000,0.050900,0.050900,0.035300,0.036800,0.066600,0.050800,0.050800,0.035200,0.052800,0.052800,0.049000,0.038300,0.016800,0.040100,0.129600,0.139600,0.116000,0.066600,0.036200,0.040000,0.040000,0.053100,0.051300,0.020000,0.030500,0.042600,0.015000,0.009000
HT UX,,N/A,0.035100,0.035100,0.041200,0.033200,0.029500,0.031000,0.030500,0.030700,0.021300,0.028800,0.030200,0.155500,0.031200,0.025000,0.036000,0.034600,0.025400,0.030000,0.041300,0.030000,0.065000,0.029800,0.045000,0.036600,0.036600,0.032300,0.030300,0.025900,0.031800,0.031800,0.032400,0.028600,0.025000,0.034000,0.037800,0.030700,0.022800,0.029200,0.033600,0.031700,0.025900,0.030000,0.032000,0.037700,0.036100,0.042500,0.025000,0.035400,0.052700,0.025000,0.046100
HT Angle,,deg,74,73,74,74.5,73,73,73,73,75,72,72,75,73.5,74,70.5,74,71,59.3736,71,72,56.5,67.5,69,77,75,73,73,71,77.5,80.5,73,71,73,73,73.91972,74,69,73.5,72.5,71,71,71,73,74.5,71.5,72,69,72,40,77,74
HT Length,,m,0.148,0.145,0.135,0.1178,0.1,0.11,0.107,0.127,0.12,0.1,0.111,0.1791,0.1509,0.1353,0.158,0.167,0.12,0.142,0.2,0.1,0.15,0.125,0.275,0.145,0.145,0.097,0.095,0.12,0.145,0.145,0.095,0.1485,0.1325,0.145,0.1267,0.12,0.0934,0.1457,0.1538,0.1176,0.12,0.1169,0.1026,0.1331,0.165,0.188,0.09,0.194,0.145,0.0875,0.0985
ST Length,,m,0.525,0.515,0.6028,0.5091,0.2934,0.4439,0.3143,0.5193,0.3475,0.2643,0.2791,0.35,0.6017,0.66,0.5337,0.5941,0.48,0.5,0.54,0.2982,0.43,0.4205,0.3,0.5169,0.5169,0.2603,0.1868,0.485,0.5168,0.5168,0.2602,0.5188,0.5188,0.515,0.43,0.52,0.2601,0.7096,0.6996,0.508,0.485,0.4422,0.46,0.55,0.58,0.56,0.4,0.48,0.3426,0.555,0.549
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.072,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.17,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Dropout Offset,,N/A,0.135000,0.130000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.130000,0.130000,0.135000,0.135000,0.135000,0.130000,0.130000,0.135000,0.130000,0.120000,0.135000,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.120000,0.120000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.135000,0.135000,0.130000,0.135000,0.120000,0.130000,0.120000,0.120000
