Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.435000,0.405000,0.425000,0.436630,0.401000,0.450000,0.405000,0.405000,0.410000,0.380000,0.409000,0.405000,0.405000,0.405000,0.405000,0.400000,0.470000,0.300000,0.355000,0.405000,1.050000,1.050000,0.392000,0.400000,0.375000,0.425000,0.405000,0.410000,0.400000,0.375000,0.350000,0.350000,0.415000,0.400000,0.407000,0.415000,0.445000,0.560000,0.445000,0.405000,0.484030,0.801520,0.432300,0.430000,0.405000,0.405000,0.325000,0.325000,0.445000,0.405000,0.405000,0.325000,0.520000,0.560000,0.405000,0.380000,0.367860,0.330000,0.415000,0.380000,0.452120,0.445000,0.444000,0.405000,0.360000,0.422500,0.440000,0.420000,0.400000,0.405000,0.375000,0.400000,0.400000,0.405000,0.590310,0.390000,0.390000,0.405000,0.480000,0.390000,0.380000,0.370000,0.464690,0.370000,0.405000,0.370000,0.485000,0.395000,0.455000,0.455000,0.440000,0.410000,0.432000,0.400000,0.435000,0.425000,0.410000,0.445000,0.400000,0.420000,0.362440,0.378000,0.425000,0.410000,0.410000,0.429970,0.405000,0.410000,0.410000,0.410000,0.405000,0.425000,0.425000,0.343000,0.380390,0.413260,0.400000,0.350000,0.389440,0.447530,0.405000,0.400000,0.420000,0.420000,0.405000,0.435000,0.375000,0.385000,0.390000,0.410000,0.300000,0.430000,0.425000,0.425000,0.380000,0.400000,0.405000,0.405000,0.400000,0.630600,0.450000,0.400000,0.400000,0.325000,0.430000,0.415000,0.425000,0.392000,0.395000,0.405000,0.450000,0.419050,0.425000,0.400000,0.420000,0.435960,0.405000,0.425800,0.325000,0.395000,0.387370,0.405000,0.410000,0.343000,0.610000,0.400000,0.401000,0.405000,0.495000,0.425000,0.405000,0.410000,0.405000,0.405000,0.390000,0.440000,0.395000,0.405000,0.450000,0.405000,0.420000,0.415000,0.477120,0.430000,0.474300,0.380000,0.350000,0.387000,0.405000,0.407000,0.405000,0.387230,0.800000,0.399000,0.405000,0.400000,0.400000,0.405000,0.377000,0.400000,0.400000
BB Drop,,N/A,0.071458,0.070000,0.070000,0.009500,0.070000,-0.030000,0.070000,0.070000,0.070000,0.004500,0.070000,0.070000,0.070000,0.068000,0.050000,0.050000,0.080000,-0.007000,0.000000,0.070000,-0.381200,-0.381200,0.058000,0.060000,0.000000,0.000000,0.000000,0.000000,-0.007000,0.000000,-0.030000,0.000000,0.070000,0.040000,0.067000,0.069000,0.070000,0.122177,0.075000,0.000000,0.055000,0.070000,0.070000,0.000000,0.070000,0.090000,-0.025000,-0.025000,0.067500,0.070000,0.070000,-0.025000,0.140000,0.050000,0.070000,-0.030531,0.069000,-0.015000,0.080000,0.080000,0.066040,0.067500,0.058000,0.070000,0.040000,0.064000,0.069000,0.058000,-0.017500,-0.030000,0.050000,0.000000,0.050000,0.025000,0.155000,0.050000,0.050000,0.070000,0.060000,0.050000,0.025000,0.030000,0.050264,0.025000,0.070000,-0.029870,0.080000,0.071000,0.060000,0.060000,0.088000,0.070000,0.073000,0.068000,0.065000,0.075000,0.080000,0.067500,0.060000,0.070000,0.000000,0.050000,0.037300,0.070000,0.072500,0.040000,0.070000,0.070000,0.070000,0.070000,0.065000,0.065000,0.066000,-0.045300,0.060000,0.060000,0.050000,0.000000,0.060000,0.070000,0.070000,0.070000,0.070000,0.024000,0.072000,0.065000,-0.004000,0.050000,0.050000,0.010000,-0.057000,0.078000,0.070000,0.040000,0.050000,0.050000,0.070000,0.070000,0.000000,-0.495600,0.000000,-0.037500,-0.037500,-0.037500,0.055000,0.000000,0.070000,0.058000,0.058000,0.070000,0.035000,0.055000,0.010825,0.070000,0.000000,0.060000,0.067000,-0.015000,-0.004000,0.050000,0.057112,0.040000,0.010000,-0.025300,-0.046000,0.050000,0.070000,0.068000,0.070000,0.066000,0.070000,0.067000,0.070000,0.070000,0.045000,0.060000,0.058000,0.070000,0.070000,0.070000,0.071100,0.074000,0.085000,0.070000,0.017500,0.015000,-0.020000,0.050000,0.070000,0.072000,0.070000,0.070000,0.025000,0.068000,0.070000,0.055000,0.066000,0.070000,-0.015000,0.060000,0.060000
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.012000,0.055000,0.095000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.220000,0.035000,0.045000,0.055000,0.095000,0.020000,0.020000,0.045000,0.040000,0.058000,0.058000,0.058000,0.045000,0.045000,0.047000,0.175000,0.044000,0.220000,0.045000,0.044000,0.044000,0.044000,0.045000,0.175000,0.045000,0.045000,0.080000,0.080000,0.060000,0.043000,0.043000,0.045000,0.065000,0.030000,0.066000,0.066000,0.043000,0.040000,0.020000,0.065000,0.065000,0.040000,0.058000,0.058000,0.045000,0.044000,0.044000,0.045000,0.170000,0.240000,0.120000,0.025000,0.045000,0.045000,0.045000,0.070000,0.080000,0.080000,0.075000,0.045000,0.025000,0.019000,0.140000,0.035000,0.045000,0.070000,0.070000,0.060000,0.045000,0.045000,0.065000,0.080000,0.100000,0.065000,0.045000,0.060000,0.025000,0.045000,0.045000,0.045000,0.030000,0.045000,0.030000,0.245000,0.045000,0.030000,0.045000,0.025000,0.045000,0.045000,0.045000,0.030000,0.045000,0.045000,0.045000,0.040000,0.045000,0.045000,0.045000,0.045000,0.040000,0.030000,0.045000,0.040000,0.100000,0.120000,0.020000,0.020000,0.120000,0.060000,0.045000,0.045000,0.140000,0.041000,0.045000,0.045000,0.045000,0.045000,0.045000,0.104000,0.015000,0.015000,0.095000,0.035000,0.025000,0.025000,0.025000,0.045000,0.045000,0.250000,0.125000,0.125000,0.125000,0.125000,0.245000,0.245000,0.045000,0.060000,0.060000,0.045000,0.045000,0.020000,0.072000,0.045000,0.045000,0.150000,0.180000,0.025000,0.045000,0.045000,0.037000,0.037000,0.020000,0.040000,0.165000,0.020000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.100000,0.045000,0.120000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.120000,0.150000,0.110000,0.055000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.190000,0.045000,0.045000,0.045000,0.045000,0.045000
ST Angle,,N/A,1.277490,1.291544,1.274090,1.230457,1.291544,1.031490,1.291544,1.291544,1.274090,1.239184,1.308997,1.274090,1.291544,1.265364,1.291544,1.274090,1.239184,1.308997,1.169371,1.317724,1.239184,1.239184,1.317724,1.291544,1.291544,1.291544,1.291544,1.274090,1.308997,1.291544,1.361357,1.291544,1.265364,1.396263,1.308997,1.291544,1.282817,1.097351,1.274090,1.291544,1.021018,0.795870,1.247910,1.265364,1.361357,1.326450,1.291544,1.291544,1.274090,1.396263,1.396263,1.291544,1.195551,1.274090,1.291544,1.290143,1.308997,1.291544,1.256637,1.326450,1.282817,1.274090,1.274090,1.291544,1.317724,1.291544,1.278454,1.204277,1.291544,0.698132,1.221730,1.570796,1.291544,1.265364,1.197296,1.308997,1.308997,1.282817,1.239184,1.308997,1.274090,1.274090,1.256536,1.274090,1.291544,1.274090,1.204277,1.308997,1.274090,1.274090,1.274090,1.286308,1.308124,1.291544,1.274090,1.256637,1.300270,1.274090,1.308997,1.274090,1.291544,1.186824,1.274090,1.291544,1.256637,1.291544,1.317724,1.317724,1.317724,1.308997,1.265364,1.274090,1.265364,1.239184,1.282817,1.282817,1.274090,1.247910,1.282817,1.230457,1.291544,1.291544,1.308997,1.282817,1.291544,1.291544,1.335177,1.317724,1.308997,1.247910,1.291544,1.038471,1.274090,1.274090,1.343904,1.343904,1.308997,1.291544,1.396263,1.570796,1.361357,1.178097,1.178097,1.308997,1.291544,1.396263,1.291544,1.300270,1.300270,0.776672,1.300270,1.204277,1.199665,1.291544,1.291544,1.274090,1.279326,1.370083,1.343904,1.308997,1.298305,1.274090,1.265364,1.239184,1.281072,1.274090,1.297303,1.291544,1.108284,1.282817,1.282817,1.274090,1.291544,1.282817,1.300270,1.282817,1.396263,1.291544,1.291544,1.291544,1.274090,1.278454,1.232202,1.265364,1.308997,1.186824,1.213004,1.326450,1.291544,1.282817,1.291544,1.291544,0.436332,1.274090,1.291544,1.143191,1.300270,1.291544,1.239184,1.291544,1.291544
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.0381,0.04,0.04,0.04,0.088,0.088,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.0348,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.031,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.033,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.0254,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.02545,0.0285,0.0271,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0327,0.0254,0.0286,0.03175,0.0255,0.0254,0.0254,0.0286,0.029,0.0375,0.0227,0.0227,0.0302,0.0286,0.0292,0.0302,0.0302,0.0327,0.0286,0.0292,0.0292,0.0277,0.0286,0.0327,0.0286,0.0267,0.0339,0.0277,0.0369,0.0292,0.0254,0.0302,0.0336,0.0227,0.0371,0.0371,0.0287,0.0287,0.0339,0.0381,0.0381,0.0287,0.0286,0.0286,0.0286,0.035,0.0277,0.0286,0.0286,0.027,0.0286,0.0339,0.0302,0.0286,0.0286,0.0286,0.0307,0.03495,0.0267,0.0286,0.0255,0.0254,0.031,0.0254,0.0377,0.0262,0.0262,0.038,0.0286,0.0262,0.0286,0.0292,0.0315,0.0286,0.0307,0.036,0.0254,0.0286,0.0286,0.0286,0.0273,0.0286,0.0286,0.027,0.0286,0.0339,0.0286,0.0339,0.0327,0.0277,0.0286,0.0262,0.027,0.0286,0.027,0.0327,0.0286,0.0286,0.0286,0.0306,0.027,0.03135,0.0286,0.0302,0.0385,0.0385,0.0254,0.0277,0.0385,0.0554,0.0327,0.0286,0.035,0.0292,0.0286,0.0286,0.0292,0.0254,0.0224,0.0385,0.0227,0.037,0.0271,0.0283,0.0262,0.0262,0.0254,0.0286,0.0327,0.0381,0.0254,0.0254,0.0254,0.0254,0.027,0.0254,0.0286,0.0302,0.04,0.0262,0.0292,0.0877,0.042,0.0277,0.0277,0.0286,0.0286,0.0286,0.0286,0.0262,0.036,0.0286,0.0385,0.0302,0.0302,0.0254,0.0286,0.0327,0.0286,0.03065,0.0286,0.0302,0.0286,0.0286,0.0286,0.0286,0.07,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0322,0.0277,0.0286,0.0302,0.0286,0.0286,0.0286,0.0286,0.0277,0.0286,0.027,0.0227,0.0254,0.0286,0.0286,0.0286,0.0286
HT OD,,m,0.0321,0.045,0.035,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0318,0.045,0.045,0.0312,0.0317,0.0317,0.045,0.045,0.04,0.0318,0.0318,0.045,0.045,0.04,0.043,0.04,0.04,0.045,0.04,0.04,0.045,0.045,0.04,0.045,0.035,0.038,0.0317,0.05,0.04,0.0318,0.045,0.045,0.038,0.045,0.045,0.035,0.035,0.036,0.045,0.045,0.035,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.038,0.045,0.036,0.045,0.045,0.045,0.04,0.045,0.055,0.035,0.045,0.032,0.0318,0.045,0.0317,0.05,0.0318,0.0318,0.045,0.037,0.0318,0.045,0.045,0.045,0.045,0.04,0.037,0.0318,0.04,0.045,0.045,0.036,0.045,0.04,0.045,0.045,0.038,0.045,0.036,0.045,0.036,0.045,0.0318,0.036,0.045,0.036,0.05,0.045,0.045,0.045,0.045,0.0317,0.0317,0.045,0.045,0.045,0.045,0.0317,0.045,0.048,0.05,0.045,0.045,0.045,0.05,0.045,0.045,0.043,0.0317,0.035,0.06,0.0318,0.014,0.035,0.0318,0.0318,0.0318,0.045,0.045,0.045,0.0508,0.0508,0.0508,0.0508,0.0508,0.045,0.0508,0.045,0.045,0.045,0.0318,0.045,0.0318,0.056,0.035,0.0325,0.045,0.045,0.045,0.045,0.0318,0.035,0.045,0.06,0.045,0.045,0.0317,0.045,0.044,0.045,0.036,0.045,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.03,0.045,0.045,0.045,0.045,0.045,0.042,0.045,0.045,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.0317,0.0318,0.0317,0.045,0.045,0.045,0.045
DT OD,,m,0.0365,0.0445,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.034,0.034,0.044,0.0365,0.033,0.035,0.035,0.04,0.0365,0.034,0.034,0.04,0.0365,0.0365,0.0365,0.0305,0.0429,0.034,0.0429,0.034,0.034,0.0365,0.0365,0.03,0.0365,0.0365,0.032,0.032,0.0429,0.0365,0.0365,0.032,0.0365,0.0381,0.0365,0.0345,0.0365,0.0365,0.0365,0.0365,0.0365,0.0429,0.03895,0.03995,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.0365,0.0286,0.0365,0.0365,0.0365,0.0485,0.0365,0.0365,0.0365,0.0365,0.03895,0.0365,0.0365,0.0345,0.034,0.0365,0.0365,0.0365,0.031,0.0365,0.0365,0.0365,0.04,0.0429,0.0365,0.0429,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0375,0.0365,0.0365,0.0365,0.0365,0.0365,0.03515,0.0365,0.0355,0.03245,0.03245,0.0365,0.04,0.03245,0.0565,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.041,0.0365,0.0318,0.0455,0.034,0.085,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.055,0.035,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.0455,0.0355,0.0365,0.0365,0.0365,0.035,0.0365,0.0429,0.0365,0.03845,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03,0.0365,0.0365,0.0365,0.0365,0.0365,0.065,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.034,0.0365,0.0333,0.0287,0.0365,0.0365,0.0365,0.0365,0.0365
