Design Study 1
Scenarios/Iterations:, 140
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.367,0.4337,0.41145,0.4,0.37,0.457,0.382,0.381,0.388,0.343,0.38,0.382,0.385,0.33,0.42,0.455,0.43,0.405,0.39,0.373,0.405,0.415,0.388,0.40141,0.325,0.405,0.415,0.405,0.44183,0.425,0.425,0.405,0.405,0.38649,0.405,0.485,0.445,0.445,0.405,0.445,0.395,1,0.405,0.42,0.405,0.405,0.44,0.415,0.445,0.405,0.385,0.38,0.4311,0.43111,0.4261,0.4214,0.4311,0.445,0.4548,0.445,0.435,0.40629,0.405,0.405,0.38,0.21374,0.44,0.415,0.405,0.435,0.405,0.46,0.408,0.425,0.4445,0.392,0.405,0.37,0.405,0.45,0.405,0.362,0.405,0.69995,0.41,0.41,0.405,0.42,0.365,0.439,0.415,0.455,0.425,0.405,0.365,0.445,0.42,0.3882,0.385,0.382,0.445,0.405,0.402,0.41,0.372,0.425,0.40624,0.445,0.424,0.39,0.405,0.39294,0.37265,0.415,0.39551,0.38,0.374,0.42,0.418,0.479,0.465,0.445,0.435,0.35462,0.362,0.368,0.4,0.38,0.3788,0.34775,0.455,0.455,0.387,0.38065,0.37846,0.425,0.37201,0.35,0.35,0.37844,0.375
BB Drop,,m,0.04,0.087,0.07,0.07,0.0505,0.07,0.05005,0,0.0505,-0.0453,0.05005,0.05005,0.046,-0.0453,0.07,0.078,0.075,0.07,0.043,0.05005,0.07,0.07,0.05,0.072,-0.015,0.07,0.082,0.07,0.055,0.07,0.07,0.057,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.1705,0.067,0.07,0.07,0.07,0.047,0.075,0.02,0.068,0.04,-0.11664,0.068,0.068,0.077,0.063,0.063,0.045,0.045,0.065,0.05,0.058,0.07,0.07,0.0505,0,0.07,0.025,0.07,0.045,0.07,0.078,0.072,0.066,0.0701,0.05,0.07,0.07,0.057,0.055,0.06749,-0.01,0.07,-0.096,0.06,0.06,0.07,0.08,0.055,0.05,0.07,0.043,0.0155,0.055,-0.0445,0.07,0.07175,0.06,0.045,0.055,0.07,0.05,0.085,0.07,0.055,0.067,0.037,0.053,0.037,0.058,0.065,0.03,0.03,0.035,0.03,0.0525,0.053,0.065,-0.0285,-0.0295,-0.0225,0.053,0.0345,0.03,-0.01,0.055,0.072,-0.01,0.03,0.03,0.055,0.045,0.055,0.03,0,0,0.03,0,0,0.05,0
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,m,0.045,0.08,0.045,0.055,0.05,0.045,0.045,0.06,0.045,0.04,0.045,0.045,0.045,0.04,0.045,0.045,0.045,0.045,0.03,0.045,0.045,0.02,0.17,0.16,0.037,0.042,0.045,0.045,0.04,0.045,0.045,0.045,0.073,0.03,0.06,0.045,0.045,0.045,0.045,0.045,0.035,0.055,0.045,0.245,0.045,0.045,0.145,0.045,0.05,0.035,0.1,0.045,0.065,0.065,0.065,0.044,0.044,0.06,0.06,0.06,0.06,0.098,0.045,0.045,0.05,0.135,0.045,0.06,0.045,0.06,0.045,0.045,0.08,0.045,0.045,0.27,0.045,0.045,0.065,0.045,0.09,0.01,0.01,0.165,0.035,0.035,0.045,0.045,0.05,0.04,0.045,0.08,0.08,0.075,0.045,0.045,0.06,0.045,0.035,0.046,0.05,0.06,0.33,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.14,0.12,0.0455,0.045,0.2,0.11,0.045,0.045,0.045,0.045,0.045,0.06,0.06,0.06,0.01,0.045,0.2,0.02,0.045,0.17,0.06,0.06,0.045,0.045,0.045,0.045,0.045,0.06,0.06,0.045,0.06
ST Angle,,deg,72.99998,75,74.5,74,79,74,76.5,71,74,71,77,76,75,71,74.2,71.5,72.5,74,75,80,74,74,76,74.5,74,74,70,74,69,74,74,74.3,74,73.5,74,71,74,73,74,73,74.5,80,73.3,74,74,74,73.5,73.25,72,72.5,74,53.12406,72,73,73.5,73,73,73.5,73.5,72.5,73,74.5,74,74,77,73,72,72.5,74.5,74,74,73,74,74,72.5,76,74.5,76.5,74,72.5,71.63989,76,74,69,73.5,73.5,74,72.5,76,73.5,74,72.5,73,74,71,73.5,72.51901,76,73,77,73.5,73,76,73,80,74,77,72.5,73,76,75,77,78.5,76,79,78,75,71,58,72,54,72,72,76,76,77,78,70,75,76,72,73.5,75,74,73,74,75,71,71,76,71
BB OD,,m,0.04,0.04,0.05,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0492,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.042,0.04,0.04,0.068,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.034,0.034,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.039,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.06,0.06,0.04,0.06,0.04,0.04,0.04,0.048,0.042,0.042,0.034,0.045,0.06,0.04,0.04,0.04,0.04,0.05,0.06,0.034,0.034,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0327,0.0286,0.0346,0.0286,0.0286,0.0277,0.0302,0.0277,0.0302,0.0282,0.0272,0.0286,0.0302,0.027,0.0286,0.0286,0.0286,0.0254,0.02695,0.0286,0.02855,0.04,0.0254,0.0287,0.0325,0.0302,0.0286,0.0254,0.0286,0.0286,0.027,0.03,0.0286,0.0286,0.0277,0.0286,0.0286,0.0286,0.035,0.0267,0.0252,0.0286,0.0297,0.0286,0.0286,0.0286,0.027,0.0425,0.0286,0.0286,0.0286,0.0286,0.0286,0.039,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0536,0.0486,0.0277,0.0286,0.0286,0.0322,0.0464,0.0302,0.0436,0.0286,0.0286,0.0254,0.0311,0.0332,0.0464,0.0212,0.0286,0.027,0.027,0.0307,0.0286,0.0302,0.0254,0.0254,0.0286,0.05,0.0286,0.0352,0.027,0.0374,0.0358,0.05,0.0286,0.0286,0.0369,0.0326,0.0287,0.0282,0.0286,0.027,0.0254,0.0286,0.0272,0.0286,0.05,0.0286,0.0286,0.0286,0.0325,0.0302,0.0302,0.0287,0.0327,0.02845,0.0297,0.037,0.0725,0.0455,0.0495,0.0286,0.0415,0.0297,0.0307,0.0282,0.0286,0.0286,0.0297,0.0287,0.0359,0.0359,0.0272,0.0287,0.0286,0.0525,0.0302,0.0302,0.0302,0.0286,0.0302
HT OD,,m,0.045,0.055,0.045,0.045,0.042,0.045,0.038,0.045,0.036,0.045,0.037,0.034,0.045,0.045,0.0317,0.045,0.045,0.045,0.0318,0.034,0.045,0.037,0.035,0.036,0.038,0.045,0.04,0.045,0.0318,0.045,0.045,0.0317,0.045,0.036,0.045,0.045,0.045,0.045,0.045,0.045,0.032,0.045,0.045,0.038,0.045,0.04,0.055,0.036,0.046,0.045,0.045,0.0365,0.045,0.045,0.06,0.045,0.045,0.04,0.04,0.04,0.04,0.045,0.045,0.045,0.0365,0.045,0.045,0.05,0.045,0.045,0.045,0.03493,0.045,0.0318,0.044,0.044,0.045,0.045,0.045,0.037,0.04,0.045,0.045,0.045,0.032,0.032,0.045,0.05,0.045,0.06,0.036,0.0426,0.05,0.045,0.045,0.045,0.05,0.033,0.048,0.038,0.045,0.038,0.0317,0.045,0.037,0.045,0.05,0.045,0.045,0.045,0.045,0.05,0.046,0.043,0.05,0.042,0.043,0.04,0.045,0.052,0.045,0.04,0.047,0.047,0.045,0.04,0.045,0.045,0.045,0.045,0.044,0.044,0.036,0.045,0.045,0.05,0.05,0.045,0.045,0.045,0.045
DT OD,,m,0.0365,0.04,0.0365,0.0365,0.033,0.0365,0.033,0.045,0.033,0.0355,0.03,0.029,0.0365,0.0355,0.0365,0.0365,0.0365,0.0365,0.0365,0.029,0.0365,0.0365,0.045,0.0286,0.033,0.04745,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0425,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03745,0.0365,0.0365,0.0365,0.034,0.0365,0.0365,0.0365,0.03505,0.055,0.0365,0.0365,0.0365,0.0365,0.0365,0.0475,0.0365,0.0365,0.0365,0.0365,0.03695,0.03695,0.0365,0.0365,0.0365,0.02975,0.0365,0.0365,0.0365,0.05695,0.0365,0.0365,0.0365,0.0365,0.0365,0.0385,0.0365,0.05695,0.0345,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.06,0.0365,0.06,0.0365,0.0449,0.05545,0.0525,0.0365,0.0365,0.0429,0.0403,0.06,0.033,0.06,0.0365,0.0286,0.0365,0.0315,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0385,0.0365,0.0425,0.037,0.034,0.0525,0.0585,0.064,0.03695,0.0595,0.0365,0.0365,0.03545,0.0365,0.0365,0.0381,0.0365,0.041,0.041,0.032,0.0365,0.0365,0.055,0.0365,0.045,0.045,0.0365,0.045
