Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.365000,0.400000,0.430000,0.420000,0.405000,0.405000,0.405000,0.430000,0.425000,0.440000,0.400410,0.440000,0.415000,0.415000,0.390000,0.415000,0.410000,0.405000,0.450000,0.420000,0.408000,0.425000,0.390000,0.405000,0.408000,0.415000,0.415000,0.393000,0.444000,0.405000,0.475000,0.410000,0.389000,0.405000,0.370000,0.395000,0.400000,0.404000,0.380000,0.405000,0.415000,0.355000,0.355000,0.355000,0.355000,0.340000,0.355000,0.355000,0.430500,0.430000,0.423000,0.359920,0.410000,0.444000,0.425000,0.455000,0.455000,0.431000,0.405000,0.445000,0.405000,0.408000,0.405000,0.405000,0.408000,0.425000,0.370000,0.370000,0.370000,0.380000,0.420000,0.400000,0.420000,0.420000,0.430000,0.405000,0.453000,0.405000,0.405000,0.405000,0.410000,0.370000,0.342900,0.445000,0.450000,0.405000,0.439000,0.400000,0.400000,0.445000,0.380000,0.405000,0.427000,0.400000,0.390500,0.405000,0.390500,0.408000,0.397000,0.405000,0.395000,0.389000,0.389000,0.400000,0.390500,0.380000,0.381000,0.410000,0.399890,0.409000,0.420000,0.409000,0.408100,0.469500,0.435000,0.445000,0.440000,0.439000,0.390000,0.465000,0.405000,0.406000,0.405000,0.342900,0.375000,0.405000,0.390000,0.380000,0.390500,0.383000,0.405000,0.380000,0.380000,0.405000,0.401000,0.400000,0.405000,0.405000,0.450000,0.415000,0.410000,0.440000,0.405000,0.412000,0.425000,0.405000,0.379000,0.403000,0.435000,0.435000,0.405000,0.405000,0.405000,0.405000,0.380000,0.426510,0.426000,0.411420,0.415160,0.401460,0.405000,0.405000,0.390000,0.465000,0.426000,0.400000,0.341770,0.385000,0.375000,0.415000,0.410000,0.450000,0.340000,0.405000,0.400000,0.550000,0.376011,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.405000,0.343000,0.405000,0.405000,0.412000,0.405000,0.405000,0.405000,0.405000,0.411540,0.405000,0.440500,0.405000,0.440500
BB Drop,,N/A,-0.005000,0.020000,0.065000,0.050000,0.070000,0.070000,0.070000,0.050000,0.068000,0.045000,0.040000,0.045000,0.065010,0.065010,0.012737,0.065012,0.070000,0.070000,0.070000,0.000000,0.058000,0.065000,0.050000,0.070000,0.000630,0.060000,0.058000,0.055000,0.072000,0.070000,0.060000,0.070000,0.062000,0.070000,0.030000,0.050000,0.070000,0.070000,0.048000,0.070000,0.067000,0.035000,0.030000,0.030000,0.030000,0.030000,0.035000,0.030000,0.070000,0.055000,-0.002200,0.030000,0.060000,0.065000,0.059500,0.058000,0.058000,0.068000,0.070000,0.076005,0.070000,0.011537,0.070000,0.068000,0.070000,0.065000,0.025000,0.025000,0.025000,0.070000,0.070000,0.040000,0.070000,0.070000,0.067000,0.070000,0.023000,0.070000,0.070000,0.070000,0.060000,0.050000,-0.030000,0.060000,0.075000,0.070000,0.070000,0.078000,0.009000,0.052000,0.013000,0.070000,0.070000,0.068000,0.007000,0.070000,0.007000,0.011537,0.067000,-0.067000,0.066000,0.057000,0.057000,0.078000,0.007000,0.015000,-0.012000,0.055000,0.067000,0.055000,0.070000,0.055000,0.055000,0.035000,0.072000,0.075000,0.075000,0.054000,0.058000,0.050000,0.070000,0.072000,0.070000,-0.030000,0.054000,0.070000,0.035000,0.050000,0.007000,0.060000,0.070000,0.050000,0.050000,0.037000,0.060000,0.030000,0.072000,0.070000,0.070000,0.075000,0.070000,0.070000,0.055000,0.078000,0.027000,0.070000,0.035000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.090000,0.087000,0.054000,0.065000,0.065000,0.047000,0.070000,0.070000,0.058000,0.060000,0.054000,0.025000,0.035000,0.030000,0.070000,0.075000,0.075000,0.075000,-0.020000,0.070000,0.063000,0.100000,0.015000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,-0.045300,0.070000,0.070000,0.075000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000,0.070000
Stack,,m,0.5656,0,0.5656,0.5097,0.5656,0.5656,0.5656,0.5656,0.5656,0,0,0,0,0.5656,0.5656,0.5656,0.5656,0,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0,0.5656,0.5656,0,0.5656,0,0.5656,0.5656,0.5592,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5513,0.5735,0.5426,0,0.5656,0.641,0.5605,0.5656,0.5656,0.5656,0.5656,0.5656,0,0.5656,0,0.5656,0.5656,0.528,0.5656,0.5656,0.5656,0.5656,0.5674,0.5656,0.5674,0.5674,0.5656,0.5656,0.52,0.5656,0.5577,0.5577,0.5577,0.5656,0.5656,0.5656,0.5656,0.5656,0.61,0.5656,0.5656,0.626,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5672,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5672,0.5656,0.5656,0.5656,0.5036,0.5656,0.5656,0.617,0.5656,0.5736,0.5656,0.525,0.5656,0.5656,0.5656,0.5656,0.5185,0.5656,0.5656,0.5656,0.533,0.5656,0.5656,0.5656,0.5656,0.5656,0.519,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.586,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5513,0.6841,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.4452,0.5656,0.5656,0.5656,0.526,0.5656,0.5656,0.5656,0.5656,0.5656,0.5201,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5645,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.037000,0.045000,0.055000,0.070000,0.070000,0.070000,0.070000,0.045000,0.045000,0.060000,0.060000,0.060000,0.050000,0.055000,0.050000,0.045000,0.045000,0.100000,0.045000,0.098000,0.045000,0.045000,0.245000,0.045000,0.045000,0.055000,0.045000,0.045000,0.045000,0.060000,0.045000,0.045000,0.095000,0.100000,0.050000,0.050000,0.045000,0.075000,0.045000,0.045000,0.060000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.025000,0.060000,0.066000,0.120000,0.050000,0.045000,0.050000,0.045000,0.070000,0.045000,0.045000,0.050000,0.050000,0.045000,0.100000,0.070000,0.075000,0.070000,0.045000,0.045000,0.045000,0.045000,0.050000,0.050000,0.050000,0.050000,0.050000,0.045000,0.045000,0.045000,0.135000,0.189000,0.020000,0.045000,0.029000,0.275000,0.045000,0.045000,0.045000,0.150000,0.060000,0.045000,0.060000,0.045000,0.045000,0.040000,0.060000,0.190000,0.060000,0.045000,0.045000,0.045000,0.225000,0.045000,0.045000,0.150000,0.060000,0.035000,0.060000,0.038000,0.038000,0.035000,0.045000,0.030500,0.030500,0.007000,0.065000,0.065000,0.065000,0.045000,0.050000,0.040000,0.045000,0.045000,0.045000,0.029000,0.160000,0.066000,0.120000,0.270000,0.060000,0.195000,0.045000,0.270000,0.270000,0.045000,0.045000,0.045000,0.045000,0.075000,0.085000,0.037500,0.045000,0.045000,0.045000,0.045000,0.060000,0.045000,0.045000,0.060000,0.048350,0.050000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.055000,0.090000,0.070000,0.080000,0.045000,0.045000,0.045000,0.045000,0.055000,0.045000,0.170000,0.190000,0.105000,0.060000,0.045000,0.045000,0.014000,0.045000,0.035000,0.045000,0.030000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.040000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.030000,0.045000,0.030000
ST Angle,,N/A,1.291540,1.256637,1.274090,1.239184,1.291544,1.291544,1.291544,1.231016,1.256637,1.282817,1.274090,1.282817,1.274114,1.274115,1.276481,1.274120,1.326450,1.291544,1.291544,1.396263,1.274090,1.282817,1.308997,1.291544,1.187617,1.256637,1.256637,1.300270,1.274090,1.274090,1.291544,1.274090,1.300270,1.291544,1.274090,1.291544,1.291544,1.291544,1.291544,1.291544,1.282817,1.291544,1.291544,1.291544,1.291544,1.291544,1.274090,1.291544,1.291544,1.282817,1.245292,1.291544,1.291544,1.282817,1.274090,1.291544,1.291544,1.274090,1.291544,1.177706,1.291544,1.214355,1.291544,1.300267,1.277581,1.300270,1.274090,1.274090,1.274090,1.291544,1.300270,1.274090,1.300270,1.300270,1.282817,1.291544,1.246165,1.291544,1.291544,1.291544,1.291544,1.291544,1.221730,1.291544,1.274090,1.291544,1.256637,1.344133,1.256637,1.274090,1.239184,1.221730,1.221730,1.282817,1.265364,1.361357,1.265364,1.214355,1.291544,1.308997,1.317724,1.308997,1.308997,1.344133,1.265364,1.256637,1.169371,1.274090,1.317724,1.274090,1.274090,1.274090,1.274090,1.160644,1.282817,1.274090,1.256637,1.291544,1.326450,1.256637,1.291544,1.291544,1.274090,1.221730,1.308997,1.361357,1.239184,1.291544,1.265364,1.300270,1.310742,1.291544,1.291544,1.291544,1.291544,1.247910,1.300270,1.308997,1.291544,1.265364,1.308997,1.291544,1.274090,1.274090,1.274090,1.291544,1.247910,1.320638,1.240610,1.274090,1.291544,1.274090,1.274090,1.300270,0.750492,1.308997,1.265364,1.246191,1.246196,1.291544,1.291544,1.274090,1.300270,1.274090,1.265364,1.274090,1.335177,1.300270,1.239184,1.308997,1.295907,1.265364,1.291544,1.291544,1.291544,1.256637,1.256709,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.291544,1.239184,1.291544,1.291544,1.308997,1.291544,1.291544,1.291544,1.291544,1.343904,1.291544,1.291544,1.291544,1.291544
BB OD,,m,0.04,0.04,0.042,0.04,0.042,0.042,0.042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.055,0.04,0.0377,0.0377,0.0377,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0348,0.04,0.0348,0.04,0.0348,0.0348,0.0348,0.0348,0.0348,0.0348,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.088,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04031,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.046,0.046,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0515,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0286,0.0272,0.0286,0.035,0.035,0.035,0.0286,0.0286,0.0302,0.0286,0.0302,0.0286,0.0302,0.03525,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03105,0.0286,0.0337,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0362,0.0286,0.0286,0.0375,0.0286,0.0337,0.0286,0.0286,0.05463,0.0286,0.0286,0.0286,0.0286,0.03225,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.035,0.0385,0.0286,0.043,0.0286,0.0286,0.0286,0.0385,0.03055,0.0385,0.0337,0.0286,0.0286,0.06175,0.0286,0.0286,0.035,0.0385,0.0302,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.034,0.0286,0.0375,0.0371,0.0286,0.0277,0.0385,0.0297,0.0286,0.0277,0.0277,0.0286,0.03625,0.0385,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0293,0.0286,0.027,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0292,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03375,0.0292,0.0286,0.0286,0.0286,0.03025,0.0286,0.0286,0.027,0.0286,0.0286,0.0286,0.0536,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0302,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286
HT OD,,m,0.043,0.055,0.0317,0.045,0.045,0.045,0.045,0.045,0.045,0.04,0.045,0.04,0.044,0.044,0.065,0.044,0.055,0.045,0.045,0.0465,0.04,0.04,0.045,0.045,0.045,0.044,0.0318,0.035,0.045,0.046,0.0364,0.045,0.045,0.045,0.045,0.045,0.045,0.0395,0.033,0.045,0.045,0.045,0.035,0.035,0.035,0.035,0.035,0.035,0.032,0.038,0.042,0.0464,0.033,0.045,0.054,0.045,0.045,0.045,0.045,0.045,0.0254,0.045,0.045,0.046,0.048,0.04,0.0365,0.0365,0.0365,0.05,0.0365,0.048,0.0365,0.0365,0.0349,0.045,0.038,0.036,0.045,0.045,0.05,0.0318,0.045,0.045,0.045,0.045,0.045,0.044,0.05,0.044,0.05,0.045,0.0381,0.045,0.05,0.021,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.05,0.045,0.045,0.0318,0.045,0.0318,0.045,0.0384,0.0384,0.0318,0.0318,0.0318,0.0318,0.055,0.04,0.04,0.045,0.045,0.05,0.045,0.05,0.045,0.036,0.045,0.05,0.043,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.0318,0.045,0.045,0.04,0.045,0.046,0.036,0.0418,0.045,0.03412,0.032,0.036,0.045,0.045,0.045,0.045,0.045,0.06,0.046,0.046,0.06,0.045,0.045,0.045,0.045,0.06,0.044,0.045,0.045,0.0318,0.045,0.045,0.0286,0.045,0.05,0.033,0.0413,0.052,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.045,0.045,0.045,0.045,0.045,0.045,0.0337,0.045,0.0337
DT OD,,m,0.0365,0.0365,0.0365,0.0365,0.04275,0.04275,0.04275,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03585,0.04453,0.0365,0.0365,0.0365,0.0365,0.0357,0.0365,0.0365,0.0365,0.0365,0.0485,0.03585,0.0365,0.0365,0.0365,0.04155,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0349,0.0349,0.0349,0.0349,0.0349,0.0349,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04275,0.0365,0.0365,0.0395,0.0365,0.0485,0.0365,0.0365,0.05385,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.035,0.0365,0.0365,0.0365,0.04075,0.0365,0.0365,0.0365,0.0365,0.0365,0.037,0.045,0.0455,0.0365,0.0475,0.0365,0.0365,0.0365,0.0455,0.0365,0.0455,0.0485,0.0365,0.0365,0.0365,0.039,0.039,0.045,0.0455,0.045,0.045,0.0365,0.0365,0.0365,0.038,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.049,0.0365,0.0365,0.0365,0.0365,0.0365,0.0455,0.0365,0.0365,0.0365,0.0365,0.0365,0.042,0.0455,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.03725,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0475,0.0365,0.0365,0.0365,0.04025,0.0365,0.0365,0.0365,0.0365,0.03625,0.0365,0.0365,0.03305,0.0365,0.0365,0.0365,0.0565,0.04125,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0355,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
