Design Study 1
Scenarios/Iterations:, 123
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.425000,0.445000,0.425000,0.425000,0.405000,0.405000,0.425000,0.445000,0.405000,0.445000,0.408000,0.407000,0.405000,0.450000,0.325000,0.405000,0.430000,0.405000,0.400000,0.430000,0.380000,0.410000,0.407000,0.399710,0.405000,0.410000,0.405000,0.405000,0.340000,0.405000,0.415000,0.405000,0.410000,0.405000,0.454000,0.919300,0.405000,0.426000,0.399000,0.420000,0.410000,0.280000,0.364730,0.398000,0.400000,0.405000,0.415000,0.325000,0.410480,0.450000,0.430000,0.405040,0.390000,0.400000,0.400000,0.400000,0.405000,0.400000,0.411990,0.410000,0.430000,0.430000,0.405000,0.410000,0.405000,0.413000,0.414000,0.405000,0.405000,0.415820,0.407000,0.410000,0.380000,0.405000,0.315000,0.350520,0.459000,0.429990,0.365000,0.425000,0.415000,0.405000,0.405720,0.420000,0.405000,0.405000,0.460000,0.405000,0.365000,0.290000,0.370000,0.410000,0.405000,0.420000,0.420000,0.405000,0.405000,0.405000,0.455000,0.410000,0.410000,0.350000,0.350000,0.405000,0.400000,0.405000,0.395000,0.350000,0.405000,0.425000,0.350000,0.444000,0.415000,0.366000,0.444000,0.405000,0.405000,0.405000,0.398000,0.425000,0.405000,0.405000,0.405000,0.365000
BB Drop,,N/A,0.037000,0.060000,0.037000,0.035000,0.070000,0.070000,0.035000,0.060000,0.070000,0.060000,0.068000,0.067500,0.070000,0.070000,0.070000,0.070000,0.057000,0.070000,0.037000,0.057000,0.037000,0.069000,0.067500,0.070000,0.025000,0.070000,0.025000,0.070000,-0.025000,0.070000,0.057000,0.040000,0.068000,0.070000,0.069000,0.100000,0.070000,0.082000,0.070000,0.024000,0.069000,-0.040000,0.025000,0.067000,0.020000,0.070000,0.057000,-0.040000,0.070000,0.060000,0.070000,0.070000,0.010000,0.010000,0.075000,0.010000,0.068000,0.030000,0.070000,0.072000,0.069000,0.035000,0.070000,0.072000,0.070000,0.005000,0.037000,0.045000,0.070000,0.066000,0.070600,0.071000,0.030000,0.000000,-0.030000,0.000000,0.043000,0.070000,0.005000,0.048000,0.070000,0.070000,0.046000,0.070000,0.035000,0.070000,0.047000,0.010000,-0.005000,-0.010000,-0.020000,0.070000,0.070000,0.067000,0.067000,0.010000,0.070000,0.070000,0.070000,0.065000,0.065000,0.000000,0.000000,0.070000,0.057000,0.070000,0.070000,-0.060000,0.070000,0.044500,0.000000,0.055000,0.070000,-0.026765,0.060000,0.050000,0.072000,0.072000,0.000000,0.070000,0.025000,0.077000,0.070000,-0.005000
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,N/A,0.072000,0.045000,0.072000,0.072000,0.045000,0.045000,0.060000,0.060000,0.045000,0.060000,0.030000,0.045000,0.045000,0.180000,0.050000,0.045000,0.045000,0.045000,0.025000,0.045000,0.045000,0.045000,0.045000,0.034000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.060000,0.045000,0.045000,0.080000,0.055000,0.045000,0.080000,0.045000,0.045000,0.041000,0.200000,0.024000,0.075000,0.030000,0.045000,0.045000,0.060000,0.045000,0.045000,0.072000,0.045000,0.045000,0.045000,0.045000,0.100000,0.045000,0.045000,0.045000,0.080000,0.045000,0.055000,0.072000,0.045000,0.045000,0.045000,0.045000,0.045000,0.080000,0.045000,0.045000,0.045000,0.045000,0.037000,0.045000,0.029000,0.045000,0.070000,0.045000,0.037000,0.072000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.037000,0.029000,0.020000,0.045000,0.045000,0.060000,0.060000,0.045000,0.210000,0.210000,0.045000,0.045000,0.045000,0.055000,0.055000,0.025000,0.045000,0.210000,0.210000,0.045000,0.045000,0.086000,0.070000,0.045000,0.040000,0.045000,0.045000,0.035000,0.130000,0.130000,0.045000,0.045000,0.045000,0.045000,0.045000,0.037000
ST Angle,,N/A,1.265360,1.274090,1.265364,1.274090,1.291544,1.274090,1.265364,1.282817,1.291544,1.282817,1.274090,1.274090,1.291544,1.221730,1.256637,1.291544,1.308997,1.291544,1.291544,1.308997,1.256637,1.274090,1.274090,1.282817,1.256637,1.291544,1.256637,1.274090,1.291544,1.291544,1.317724,1.274090,1.265364,1.274090,1.300270,1.021018,1.274090,1.256637,1.300270,1.282817,1.282817,1.326450,1.308997,1.291544,1.291544,1.291544,1.317724,1.221730,1.291544,1.274090,1.300270,1.291544,1.282817,1.247910,1.256637,1.247910,1.265364,1.274090,1.256637,1.265364,1.291544,1.274090,1.291544,1.265364,1.308997,1.265364,1.274090,1.274090,1.291544,1.282817,1.274090,1.274090,1.291544,1.291544,1.221730,1.265364,1.274090,1.282817,1.291544,1.274090,1.295034,1.343904,1.282817,1.291544,1.256637,1.291544,1.300270,1.256637,1.291544,1.302016,1.326450,1.274090,1.274090,1.317724,1.317724,1.256637,1.282817,1.282817,1.274090,1.291544,1.291544,1.291544,1.291544,1.291544,1.308997,1.282817,1.326450,1.361357,1.326450,1.274090,1.291544,1.274090,1.274090,1.308997,1.274090,1.274090,1.300270,1.300270,1.265364,1.274090,1.256637,1.291544,1.291544,1.291544
BB OD,,m,0.035,0.04,0.035,0.035,0.04,0.04,0.035,0.035,0.04,0.035,0.04,0.04,0.04,0.045,0.041,0.04,0.035,0.04,0.0381,0.035,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.04,0.038,0.04,0.042,0.0177,0.0286,0.04,0.04,0.03015,0.04,0.0254,0.0327,0.0312,0.0552,0.02385,0.0286,0.0317,0.0436,0.0254,0.0317,0.0175,0.0327,0.03475,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0352,0.0286,0.027,0.05,0.03175,0.0286,0.05,0.0256,0.0286,0.0292,0.0286,0.0302,0.0254,0.0254,0.0286,0.0267,0.0327,0.0286,0.0286,0.04,0.0286,0.0427,0.0286,0.0286,0.0225,0.0286,0.0286,0.0286,0.03,0.0286,0.03655,0.037,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.03116,0.0286,0.033,0.0286,0.0286,0.0286,0.0374,0.0286,0.0286,0.042,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0327,0.0327,0.0286,0.027,0.027,0.0292,0.0286,0.0286,0.038,0.0277,0.0286,0.0257,0.027,0.0286,0.0277,0.0286,0.044,0.0277,0.0286,0.0286,0.0286,0.0286,0.0386,0.0254,0.0254,0.0296,0.0254,0.0286,0.0286,0.0286,0.0286
HT OD,,m,0.039,0.039,0.039,0.045,0.045,0.045,0.039,0.039,0.045,0.039,0.0318,0.045,0.045,0.05,0.0414,0.045,0.04,0.045,0.0317,0.04,0.0317,0.04,0.045,0.0318,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.0318,0.055,0.05,0.045,0.055,0.0286,0.045,0.05,0.045,0.045,0.035,0.0317,0.045,0.037,0.05,0.045,0.045,0.039,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.056,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.045,0.035,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.043,0.042,0.045,0.045,0.045,0.05,0.05,0.045,0.038,0.038,0.045,0.045,0.045,0.045,0.045,0.05,0.0302,0.038,0.045,0.045,0.034,0.045,0.045,0.045,0.045,0.04,0.045,0.045,0.036,0.036,0.052,0.0317,0.045,0.045,0.045,0.043
DT OD,,m,0.04495,0.0429,0.04495,0.04495,0.0365,0.0365,0.04495,0.04495,0.0365,0.04495,0.0365,0.0365,0.04,0.0365,0.0365,0.0365,0.0365,0.0615,0.034,0.0365,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.05,0.0381,0.0365,0.034,0.0365,0.0365,0.0365,0.0365,0.045,0.04495,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0395,0.04745,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.0365,0.0365,0.0365,0.055,0.0365,0.0365,0.04495,0.0365,0.0365,0.0365,0.0365,0.042,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0505,0.04,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.04495,0.03655,0.0365,0.0365,0.0365,0.0365,0.0435,0.0286,0.0286,0.0375,0.0286,0.0365,0.0365,0.0365,0.0365
CS OD,,N/A,0.023000,0.025500,0.023000,0.024000,0.023350,0.023350,0.024000,0.024000,0.023350,0.024000,0.017000,0.023350,0.023350,0.035000,0.023350,0.023350,0.023350,0.023350,0.017350,0.023350,0.017350,0.025000,0.023350,0.022000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.027000,0.023350,0.023350,0.028500,0.027000,0.023350,0.028500,0.022850,0.023350,0.022000,0.023350,0.027500,0.023500,0.017350,0.028350,0.023350,0.027000,0.023350,0.023350,0.023000,0.023350,0.045000,0.029850,0.028350,0.023500,0.028350,0.023350,0.023350,0.028500,0.023350,0.027000,0.028000,0.023350,0.023350,0.023350,0.033350,0.023350,0.023350,0.023350,0.023350,0.034495,0.023350,0.018000,0.023350,0.019850,0.025000,0.023350,0.023350,0.023350,0.026500,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.033350,0.023350,0.019850,0.028500,0.023350,0.023350,0.027000,0.027000,0.033350,0.023350,0.023350,0.022000,0.023350,0.023350,0.023350,0.025000,0.023350,0.018500,0.023350,0.023350,0.020000,0.023350,0.023350,0.023350,0.023350,0.021350,0.023350,0.023350,0.023350,0.017250,0.017250,0.027850,0.023350,0.023350,0.023350,0.023350,0.023350
SS OD,,N/A,0.016500,0.015000,0.016500,0.017250,0.013000,0.013000,0.017000,0.017000,0.013000,0.017000,0.012000,0.013000,0.013000,0.019000,0.013000,0.013000,0.013000,0.013000,0.010500,0.013000,0.010500,0.020000,0.017500,0.013000,0.021500,0.013000,0.021500,0.013000,0.015000,0.013000,0.020000,0.013000,0.013000,0.013000,0.014000,0.013000,0.013000,0.015000,0.013000,0.016000,0.013000,0.019000,0.013000,0.010500,0.012000,0.013000,0.020000,0.015000,0.013000,0.016500,0.013000,0.019000,0.018000,0.018500,0.025000,0.018500,0.013000,0.013000,0.012000,0.013000,0.013500,0.017750,0.013000,0.013000,0.013000,0.018000,0.013000,0.013000,0.013000,0.013000,0.017000,0.013000,0.015000,0.013000,0.015000,0.019000,0.015000,0.013000,0.015000,0.018500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.018000,0.015000,0.015000,0.023500,0.013000,0.013000,0.020000,0.020000,0.018000,0.013000,0.013000,0.017000,0.013000,0.013000,0.013000,0.013000,0.013000,0.011500,0.013000,0.013000,0.016500,0.013000,0.018500,0.013000,0.013000,0.013000,0.013000,0.013000,0.016500,0.012300,0.012300,0.016500,0.013000,0.021500,0.013000,0.013000,0.015000
