Design Set,200,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters,Status, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
Units, , m, m, m, m, deg, m, m, m, m, N/A, N/A, N/A, m, N/A, N/A, N/A, deg, m, m, m, N/A, m, m, , N/A, N/A, N/A, N/A, N/A, N/A, m, m, m, m, N/A
Bike1720,1,0.405,0.075,0.5656,0.06,73.0,0.04,0.0286,0.045,0.0365,0.032,0.0285,0.0318,0.015,0.0598,0.0566,0.0235,76.0,0.12,0.35660000000000003,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0007978813372584056,0.0007383615513089865,0.0005859986861355468,0.005405919491894513,0.0012176736791755642,0.0005336290389472957,0.0006249545849708648,0.6586776252816827
Bike1721,1,0.381,-0.006999999999999999,0.5656,0.045,70.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0448,0.0376,0.0261,69.0,0.1227,0.3276,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.0076068487426163645,0.006400930201183736,0.002239341201455891,0.0007324451313746253,0.00181933274534734,0.0005021989611482943,0.0015625869997431337,0.6074211791081991
Bike1722,1,0.381,-0.006999999999999999,0.5656,0.045,70.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0448,0.0376,0.0261,69.0,0.1227,0.3276,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.00556233716533555,0.003162595503480157,0.002805121183155605,0.0011260146761279748,0.0008137939040805635,0.0024163188141707835,0.0014105075271678715,0.6074211791081991
Bike1723,1,0.37846,0.0,0.5656,0.045,73.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0541,0.0509,0.0309,70.5,0.13169999999999998,0.32,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.006354285862697581,0.004318727984457244,0.0008691635742741402,0.0018926241925349468,0.0005224299434866263,0.001199114345825853,0.0050578372954608,0.6299537164597301
Bike1724,1,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0517,0.0498,0.0327,73.0,0.145,0.5157999999999999,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.003947179120400804,0.007414597510031326,0.004535627160900122,0.0005274208647911148,0.0071379022897383685,0.0021260243636212982,0.0011912471929737024,0.6704438682047098
Bike1725,1,0.35,-0.01,0.5656,0.045,70.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0446,0.0391,0.0243,69.0,0.1215,0.2791,0.068,0.13,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.00300036424397267,0.0009228848737135027,0.00428725690078578,0.0017109245461429993,0.007029109014266889,0.0012732292566905233,0.005828890597267157,0.6060157570533912
Bike1726,1,0.4601,0.02,0.5656,0.045,74.5,0.04,0.0426,0.045,0.053,0.03635,0.0165,0.038,0.015,0.0412,0.09,0.015,67.5,0.095,0.45,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0066880752065325184,0.0006689419722753121,0.0009094835375034932,0.003472968437912542,0.0013578707265287848,0.0027402319831665908,0.00674703183555817,0.6385399020133682
Bike1727,1,0.375,0.0,0.5656,0.06,71.0,0.04,0.030200000000000005,0.045,0.045,0.0275,0.019,0.0318,0.015,0.0449,0.0551,0.0294,70.5,0.115,0.301,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.3,0.009000000000000001,0.0018367133466545848,0.002844373861812392,0.0019731928855579862,0.002798973102328048,0.0015432789199718207,0.000734053982801492,0.0011384358544093858,0.5966943784311389
Bike1728,1,0.41700000000000004,0.035,0.5656,0.053,72.0,0.0508,0.0286,0.036000000000000004,0.0365,0.023350000000000003,0.0145,0.0286,0.015,0.05,0.06,0.03,71.0,0.1269,0.47,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.35,0.009000000000000001,0.002457309297231014,0.004252903524521036,0.002369071182551361,0.0014684031020828214,0.002815398009312269,0.007657085370357717,0.0009820790380235562,0.7305023975678789
Bike1729,1,0.375,0.0,0.5656,0.06,71.0,0.04,0.030200000000000005,0.045,0.045,0.0275,0.019,0.0318,0.015,0.0449,0.0551,0.0294,70.5,0.115,0.301,0.068,0.135,0.0,0.0, AISI 4130 Steel#^# annealed at 865C@SOLIDWORKS Materials$SOLIDWORKS Materials|AISI 4130 Steel#^# annealed at 865C|94$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|AISI 4130 Steel#^# annealed at 865C|94,0.33,0.3,0.009000000000000001,0.0028205505325773965,0.004107692290453527,0.005439631311520669,0.0005338242174223309,0.000845030914807428,0.0006367194736026442,0.0015597324981921176,0.5966943784311389
