,Material=Steel,Material=Aluminum,Material=Titanium,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,valid
1,1,0,0,0.43,0.067,0.5656,0.045,72.5,0.04,0.0325,0.045,0.03845,0.02335,0.013,0.034,0.015,0.05,0.0287,0.04,73.0,0.1356,0.5887,0.068,0.13,0.0,0.0,0.33,0.35,0.007,0.004851,0.001494,0.002192,0.001248,0.004916,0.00208,0.001295,0.664021,1.0
2,0,0,1,0.35,-0.0145,0.5656,0.045,71.5,0.04,0.0292,0.045,0.0365,0.022,0.0185,0.0318,0.015,0.0231,0.0391,0.0233,71.5,0.08,0.265,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.000591,0.008614,0.000538,0.003519,0.001257,0.00089497,0.002477,0.572492,1.0
3,1,0,0,0.415,0.004,0.5656,0.045,74.0,0.0381,0.0286,0.0364,0.034,0.01875,0.0115,0.0286,0.014,0.0359,0.0458999999999999,0.0365,72.0,0.1988,0.562,0.068,0.135,0.0,0.0,0.33,0.35,0.025,0.0086234104751777,0.0037187727619834,0.0025572364839806,0.0011223148174663,0.0023526676692067,0.0005900844469056,0.0021020590208292,0.6471036536882137,0.0
4,1,0,0,0.375,0.05,0.5656,0.04,73.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.0339,0.019,0.0291,70.5,0.0918,0.46,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.008779,0.001868,0.002585,0.003423,0.001143,0.002562,0.001762,0.573904,1.0
5,1,0,0,0.43179,0.024,0.5656,0.041,72.5,0.04,0.0292,0.05,0.0365,0.022,0.016,0.0318,0.015,0.0543,0.0364,0.0202,72.1,0.0831,0.3,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.000789,0.007232,0.00253,0.005867,0.006491,0.00073191,0.007557,0.636179,1.0
6,0,1,0,0.3118999999999999,0.017,0.5656,0.045,71.6,0.04,0.0292,0.045,0.0365,0.027,0.0185,0.0318,0.125,0.025,0.0501,0.0201,80.6,0.09,0.315,0.068,0.12,0.0,0.0,0.33,0.35,0.008,0.0017942257491884,0.0098331895658946,0.0026748867523149,0.0032972266612562,0.0042219121115057,0.0078040848090215,0.0028360647499275,0.601509396892262,0.0
7,0,0,1,0.425,0.02986,0.5656,0.065,72.03484,0.0375,0.0302,0.04,0.04345,0.025,0.0185,0.035,0.015,0.05,0.05,0.0285,69.53484,0.165,0.535,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.000665,0.001475,0.00151,0.005078,0.005528,0.00923,0.00057349,0.688292,1.0
8,0,0,1,0.425,0.043,0.5656,0.077,73.0,0.035,0.042,0.045,0.04495,0.02335,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.0,0.0,0.33,0.35,0.0112,0.002251,0.001999,0.007954,0.00092491,0.00407,0.001763,0.009342,0.703869,1.0
9,1,0,0,0.45,0.0735,0.5656,0.04,74.0,0.0381,0.0286,0.0318,0.034,0.01735,0.0105,0.0286,0.015,0.0391,0.0344,0.0281,73.0,0.15,0.5244,0.068,0.13,0.0,0.0,0.33,0.35,0.0106,0.00188,0.007086,0.005928,0.006059,0.00131,0.00054149,0.001165,0.660729,1.0
10,1,0,0,0.443,0.041,0.5656,0.055,73.0,0.04,0.0327,0.04,0.0365,0.022,0.017,0.0318,0.015,0.0681,0.0742,0.0259,72.0,0.105,0.457,0.068,0.135,0.0,0.0,0.33,0.35,0.008,0.002406,0.005394,0.001249,0.008172,0.001664,0.002506,0.001871,0.673902,1.0
